case_id,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv
batch4_mass_m085_H0175_mu0560,0.175,0.85,0,0.560,20
batch4_mass_m085_H0200_mu0682,0.200,0.85,0,0.682,20
batch4_mass_m085_H0210_mu0740,0.210,0.85,0,0.740,20
batch4_mass_m085_H0225_mu0800,0.225,0.85,0,0.800,20
batch4_mass_m100_H0200_mu0681,0.200,1.00,0,0.681,20
batch4_mass_m100_H0225_mu0860,0.225,1.00,0,0.860,20
batch4_mass_m115_H0175_mu0640,0.175,1.15,0,0.640,20
batch4_mass_m115_H0200_mu0680,0.200,1.15,0,0.680,20
batch4_mass_m115_H0210_mu0760,0.210,1.15,0,0.760,20
batch4_mass_m125_H0200_mu0675,0.200,1.25,0,0.675,20
batch4_mass_m125_H0225_mu0800,0.225,1.25,0,0.800,20
batch4_mass_m125_H0225_mu0860,0.225,1.25,0,0.860,20
