case_id,dam_height,boulder_mass,boulder_rot_z
gp_001,0.1,1.6,0.0
gp_002,0.5,1.6,0.0
gp_003,0.3,1.2,0.0
gp_004,0.1,0.8,0.0
gp_005,0.5,0.8,0.0
gp_006,0.2397,1.4988,0.0
gp_007,0.2608,1.3521,0.0
gp_008,0.1022,1.2745,0.0
gp_009,0.3113,0.9756,0.0
gp_010,0.4046,1.2812,0.0
gp_011,0.4841,1.0743,0.0
gp_012,0.2887,0.8082,0.0
gp_013,0.1343,1.3856,0.0
gp_014,0.2072,1.0261,0.0
gp_015,0.4244,1.4391,0.0
gp_016,0.3662,0.9094,0.0
gp_017,0.1924,1.1846,0.0
gp_018,0.3818,1.116,0.0
gp_019,0.3223,1.4584,0.0
gp_020,0.2487,1.148,0.0
