case_id,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv
sc_001,0.1853,1.0416,68.91,0.1085,17
sc_002,0.3627,0.9796,14.93,0.5136,15
sc_003,0.1130,1.0903,24.88,0.4426,6
sc_004,0.3487,1.4543,82.57,0.6284,23
sc_005,0.4391,0.8575,78.90,0.3830,9
sc_006,0.2476,1.2020,11.88,0.7395,28
sc_007,0.4911,1.0750,38.51,0.2969,20
sc_008,0.1446,0.9487,56.56,0.5639,28
sc_009,0.2690,1.4817,58.88,0.4833,14
sc_010,0.4164,0.9930,63.82,0.7809,22
sc_011,0.1995,1.5884,34.90,0.5294,24
sc_012,0.2249,0.9036,29.57,0.2081,11
sc_013,0.1681,1.4249,7.97,0.3638,19
sc_014,0.3294,1.1661,52.29,0.3416,24
sc_015,0.1581,1.3666,41.15,0.7654,9
sc_016,0.4635,1.3949,19.94,0.1404,26
sc_017,0.3103,0.8813,5.59,0.7053,18
sc_018,0.4826,1.2912,47.81,0.6013,6
sc_019,0.4328,1.5094,25.87,0.6557,14
sc_020,0.2979,1.5678,64.91,0.1807,7
sc_021,0.1175,1.3216,84.37,0.2844,20
sc_022,0.2325,1.1478,89.04,0.6648,13
sc_023,0.3759,1.2331,3.44,0.2633,10
sc_024,0.2896,0.8077,45.63,0.2391,25
sc_025,0.3884,1.2569,73.22,0.4130,29
