case_id,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv
sc2_001,0.15,1.0,0.0,0.3,20
sc2_002,0.18,0.9,30.0,0.2,20
sc2_003,0.2,1.2,60.0,0.5,20
sc2_004,0.22,1.0,15.0,0.4,15
sc2_005,0.25,1.4,45.0,0.6,25
sc2_006,0.2,0.85,75.0,0.15,10
sc2_007,0.12,0.8,0.0,0.1,20
sc2_008,0.1,1.6,80.0,0.8,30
sc2_009,0.15,0.8,50.0,0.1,28
sc2_010,0.2,1.0,0.0,0.3,5
sc2_011,0.2,1.0,0.0,0.3,30
sc2_012,0.2,1.0,0.0,0.1,20
sc2_013,0.2,1.0,0.0,0.8,20
sc2_014,0.2,1.0,90.0,0.3,20
sc2_015,0.145,0.949,56.6,0.564,28
