case_id,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,objetivo
sc3_001,0.20,1.0,0.0,0.3,20,baseline limpio
sc3_002,0.20,1.0,45.0,0.3,20,aislar rot_z (sc2_014=90 como brazo alto)
sc3_003,0.20,1.0,0.0,0.4,20,friccion transicion
sc3_004,0.20,1.0,0.0,0.5,20,friccion transicion
sc3_005,0.20,1.0,0.0,0.6,20,friccion transicion
sc3_006,0.12,1.0,0.0,0.1,20,aislar masa en sc2_007 (mass 0.8->1.0)
sc3_007,0.12,0.8,0.0,0.3,20,aislar friccion en sc2_007 (fric 0.1->0.3)
sc3_008,0.20,1.0,0.0,0.5,5,interaccion slope x friccion
sc3_009,0.20,1.0,0.0,0.2,20,friccion entre extremo (0.1) y baseline (0.3)
sc3_010,0.15,1.0,0.0,0.3,20,dam_h bajo con friccion estandar
