case_id,lot,source_export,source_commit,official_result,is_partial_diagnostic,gp_compatible,status,dp,dam_height,friction_coefficient,boulder_mass,boulder_rot_z,slope_inv,classification_mode,reference_time_s,criterion_class,disp_pct_deq,g_pct,g_train_clip_pct,frontier_zone,max_displacement_m,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,sim_time_reached_any,quality_flags,moved,rotated,tiempo_min,n_particles,mem_gpu_mb,output_path,notas,disp_margin_pct,sim_time_reached_s,n_timesteps,hardware,failed,max_displacement_pct_deq,sim_time_reached,flow_gauge_id,flow_gauge_distance,water_gauge_id,water_gauge_distance
prod_pilot_stable_high_mu,pilot,exports/pilot_productivo_20260501/pilot_summary.csv,8f5e3f4_or_later,True,False,True,OK,0.003,0.2,0.75,1.0,0.0,20.0,displacement_only,0.500009,ESTABLE,1.231657,3.7683429999999998,3.7683429999999998,lejos,0.00123683669,4.461535,0.1002541,8.885389,10672.1232,0.7316807,0.0677404,,OK;displacement_only;reference_time_s_0.5,False,False,249.0484,17525854.0,3338.543,data/processed/prod_pilot_stable_high_mu,estable por desplazamiento,,,,,,,,,,,
prod_pilot_fail_low_mu,pilot,exports/pilot_productivo_20260501/pilot_summary.csv,8f5e3f4_or_later,True,False,True,OK,0.003,0.2,0.6,1.0,0.0,20.0,displacement_only,0.500009,FALLO,42.3796,-37.3796,-20.0,lejos,0.0425578396,10.67676,0.09999663,7.907165,10844.9432,0.7536371,0.0677817,,OK;displacement_only;reference_time_s_0.5;rotation_diagnostic_exceeds_5deg,True,True,249.6686,17525854.0,3338.543,data/processed/prod_pilot_fail_low_mu,falla fisica por desplazamiento; rotacion solo diagnostica,,,,,,,,,,,
prod_pilot_frontier,pilot,exports/pilot_productivo_20260501/pilot_summary.csv,8f5e3f4_or_later,True,False,True,OK,0.003,0.2,0.6806,1.0,0.0,20.0,displacement_only,0.500009,FALLO,5.021031,-0.0210309999999998,-0.0210309999999998,gris_estrecha_abs_g_le_0p5,0.00504214795,5.07661,0.09999668,9.175133,10753.7615,0.8166953,0.0679667,,OK;displacement_only;reference_time_s_0.5;rotation_diagnostic_exceeds_5deg;near_displacement_threshold,True,True,249.3627,17525854.0,3338.543,data/processed/prod_pilot_frontier,falla fisica por desplazamiento; rotacion solo diagnostica,,,,,,,,,,,
batch2_base_mu0675,batch2,exports/batch2_productivo_20260505/batch2_summary.csv,646c567_or_later,True,False,True,OK,0.003,0.2,0.675,1.0,0.0,20.0,displacement_only,0.500009,FALLO,5.990393748726357,-0.9903937487263574,-0.9903937487263574,cercana_abs_g_le_2,0.0060155878349502,5.332407382314178,0.0999956335196692,8.287064993938506,10767.29615584203,0.7639283615056732,0.068382,,,True,True,250.38850911666665,17525854.0,3338.452796936035,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch2_base_mu0675,,0.9903937487263574,,,,,,,,,,
batch2_base_mu0685,batch2,exports/batch2_productivo_20260505/batch2_summary.csv,646c567_or_later,True,False,True,OK,0.003,0.2,0.685,1.0,0.0,20.0,displacement_only,0.500009,ESTABLE,3.7816027407111488,1.2183972592888512,1.2183972592888512,cercana_abs_g_le_2,0.0037975072086827,4.759904150549482,0.1000005276636078,8.246558916542098,10741.719666077355,0.7612354979952262,0.0681774,,,False,False,253.8906412833333,17525854.0,3338.543342590332,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch2_base_mu0685,,-1.2183972592888512,,,,,,,,,,
batch2_base_mu0700,batch2,exports/batch2_productivo_20260505/batch2_summary.csv,646c567_or_later,True,False,True,OK,0.003,0.2,0.7,1.0,0.0,20.0,displacement_only,0.500009,ESTABLE,2.3118593367968665,2.6881406632031335,2.6881406632031335,lejos,0.0023215824344615,4.86725724256299,0.1000772706012709,8.387386178801414,10715.68477364116,0.7929746302177643,0.0678218,,,False,False,253.5903320333333,17525854.0,3338.452796936035,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch2_base_mu0700,,-2.688140663203133,,,,,,,,,,
batch2_h0175_mu0680,batch2,exports/batch2_productivo_20260505/batch2_summary.csv,646c567_or_later,True,False,True,OK,0.003,0.175,0.68,1.0,0.0,20.0,displacement_only,0.500003,ESTABLE,1.232463932307225,3.7675360676927747,3.7675360676927747,lejos,0.001237647364963,4.562662923130252,0.0999966822049611,8.776384348920061,28350.94983383084,0.7235108104950748,0.0657646,,,False,False,213.65810546666668,16031854.0,3070.111618041992,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch2_h0175_mu0680,,-3.767536067692775,,,,,,,,,,
batch2_h0225_mu0680,batch2,exports/batch2_productivo_20260505/batch2_summary.csv,646c567_or_later,True,False,True,OK,0.003,0.225,0.68,1.0,0.0,20.0,displacement_only,0.500001,FALLO,111.27921273650792,-106.27921273650792,-20.0,lejos,0.1117472250572691,16.892761271126467,0.1501730013051614,8.818533046811131,70713.75460200472,0.8784874821754718,0.0740575,,,True,True,294.6700846333333,18853854.0,3577.782516479492,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch2_h0225_mu0680,,106.27921273650792,,,,,,,,,,
batch2_h0225_mu0720,batch2,exports/batch2_productivo_20260505/batch2_summary.csv,646c567_or_later,True,False,True,OK,0.003,0.225,0.72,1.0,0.0,20.0,displacement_only,0.500001,FALLO,62.8722898455196,-57.8722898455196,-20.0,lejos,0.0631367148496023,13.389341045391069,0.1303923717784134,11.823159328530425,70438.84648887093,0.8363768481362572,0.0732072,,,True,True,295.4069336,18853854.0,3577.782516479492,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch2_h0225_mu0720,,57.8722898455196,,,,,,,,,,
batch3_base_mu0678,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,3c443e9,True,False,True,OK,0.003,0.2,0.678,1.0,0.0,20.0,displacement_only,0.500009,FALLO,6.534968616593035,-1.5349686165930354,-1.5349686165930354,cercana_abs_g_le_2,0.0065624530474507,5.563638956052998,0.0999966822049611,8.78614783433451,10761.454118910691,0.7301260267114184,0.0683093,9.99901,rotation_diagnostic_only,True,True,253.36031901666664,17525854.0,3338.452796936035,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_base_mu0678,,1.5349686165930354,9.99901,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,
