dam_height,boulder_mass,n,fail_mu_values,stable_mu_values,max_fail_mu,min_stable_mu,bracket_width_mu
0.175,0.85,5,0.5600,"0.5660,0.5720,0.5850,0.6200",0.56,0.566,0.005999999999999894
0.175,1.0,4,,"0.6000,0.6400,0.6600,0.6800",,0.6,
0.175,1.15,1,,0.6400,,0.64,
0.2,0.85,6,"0.6820,0.7800,0.7900","0.8000,0.8200,0.8600",0.79,0.8,0.010000000000000009
0.2,1.0,11,"0.6000,0.6750,0.6780,0.6800,0.6806","0.6808,0.6810,0.6820,0.6850,0.7000,0.7500",0.6806,0.6808,0.00019999999999997797
0.2,1.15,2,,"0.6200,0.6800",,0.62,
0.2,1.25,2,,"0.6000,0.6750",,0.6,
0.21,0.85,4,"0.7400,0.8800","0.8900,0.9000",0.88,0.89,0.010000000000000009
0.21,1.0,6,"0.7000,0.7400","0.7480,0.7550,0.7700,0.8000",0.74,0.748,0.008000000000000007
0.21,1.15,2,,"0.7300,0.7600",,0.73,
0.225,0.85,2,"0.8000,0.8800",,0.88,,
0.225,1.0,8,"0.6800,0.7200,0.7600,0.8000,0.8600","0.8650,0.8700,0.8800",0.86,0.865,0.0050000000000000044
0.225,1.15,6,"0.7000,0.7400,0.7500","0.7600,0.7800,0.8000",0.75,0.76,0.010000000000000009
0.225,1.25,5,"0.6600,0.6800","0.7000,0.7400,0.8000",0.68,0.7,0.019999999999999907
