Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500006;0;0;-9.81;0;0;0;-800.059;-37.1443;15500.8;4.22388;-1.70366;0.198272;0;0;0;0;0;0;800.059;37.1443;-15500.8;-7940.47;100486;-169.03;
0.501006;0;0;-9.81;0;0;0;-0.00938131;-0.00595599;9.80696;0.000780004;-0.000670001;0.000143217;0;0;0;0;0;0;0.00938131;0.00595599;-9.80696;-5.02103;63.5529;0.0336485;
0.502006;0;0;-9.81;0;0;0;0.00122597;-0.0024089;9.8114;0.000183772;-0.000160244;8.28392e-06;0;0;0;0;0;0;-0.00122597;0.0024089;-9.8114;-5.02253;63.5807;0.0162282;
0.503006;0;0;-9.81;0;0;0;-0.0125013;-0.0481095;9.8165;0.00528738;-0.00109398;0.000219028;0;0;0;0;0;0;0.0125013;0.0481095;-9.8165;-5.03225;63.6153;0.305144;
0.504005;0;0;-9.81;0;0;0;-0.0530513;-0.159945;9.91251;0.0114593;-0.00941235;-2.18922e-05;0;0;0;0;0;0;0.0530513;0.159945;-9.91251;-5.09247;64.2475;1.00936;
0.505005;0;0;-9.81;0;0;0;-0.0746457;-0.162156;9.74794;0.0191449;-0.00589695;0.00168369;0;0;0;0;0;0;0.0746457;0.162156;-9.74794;-5.016;63.1785;1.01092;
0.506005;0;0;-9.81;0;0;0;-0.185037;-0.349882;9.69296;0.0384302;-0.0205267;0.00112743;0;0;0;0;0;0;0.185037;0.349882;-9.69296;-5.01551;62.8417;2.17148;
0.507003;0;0;-9.81;0;0;0;-0.450345;-0.422966;9.23621;0.0464356;-0.0309571;0.00436702;0;0;0;0;0;0;0.450345;0.422966;-9.23621;-4.79293;59.9039;2.50604;
0.508031;0;0;-9.81;0;0;0;-0.372373;-0.500111;9.52251;0.0582029;-0.0324103;0.00468483;0;0;0;0;0;0;0.372373;0.500111;-9.52251;-4.95467;61.7572;3.04556;
0.509022;0;0;-9.81;0;0;0;1.00622;-1.39968;6.50871;0.169432;0.0943737;-0.00554954;0;0;0;0;0;0;-1.00622;1.39968;-6.50871;-3.56324;42.039;9.59086;
0.510021;0;0;-9.81;0;0;0;-0.589672;-0.80287;9.05425;0.0918008;-0.0512691;0.00650185;0;0;0;0;0;0;0.589672;0.80287;-9.05425;-4.76224;58.7512;4.89445;
0.511015;0;0;-9.81;0;0;0;-0.732965;-0.912724;8.76506;0.102431;-0.0635183;0.00851986;0;0;0;0;0;0;0.732965;0.912724;-8.76506;-4.63002;56.896;5.53095;
0.512014;0;0;-9.81;0;0;0;-0.733101;-0.912186;8.76503;0.102426;-0.0635996;0.00854464;0;0;0;0;0;0;0.733101;0.912186;-8.76503;-4.62993;56.8958;5.52737;
0.513014;0;0;-9.81;0;0;0;-0.731986;-0.911661;8.75927;0.102424;-0.0635702;0.00855869;0;0;0;0;0;0;0.731986;0.911661;-8.75927;-4.62691;56.8584;5.52452;
0.514013;0;0;-9.81;0;0;0;-0.729892;-0.911666;8.75407;0.102515;-0.063474;0.00857011;0;0;0;0;0;0;0.729892;0.911666;-8.75407;-4.62428;56.8244;5.52561;
0.515013;0;0;-9.81;0;0;0;-0.732676;-0.91044;8.7677;0.10259;-0.0637994;0.00863906;0;0;0;0;0;0;0.732676;0.91044;-8.7677;-4.63121;56.9132;5.51618;
0.516013;0;0;-9.81;0;0;0;-1.20108;0.341781;3.53921;-0.0597877;-0.168084;-0.00405788;0;0;0;0;0;0;1.20108;-0.341781;-3.53921;-1.73614;23.1574;-2.82549;
0.517013;0;0;-9.81;0;0;0;-1.18075;-1.18095;7.29311;0.130957;-0.103549;0.0100542;0;0;0;0;0;0;1.18075;1.18095;-7.29311;-3.91734;47.4176;7.03833;
0.518012;0;0;-9.81;0;0;0;-1.17767;-1.17971;7.29674;0.131249;-0.103628;0.0101173;0;0;0;0;0;0;1.17767;1.17971;-7.29674;-3.91935;47.441;7.03182;
