nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
13481;0.500006;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005153;-0.000239;0.099774;6.480300;0.511875;0.043457;0.013146;-0.007357;0.000375
13508;0.501006;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004998;-0.000005;0.099874;6.480295;0.511875;0.043557;0.000274;-0.000180;0.000016
13535;0.502006;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005005;-0.000013;0.099872;6.480290;0.511875;0.043656;0.000786;-0.000511;0.000044
13562;0.503006;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005013;-0.000024;0.099870;6.480285;0.511875;0.043756;0.001396;-0.000900;0.000072
13589;0.504005;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005042;-0.000076;0.099869;6.480280;0.511875;0.043856;0.004186;-0.003027;0.000217
13616;0.505005;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005132;-0.000200;0.099842;6.480275;0.511875;0.043956;0.011466;-0.007923;0.000597
13643;0.506005;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005294;-0.000467;0.099704;6.480270;0.511874;0.044056;0.026216;-0.017922;0.001184
13670;0.507003;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005616;-0.000854;0.099429;6.480264;0.511874;0.044155;0.048149;-0.035956;0.002291
13698;0.508031;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005986;-0.001333;0.099110;6.480258;0.511873;0.044257;0.074937;-0.057874;0.003661
13725;0.509022;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.006438;-0.001919;0.098102;6.480252;0.511871;0.044355;0.107902;-0.084199;0.005137
13752;0.510021;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007009;-0.002742;0.097296;6.480245;0.511869;0.044452;0.151407;-0.117389;0.006507
13779;0.511015;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007821;-0.003520;0.095845;6.480238;0.511866;0.044548;0.190671;-0.164144;0.009610
13806;0.512014;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.008552;-0.004431;0.094799;6.480230;0.511862;0.044643;0.240083;-0.206682;0.012101
13833;0.513014;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.009284;-0.005343;0.093751;6.480221;0.511857;0.044738;0.289570;-0.249283;0.014595
13860;0.514013;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.010016;-0.006254;0.092701;6.480211;0.511851;0.044831;0.339078;-0.291903;0.017091
13887;0.515013;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.010747;-0.007165;0.091650;6.480201;0.511844;0.044923;0.388608;-0.334544;0.019587
13914;0.516013;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.011448;-0.007610;0.086516;6.480190;0.511837;0.045012;0.400115;-0.393393;0.017911
13941;0.517013;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.013086;-0.008097;0.082771;6.480177;0.511829;0.045097;0.431418;-0.472545;0.019581
13968;0.518012;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.014264;-0.009276;0.080253;6.480164;0.511820;0.045178;0.494744;-0.541907;0.022455
13995;0.519012;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.015622;-0.010143;0.076782;6.480149;0.511811;0.045256;0.537895;-0.622143;0.025711
14022;0.520011;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016841;-0.010868;0.073005;6.480132;0.511800;0.045331;0.573830;-0.706799;0.027420
14049;0.521010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.018375;-0.011873;0.069654;6.480115;0.511789;0.045402;0.626526;-0.786736;0.031668
14076;0.522010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.019072;-0.012688;0.064338;6.480096;0.511776;0.045469;0.675275;-0.836787;0.030629
14103;0.523010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.020427;-0.013657;0.060127;6.480076;0.511763;0.045532;0.718285;-0.922704;0.034060
14130;0.524010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.021056;-0.013461;0.052188;6.480055;0.511749;0.045588;0.700536;-0.990829;0.033158
14157;0.525010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.021783;-0.013377;0.044442;6.480034;0.511736;0.045636;0.696383;-1.059742;0.033096
14184;0.526010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.022884;-0.013278;0.037746;6.480012;0.511723;0.045677;0.690584;-1.163402;0.032674
14211;0.527010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.023470;-0.013224;0.029595;6.479989;0.511709;0.045710;0.683261;-1.227232;0.031529
14238;0.528010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.024339;-0.013122;0.022251;6.479965;0.511696;0.045736;0.677442;-1.319017;0.031294
14265;0.529010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.024925;-0.013079;0.014095;6.479940;0.511683;0.045754;0.677689;-1.379681;0.031553
14292;0.530010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.025907;-0.013093;0.007052;6.479914;0.511670;0.045765;0.690972;-1.476233;0.033523
14319;0.531010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.026482;-0.013105;-0.001139;6.479888;0.511657;0.045768;0.688569;-1.541339;0.032192
14346;0.532010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.027340;-0.013178;-0.008524;6.479861;0.511644;0.045763;0.712548;-1.624482;0.035635
14373;0.533010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.028024;-0.013272;-0.016386;6.479834;0.511631;0.045751;0.721848;-1.700861;0.035314
14400;0.534010;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.028872;-0.013358;-0.023794;6.479805;0.511617;0.045730;0.722844;-1.802775;0.032947
14427;0.535009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.029560;-0.013391;-0.031661;6.479776;0.511604;0.045703;0.721542;-1.886823;0.031124
14454;0.536009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.030376;-0.013391;-0.039171;6.479746;0.511591;0.045667;0.714795;-1.990806;0.028484
14481;0.537009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.030731;-0.013378;-0.047977;6.479715;0.511577;0.045624;0.712915;-2.035959;0.027660
14508;0.538008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.031304;-0.013361;-0.056169;6.479684;0.511564;0.045572;0.718563;-2.107131;0.028356
14535;0.539008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.029554;-0.028523;-0.011480;6.479654;0.511539;0.045551;1.926039;-1.445810;0.092037
14562;0.540008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017278;-0.014115;0.088872;6.479627;0.511514;0.045560;0.248756;-0.175208;0.054728
14589;0.541007;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016949;-0.013848;0.080720;6.479610;0.511500;0.045644;0.249335;-0.269095;0.060296
14616;0.542007;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016630;-0.013565;0.072568;6.479594;0.511486;0.045721;0.250051;-0.362967;0.066225
14643;0.543007;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016472;-0.013424;0.063584;6.479577;0.511473;0.045789;0.251947;-0.410308;0.069056
14670;0.544006;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016472;-0.013424;0.053777;6.479561;0.511459;0.045847;0.251974;-0.410292;0.069039
14697;0.545006;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016472;-0.013424;0.043972;6.479544;0.511446;0.045896;0.252000;-0.410276;0.069023
14724;0.546005;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016472;-0.013424;0.034169;6.479528;0.511432;0.045935;0.252027;-0.410260;0.069006
14751;0.547005;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016472;-0.013424;0.024363;6.479511;0.511419;0.045964;0.252054;-0.410244;0.068990
14778;0.548004;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016472;-0.013424;0.014560;6.479495;0.511405;0.045983;0.252080;-0.410228;0.068974
14805;0.549003;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016472;-0.013424;0.004756;6.479478;0.511392;0.045993;0.252107;-0.410212;0.068957
14832;0.550003;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016472;-0.013424;-0.005050;6.479462;0.511379;0.045992;0.252134;-0.410195;0.068941
14859;0.551002;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016472;-0.013424;-0.014848;6.479445;0.511365;0.045982;0.252160;-0.410179;0.068925
14887;0.552036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016472;-0.013424;-0.024990;6.479428;0.511351;0.045961;0.252188;-0.410163;0.068908
14914;0.553035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016472;-0.013424;-0.034790;6.479412;0.511338;0.045931;0.252214;-0.410147;0.068891
14941;0.554034;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.012780;-0.008488;-0.021291;6.479398;0.511328;0.045909;-0.193076;0.253835;0.052165
14968;0.555034;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.012188;-0.007788;-0.027603;6.479386;0.511320;0.045884;-0.260259;0.352847;0.050670
14995;0.556034;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.011624;-0.007152;-0.034163;6.479374;0.511313;0.045853;-0.322909;0.444741;0.049654
15022;0.557033;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.011189;-0.006679;-0.041507;6.479362;0.511306;0.045815;-0.370479;0.514272;0.049071
15049;0.558033;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.010585;-0.006041;-0.047946;6.479351;0.511299;0.045770;-0.435734;0.609410;0.048496
15076;0.559032;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.010068;-0.005508;-0.054894;6.479341;0.511294;0.045719;-0.491166;0.690018;0.048161
15103;0.560032;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017858;0.007195;0.006430;6.479330;0.511290;0.045670;-0.727147;-0.826581;0.023829
15130;0.561032;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017952;0.007986;-0.000735;6.479312;0.511298;0.045673;-0.775607;-0.744033;0.012325
15157;0.562031;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.011593;0.003688;0.022009;6.479297;0.511304;0.045681;0.226044;0.427395;-0.019349
15184;0.563031;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.011593;0.003688;0.012202;6.479285;0.511308;0.045698;0.226058;0.427388;-0.019332
15211;0.564031;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.011593;0.003688;0.002393;6.479274;0.511311;0.045705;0.226071;0.427380;-0.019316
15238;0.565031;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.011593;0.003688;-0.007416;6.479262;0.511315;0.045703;0.226085;0.427373;-0.019299
15265;0.566030;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.009685;0.002938;-0.009000;6.479251;0.511318;0.045694;0.264968;-0.057288;-0.049180
15292;0.567030;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.009250;0.002757;-0.016920;6.479242;0.511321;0.045681;0.273809;-0.168492;-0.056281
15319;0.568030;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.003708;0.001360;-0.002598;6.479234;0.511324;0.045667;-0.087639;-0.037120;-0.000498
15346;0.569029;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002093;0.002371;-0.004354;6.479232;0.511325;0.045663;-0.167638;-0.075143;-0.002097
15373;0.570029;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001795;0.004315;-0.005948;6.479230;0.511329;0.045658;-0.241064;-0.097179;-0.010166
15400;0.571028;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002117;0.005839;-0.008089;6.479228;0.511334;0.045651;-0.307513;-0.127390;-0.015027
15427;0.572028;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002847;0.007193;-0.009659;6.479225;0.511341;0.045643;-0.378396;-0.166311;-0.018588
15454;0.573028;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.003363;0.008578;-0.010913;6.479223;0.511349;0.045633;-0.451212;-0.212724;-0.021828
15481;0.574027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002111;0.004155;-0.000308;6.479220;0.511355;0.045630;0.006678;0.005295;-0.008836
15508;0.575027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001216;0.001667;-0.000498;6.479218;0.511358;0.045629;-0.004611;-0.002263;-0.006095
15535;0.576027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000010;-0.000029;0.000125;6.479218;0.511358;0.045629;0.001532;0.001778;0.000077
15562;0.577026;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000020;0.000039;-0.000486;6.479218;0.511358;0.045629;-0.000699;-0.002227;-0.000110
15589;0.578026;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000186;0.000053;0.000620;6.479218;0.511358;0.045629;-0.003255;-0.006612;-0.000088
15616;0.579025;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000101;0.000102;-0.000779;6.479218;0.511358;0.045629;-0.005317;-0.002553;-0.000266
15643;0.580025;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000135;-0.000126;0.000143;6.479218;0.511358;0.045629;0.005413;0.010040;0.000411
