time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;6.5961;0.5119;0.0378
0.001034;0;0;0;6.5961;0.5119;0.0378
0.002007;0;0;0;6.5961;0.5119;0.0378
0.003040;0;0;0;6.5961;0.5119;0.0378
0.004012;0;0;0;6.5961;0.5119;0.0378
0.005045;0;0;0;6.5961;0.5119;0.0378
0.006017;0;0;0;6.5961;0.5119;0.0378
0.007050;0;0;0;6.5961;0.5119;0.0378
0.008021;0;0;0;6.5961;0.5119;0.0378
0.009053;0;0;0;6.5961;0.5119;0.0378
0.010024;0;0;0;6.5961;0.5119;0.0378
0.011055;0;0;0;6.5961;0.5119;0.0378
0.012025;0;0;0;6.5961;0.5119;0.0378
0.013055;0;0;0;6.5961;0.5119;0.0378
0.014024;0;0;0;6.5961;0.5119;0.0378
0.015054;0;0;0;6.5961;0.5119;0.0378
0.016022;0;0;0;6.5961;0.5119;0.0378
0.017051;0;0;0;6.5961;0.5119;0.0378
0.018019;0;0;0;6.5961;0.5119;0.0378
0.019048;0;0;0;6.5961;0.5119;0.0378
0.020016;0;0;0;6.5961;0.5119;0.0378
0.021044;0;0;0;6.5961;0.5119;0.0378
0.022011;0;0;0;6.5961;0.5119;0.0378
0.023039;0;0;0;6.5961;0.5119;0.0378
0.024006;0;0;0;6.5961;0.5119;0.0378
0.025033;0;0;0;6.5961;0.5119;0.0378
0.026000;0;0;0;6.5961;0.5119;0.0378
0.027026;0;0;0;6.5961;0.5119;0.0378
0.028052;0;0;0;6.5961;0.5119;0.0378
0.029018;0;0;0;6.5961;0.5119;0.0378
0.030042;0;0;0;6.5961;0.5119;0.0378
0.031007;0;0;0;6.5961;0.5119;0.0378
0.032033;0;0;0;6.5961;0.5119;0.0378
0.033057;0;0;0;6.5961;0.5119;0.0378
0.034022;0;0;0;6.5961;0.5119;0.0378
0.035047;0;0;0;6.5961;0.5119;0.0378
0.036011;0;0;0;6.5961;0.5119;0.0378
0.037036;0;0;0;6.5961;0.5119;0.0378
0.038060;0;0;0;6.5961;0.5119;0.0378
0.039024;0;0;0;6.5961;0.5119;0.0378
0.040048;0;0;0;6.5961;0.5119;0.0378
0.041011;0;0;0;6.5961;0.5119;0.0378
0.042033;0;0;0;6.5961;0.5119;0.0378
0.043055;0;0;0;6.5961;0.5119;0.0378
0.044016;0;0;0;6.5961;0.5119;0.0378
0.045038;0;0;0;6.5961;0.5119;0.0378
0.046059;0;0;0;6.5961;0.5119;0.0378
0.047020;0;0;0;6.5961;0.5119;0.0378
0.048040;0;0;0;6.5961;0.5119;0.0378
0.049001;0;0;0;6.5961;0.5119;0.0378
0.050021;0;0;0;6.5961;0.5119;0.0378
0.051042;0;0;0;6.5961;0.5119;0.0378
0.052004;0;0;0;6.5961;0.5119;0.0378
0.053025;0;0;0;6.5961;0.5119;0.0378
0.054046;0;0;0;6.5961;0.5119;0.0378
0.055006;0;0;0;6.5961;0.5119;0.0378
0.056026;0;0;0;6.5961;0.5119;0.0378
0.057044;0;0;0;6.5961;0.5119;0.0378
0.058003;0;0;0;6.5961;0.5119;0.0378
0.059021;0;0;0;6.5961;0.5119;0.0378
0.060039;0;0;0;6.5961;0.5119;0.0378
0.061058;0;0;0;6.5961;0.5119;0.0378
0.062017;0;0;0;6.5961;0.5119;0.0378
0.063035;0;0;0;6.5961;0.5119;0.0378
0.064054;0;0;0;6.5961;0.5119;0.0378
0.065012;0;0;0;6.5961;0.5119;0.0378
0.066030;0;0;0;6.5961;0.5119;0.0378
0.067047;0;0;0;6.5961;0.5119;0.0378
0.068004;0;0;0;6.5961;0.5119;0.0378
0.069017;0;0;0;6.5961;0.5119;0.0378
0.070032;0;0;0;6.5961;0.5119;0.0378
0.071049;0;0;0;6.5961;0.5119;0.0378
0.072005;0;0;0;6.5961;0.5119;0.0378
0.073021;0;0;0;6.5961;0.5119;0.0378
0.074039;0;0;0;6.5961;0.5119;0.0378
0.075056;0;0;0;6.5961;0.5119;0.0378
0.076012;0;0;0;6.5961;0.5119;0.0378
0.077026;0;0;0;6.5961;0.5119;0.0378
0.078039;0;0;0;6.5961;0.5119;0.0378
0.079052;0;0;0;6.5961;0.5119;0.0378
0.080005;0;0;0;6.5961;0.5119;0.0378
0.081018;0;0;0;6.5961;0.5119;0.0378
0.082032;0;0;0;6.5961;0.5119;0.0378
0.083046;0;0;0;6.5961;0.5119;0.0378
0.084001;0;0;0;6.5961;0.5119;0.0378
0.085015;0;0;0;6.5961;0.5119;0.0378
0.086029;0;0;0;6.5961;0.5119;0.0378
0.087042;0;0;0;6.5961;0.5119;0.0378
0.088051;0;0;0;6.5961;0.5119;0.0378
0.089057;0;0;0;6.5961;0.5119;0.0378
0.090001;0;0;0;6.5961;0.5119;0.0378
0.091004;0;0;0;6.5961;0.5119;0.0378
0.092058;0;0;0;6.5961;0.5119;0.0378
0.093046;0;0;0;6.5961;0.5119;0.0378
0.094015;0;0;0;6.5961;0.5119;0.0378
0.095040;0;0;0;6.5961;0.5119;0.0378
0.096017;0;0;0;6.5961;0.5119;0.0378
0.097057;0;0;0;6.5961;0.5119;0.0378
0.098046;0;0;0;6.5961;0.5119;0.0378
0.099035;0;0;0;6.5961;0.5119;0.0378
0.100026;0;0;0;6.5961;0.5119;0.0378
0.101020;0;0;0;6.5961;0.5119;0.0378
0.102001;0;0;0;6.5961;0.5119;0.0378
0.103049;0;0;0;6.5961;0.5119;0.0378
0.104050;0;0;0;6.5961;0.5119;0.0378
0.105031;0;0;0;6.5961;0.5119;0.0378
0.106041;0;0;0;6.5961;0.5119;0.0378
0.107021;0;0;0;6.5961;0.5119;0.0378
0.108033;0;0;0;6.5961;0.5119;0.0378
0.109025;0;0;0;6.5961;0.5119;0.0378
0.110035;0;0;0;6.5961;0.5119;0.0378
0.111018;0;0;0;6.5961;0.5119;0.0378
0.112012;0;0;0;6.5961;0.5119;0.0378
0.113002;0;0;0;6.5961;0.5119;0.0378
0.114002;0;0;0;6.5961;0.5119;0.0378
0.115040;0;0;0;6.5961;0.5119;0.0378
0.116026;0;0;0;6.5961;0.5119;0.0378
0.117032;0;0;0;6.5961;0.5119;0.0378
0.118002;0;0;0;6.5961;0.5119;0.0378
0.119024;0;0;0;6.5961;0.5119;0.0378
0.120003;0;0;0;6.5961;0.5119;0.0378
0.121045;0;0;0;6.5961;0.5119;0.0378
0.122008;0;0;0;6.5961;0.5119;0.0378
0.123032;0;0;0;6.5961;0.5119;0.0378
0.124032;0;0;0;6.5961;0.5119;0.0378
0.125007;0;0;0;6.5961;0.5119;0.0378
0.126051;0;0;0;6.5961;0.5119;0.0378
0.127049;0;0;0;6.5961;0.5119;0.0378
0.128055;0;0;0;6.5961;0.5119;0.0378
0.129046;0;0;0;6.5961;0.5119;0.0378
0.130003;0;0;0;6.5961;0.5119;0.0378
0.131049;0;0;0;6.5961;0.5119;0.0378
0.132038;0;0;0;6.5961;0.5119;0.0378
0.133016;0;0;0;6.5961;0.5119;0.0378
0.134040;0;0;0;6.5961;0.5119;0.0378
0.135026;0;0;0;6.5961;0.5119;0.0378
0.136015;0;0;0;6.5961;0.5119;0.0378
0.137043;0;0;0;6.5961;0.5119;0.0378
0.138005;0;0;0;6.5961;0.5119;0.0378
0.139050;0;0;0;6.5961;0.5119;0.0378
0.140025;0;0;0;6.5961;0.5119;0.0378
0.141000;0;0;0;6.5961;0.5119;0.0378
0.142022;0;0;0;6.5961;0.5119;0.0378
0.143055;0;0;0;6.5961;0.5119;0.0378
0.144025;0;0;0;6.5961;0.5119;0.0378
0.145018;0;0;0;6.5961;0.5119;0.0378
0.146016;0;0;0;6.5961;0.5119;0.0378
0.147015;0;0;0;6.5961;0.5119;0.0378
0.148002;0;0;0;6.5961;0.5119;0.0378
0.149053;0;0;0;6.5961;0.5119;0.0378
0.150043;0;0;0;6.5961;0.5119;0.0378
0.151018;0;0;0;6.5961;0.5119;0.0378
0.152025;0;0;0;6.5961;0.5119;0.0378
0.153008;0;0;0;6.5961;0.5119;0.0378
0.154005;0;0;0;6.5961;0.5119;0.0378
0.155032;0;0;0;6.5961;0.5119;0.0378
0.156056;0;0;0;6.5961;0.5119;0.0378
0.157031;0;0;0;6.5961;0.5119;0.0378
0.158015;0;0;0;6.5961;0.5119;0.0378
0.159005;0;0;0;6.5961;0.5119;0.0378
0.160052;0;0;0;6.5961;0.5119;0.0378
