time [s];zmax [m];posx [m];posy [m];posz [m]
0.000000;-3.40282e+38;8.25;0.5119;0.1625
0.001031;-3.40282e+38;8.25;0.5119;0.1625
0.002013;-3.40282e+38;8.25;0.5119;0.1625
0.003042;-3.40282e+38;8.25;0.5119;0.1625
0.004023;-3.40282e+38;8.25;0.5119;0.1625
0.005004;-3.40282e+38;8.25;0.5119;0.1625
0.006032;-3.40282e+38;8.25;0.5119;0.1625
0.007013;-3.40282e+38;8.25;0.5119;0.1625
0.008040;-3.40282e+38;8.25;0.5119;0.1625
0.009021;-3.40282e+38;8.25;0.5119;0.1625
0.010001;-3.40282e+38;8.25;0.5119;0.1625
0.011028;-3.40282e+38;8.25;0.5119;0.1625
0.012007;-3.40282e+38;8.25;0.5119;0.1625
0.013033;-3.40282e+38;8.25;0.5119;0.1625
0.014012;-3.40282e+38;8.25;0.5119;0.1625
0.015037;-3.40282e+38;8.25;0.5119;0.1625
0.016016;-3.40282e+38;8.25;0.5119;0.1625
0.017040;-3.40282e+38;8.25;0.5119;0.1625
0.018016;-3.40282e+38;8.25;0.5119;0.1625
0.019039;-3.40282e+38;8.25;0.5119;0.1625
0.020015;-3.40282e+38;8.25;0.5119;0.1625
0.021036;-3.40282e+38;8.25;0.5119;0.1625
0.022011;-3.40282e+38;8.25;0.5119;0.1625
0.023033;-3.40282e+38;8.25;0.5119;0.1625
0.024009;-3.40282e+38;8.25;0.5119;0.1625
0.025031;-3.40282e+38;8.25;0.5119;0.1625
0.026006;-3.40282e+38;8.25;0.5119;0.1625
0.027027;-3.40282e+38;8.25;0.5119;0.1625
0.028002;-3.40282e+38;8.25;0.5119;0.1625
0.029023;-3.40282e+38;8.25;0.5119;0.1625
0.030044;-3.40282e+38;8.25;0.5119;0.1625
0.031017;-3.40282e+38;8.25;0.5119;0.1625
0.032034;-3.40282e+38;8.25;0.5119;0.1625
0.033005;-3.40282e+38;8.25;0.5119;0.1625
0.034021;-3.40282e+38;8.25;0.5119;0.1625
0.035037;-3.40282e+38;8.25;0.5119;0.1625
0.036007;-3.40282e+38;8.25;0.5119;0.1625
0.037023;-3.40282e+38;8.25;0.5119;0.1625
0.038041;-3.40282e+38;8.25;0.5119;0.1625
0.039011;-3.40282e+38;8.25;0.5119;0.1625
0.040025;-3.40282e+38;8.25;0.5119;0.1625
0.041037;-3.40282e+38;8.25;0.5119;0.1625
0.042005;-3.40282e+38;8.25;0.5119;0.1625
0.043020;-3.40282e+38;8.25;0.5119;0.1625
0.044033;-3.40282e+38;8.25;0.5119;0.1625
0.045045;-3.40282e+38;8.25;0.5119;0.1625
0.046008;-3.40282e+38;8.25;0.5119;0.1625
0.047019;-3.40282e+38;8.25;0.5119;0.1625
0.048030;-3.40282e+38;8.25;0.5119;0.1625
0.049041;-3.40282e+38;8.25;0.5119;0.1625
0.050006;-3.40282e+38;8.25;0.5119;0.1625
0.051013;-3.40282e+38;8.25;0.5119;0.1625
0.052013;-3.40282e+38;8.25;0.5119;0.1625
0.053014;-3.40282e+38;8.25;0.5119;0.1625
0.054010;-3.40282e+38;8.25;0.5119;0.1625
0.055010;-3.40282e+38;8.25;0.5119;0.1625
0.056016;-3.40282e+38;8.25;0.5119;0.1625
0.057023;-3.40282e+38;8.25;0.5119;0.1625
0.058032;-3.40282e+38;8.25;0.5119;0.1625
0.059041;-3.40282e+38;8.25;0.5119;0.1625
0.060003;-3.40282e+38;8.25;0.5119;0.1625
