nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
6983;0.500058;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480300;0.511875;0.043462;0.000000;0.000000;0.000000
6997;0.501066;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480295;0.511875;0.043563;0.000000;0.000000;0.000000
7010;0.502002;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480290;0.511875;0.043656;0.000000;0.000000;0.000000
7024;0.503011;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480285;0.511875;0.043757;0.000000;0.000000;0.000000
7038;0.504019;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480280;0.511875;0.043857;0.000000;0.000000;0.000000
7052;0.505026;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480275;0.511875;0.043958;0.000000;-0.000000;0.000000
7066;0.506034;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480270;0.511875;0.044059;0.000000;-0.000000;0.000000
7080;0.507041;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480265;0.511875;0.044159;0.000000;0.000000;0.000000
7094;0.508049;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480260;0.511875;0.044260;0.000000;0.000000;0.000000
7108;0.509056;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480255;0.511875;0.044360;0.000000;-0.000000;0.000000
7122;0.510063;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480250;0.511875;0.044461;0.000000;-0.000000;0.000000
7136;0.511070;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480245;0.511875;0.044562;0.000000;-0.000000;0.000000
7149;0.512005;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480240;0.511875;0.044655;0.000000;-0.000000;0.000000
7163;0.513013;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480235;0.511875;0.044756;0.000000;0.000000;0.000000
7177;0.514020;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480230;0.511875;0.044856;0.000000;0.000000;0.000000
7191;0.515028;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480225;0.511875;0.044957;0.000000;0.000000;0.000000
7205;0.516035;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480220;0.511875;0.045057;0.000000;-0.000000;0.000000
7219;0.517042;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480215;0.511875;0.045158;0.000000;-0.000000;-0.000000
7233;0.518049;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480210;0.511875;0.045259;0.000000;-0.000000;-0.000000
7247;0.519055;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480205;0.511875;0.045359;0.000000;-0.000000;0.000000
7261;0.520061;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480200;0.511875;0.045460;0.000000;0.000000;0.000000
7275;0.521068;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480195;0.511875;0.045560;0.000000;-0.000000;-0.000000
7288;0.522002;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480190;0.511875;0.045653;0.000000;-0.000000;-0.000000
7302;0.523008;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480185;0.511875;0.045754;0.000000;0.000000;0.000000
7316;0.524014;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480180;0.511875;0.045854;0.000000;0.000000;0.000000
7330;0.525021;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480175;0.511875;0.045955;0.000000;-0.000000;-0.000000
7344;0.526028;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480170;0.511875;0.046056;0.000000;-0.000000;0.000000
7358;0.527036;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480165;0.511875;0.046156;0.000000;0.000000;0.000000
7372;0.528043;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480160;0.511875;0.046257;0.000000;0.000000;0.000000
7386;0.529051;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004995;-0.000001;0.099875;6.480155;0.511875;0.046357;0.000053;-0.000039;0.000001
7400;0.530059;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004998;-0.000005;0.099873;6.480150;0.511875;0.046458;0.000287;-0.000184;0.000018
7414;0.531068;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005004;-0.000012;0.099871;6.480145;0.511875;0.046559;0.000639;-0.000422;0.000037
7427;0.532003;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005022;-0.000033;0.099868;6.480140;0.511875;0.046652;0.001839;-0.001201;0.000101
7441;0.533011;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005047;-0.000062;0.099858;6.480135;0.511875;0.046753;0.003417;-0.002134;0.000187
7455;0.534019;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005081;-0.000139;0.099845;6.480130;0.511875;0.046854;0.007427;-0.005600;0.000365
7469;0.535028;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005213;-0.000313;0.099787;6.480125;0.511875;0.046954;0.016581;-0.010659;0.000791
7483;0.536035;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005394;-0.000617;0.099663;6.480119;0.511874;0.047055;0.032134;-0.021852;0.001513
7497;0.537044;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005748;-0.001054;0.099355;6.480114;0.511873;0.047155;0.054494;-0.040845;0.002585
7511;0.538052;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.006154;-0.001554;0.099047;6.480108;0.511872;0.047255;0.080578;-0.062236;0.003932
7525;0.539060;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.006632;-0.002235;0.097944;6.480101;0.511870;0.047354;0.114386;-0.088375;0.004677
7539;0.540068;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007271;-0.003087;0.097185;6.480094;0.511867;0.047453;0.157411;-0.122044;0.006764
7552;0.541004;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.008105;-0.003854;0.095782;6.480087;0.511864;0.047543;0.193076;-0.166215;0.009731
7566;0.542012;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.008892;-0.004828;0.094744;6.480078;0.511860;0.047639;0.241937;-0.208278;0.012194
7580;0.543019;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.009678;-0.005802;0.093706;6.480069;0.511854;0.047734;0.290804;-0.250347;0.014657
7594;0.544027;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.010463;-0.006775;0.092666;6.480059;0.511848;0.047828;0.339692;-0.292431;0.017120
7608;0.545035;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.011248;-0.007748;0.091624;6.480048;0.511841;0.047920;0.388613;-0.334548;0.019586
7622;0.546042;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.012365;-0.008023;0.086256;6.480036;0.511832;0.048010;0.396384;-0.394195;0.017664
7636;0.547050;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.013799;-0.008749;0.082724;6.480023;0.511824;0.048095;0.431688;-0.472831;0.019588
7650;0.548058;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.015067;-0.010011;0.080226;6.480008;0.511815;0.048177;0.494366;-0.541493;0.022433
7664;0.549066;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016535;-0.010933;0.076770;6.479992;0.511804;0.048256;0.537079;-0.621191;0.025664
7677;0.550002;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017962;-0.011446;0.072998;6.479976;0.511793;0.048326;0.563017;-0.700954;0.026861
7691;0.551009;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.019420;-0.012695;0.069874;6.479957;0.511781;0.048398;0.620727;-0.779459;0.031368
7705;0.552016;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.020304;-0.013724;0.064570;6.479937;0.511768;0.048465;0.667689;-0.828609;0.032553
7719;0.553023;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.021806;-0.014497;0.060186;6.479916;0.511753;0.048528;0.705878;-0.915570;0.034407
7733;0.554031;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.022754;-0.014171;0.052153;6.479893;0.511739;0.048585;0.689922;-0.978564;0.033821
7747;0.555037;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.023979;-0.014118;0.044589;6.479870;0.511725;0.048633;0.685489;-1.049726;0.032667
7761;0.556044;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.025637;-0.013973;0.037819;6.479845;0.511711;0.048674;0.680192;-1.145350;0.032339
7775;0.557051;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.026578;-0.013848;0.029788;6.479819;0.511697;0.048708;0.672590;-1.212743;0.031468
7789;0.558058;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.028027;-0.013731;0.022502;6.479791;0.511683;0.048734;0.667380;-1.301439;0.030917
7803;0.559064;0.000072;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.029008;-0.013750;0.014385;6.479762;0.511669;0.048752;0.668314;-1.360523;0.030512
