Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500064;0;0;-9.81;0;0;0;-78.2987;-1.57271e-09;1575.78;6.74256e-11;-3.12436e-06;2.02507e-11;0;0;0;0;0;0;78.2987;1.57271e-09;-1575.78;-806.612;10215;-40.0795;
0.501082;0;0;-9.81;0;0;0;2.50413e-12;6.91463e-13;9.81;2.9551e-15;-4.53168e-06;-1.94264e-14;0;0;0;0;0;0;-2.50413e-12;-6.91463e-13;-9.81;-5.02153;63.5691;-1.67511e-06;
0.502006;0;0;-9.81;0;0;0;-1.79255e-12;-1.1004e-12;9.81;7.91262e-14;-4.52802e-06;4.88468e-14;0;0;0;0;0;0;1.79255e-12;1.1004e-12;-9.81;-5.02153;63.5691;-1.58531e-06;
0.503023;0;0;-9.81;0;0;0;-1.32649e-13;-2.117e-13;9.81;5.15321e-15;-4.52702e-06;-1.92409e-16;0;0;0;0;0;0;1.32649e-13;2.117e-13;-9.81;-5.02152;63.5691;-1.46666e-06;
0.50404;0;0;-9.81;0;0;0;2.24761e-13;3.79916e-13;9.81;-6.57092e-15;-4.53222e-06;1.77566e-14;0;0;0;0;0;0;-2.24761e-13;-3.79916e-13;-9.81;-5.02152;63.5691;-1.46664e-06;
0.505057;0;0;-9.81;0;0;0;-2.79842e-12;-1.79883e-12;9.81;1.45201e-14;-4.53086e-06;2.94366e-14;0;0;0;0;0;0;2.79842e-12;1.79883e-12;-9.81;-5.02152;63.5691;-1.46633e-06;
0.506074;0;0;-9.81;0;0;0;2.61893e-12;-6.87889e-13;9.81;7.61214e-14;-4.52815e-06;2.34382e-14;0;0;0;0;0;0;-2.61893e-12;6.87889e-13;-9.81;-5.02152;63.5691;-1.41502e-06;
0.507091;0;0;-9.81;0;0;0;-2.73547e-12;1.66283e-12;9.81;-1.01762e-13;-4.52769e-06;1.50487e-14;0;0;0;0;0;0;2.73547e-12;-1.66283e-12;-9.81;-5.02152;63.5691;-1.39971e-06;
0.508015;0;0;-9.81;0;0;0;-1.62878e-12;-8.61983e-13;9.81;2.87652e-14;-4.52897e-06;1.87356e-14;0;0;0;0;0;0;1.62878e-12;8.61983e-13;-9.81;-5.02152;63.5691;-1.3507e-06;
0.509032;0;0;-9.81;0;0;0;1.67187e-13;2.83749e-13;9.81;-2.03266e-15;-4.5298e-06;-7.32412e-15;0;0;0;0;0;0;-1.67187e-13;-2.83749e-13;-9.81;-5.02152;63.5691;-1.34537e-06;
0.510048;0;0;-9.81;0;0;0;2.88147e-12;4.15481e-12;9.81;-1.7833e-13;-4.51093e-06;-4.9761e-14;0;0;0;0;0;0;-2.88147e-12;-4.15481e-12;-9.81;-5.02152;63.5691;-1.34517e-06;
0.511058;0;0;-9.81;0;0;0;2.28598e-12;-1.585e-11;9.81;7.78668e-13;-4.48564e-06;1.57799e-13;0;0;0;0;0;0;-2.28598e-12;1.585e-11;-9.81;-5.02152;63.5691;-1.34505e-06;
0.512064;0;0;-9.81;0;0;0;3.74603e-14;3.12888e-13;9.81;-8.32255e-15;-4.47808e-06;1.09909e-14;0;0;0;0;0;0;-3.74603e-14;-3.12888e-13;-9.81;-5.02152;63.5691;-1.39568e-06;
0.51307;0;0;-9.81;0;0;0;1.57022e-12;-8.67271e-13;9.81;4.60747e-14;-4.48692e-06;-9.4785e-15;0;0;0;0;0;0;-1.57022e-12;8.67271e-13;-9.81;-5.02152;63.5691;-1.48658e-06;
0.514078;0;0;-9.81;0;0;0;-7.79596e-13;-2.40613e-12;9.81;1.10421e-13;-4.48468e-06;3.02115e-14;0;0;0;0;0;0;7.79596e-13;2.40613e-12;-9.81;-5.02152;63.5691;-1.46493e-06;
0.515085;0;0;-9.81;0;0;0;7.54262e-12;3.75313e-11;9.81;-1.75363e-12;-4.48442e-06;-4.44547e-13;0;0;0;0;0;0;-7.54262e-12;-3.75313e-11;-9.81;-5.02152;63.569;-1.41355e-06;
0.516001;0;0;-9.81;0;0;0;-1.85046e-13;-1.37793e-12;9.81;7.20628e-14;-4.49363e-06;1.01998e-14;0;0;0;0;0;0;1.85046e-13;1.37793e-12;-9.81;-5.02152;63.569;-1.41348e-06;
0.517012;0;0;-9.81;0;0;0;-3.85483e-13;8.82228e-13;9.81;-4.40635e-14;-4.51236e-06;3.25611e-14;0;0;0;0;0;0;3.85483e-13;-8.82228e-13;-9.81;-5.02152;63.569;-1.38882e-06;
0.51802;0;0;-9.81;0;0;0;-1.19694e-12;-1.54833e-12;9.81;3.08512e-14;-4.48332e-06;9.96128e-17;0;0;0;0;0;0;1.19694e-12;1.54833e-12;-9.81;-5.02152;63.569;-1.38884e-06;
0.519032;0;0;-9.81;0;0;0;4.99096e-13;5.86044e-14;9.81;-1.2323e-15;-4.52653e-06;-2.24797e-14;0;0;0;0;0;0;-4.99096e-13;-5.86044e-14;-9.81;-5.02152;63.569;-1.43018e-06;
0.52005;0;0;-9.81;0;0;0;1.44317e-12;2.07214e-12;9.81;-7.08092e-14;-4.53223e-06;-3.5847e-15;0;0;0;0;0;0;-1.44317e-12;-2.07214e-12;-9.81;-5.02152;63.569;-1.48069e-06;
0.521067;0;0;-9.81;0;0;0;8.08115e-13;1.40222e-12;9.81;-4.83667e-14;-4.52924e-06;-7.02672e-15;0;0;0;0;0;0;-8.08115e-13;-1.40222e-12;-9.81;-5.02152;63.569;-1.48093e-06;
0.522084;0;0;-9.81;0;0;0;2.99199e-12;1.95146e-12;9.81;-5.10796e-14;-4.52648e-06;-3.09189e-14;0;0;0;0;0;0;-2.99199e-12;-1.95146e-12;-9.81;-5.02152;63.569;-1.48084e-06;
0.523008;0;0;-9.81;0;0;0;1.11432e-12;4.0261e-14;9.81;2.04914e-16;-4.52637e-06;-3.90587e-14;0;0;0;0;0;0;-1.11432e-12;-4.0261e-14;-9.81;-5.02152;63.569;-1.51917e-06;
0.524026;0;0;-9.81;0;0;0;2.65531e-12;-1.32477e-12;9.81;8.85151e-14;-4.53544e-06;-2.91809e-14;0;0;0;0;0;0;-2.65531e-12;1.32477e-12;-9.81;-5.02152;63.569;-1.51952e-06;
0.525044;0;0;-9.81;0;0;0;1.3951e-12;1.53179e-13;9.81;-1.02138e-14;-4.53359e-06;-1.33967e-15;0;0;0;0;0;0;-1.3951e-12;-1.53179e-13;-9.81;-5.02153;63.569;-1.59895e-06;
0.526062;0;0;-9.81;0;0;0;-4.02776e-13;-4.41179e-13;9.81;1.02867e-14;-4.53183e-06;-3.71566e-15;0;0;0;0;0;0;4.02776e-13;4.41179e-13;-9.81;-5.02153;63.569;-1.56837e-06;
0.527079;0;0;-9.81;0;0;0;1.23795e-12;2.23488e-13;9.81;4.74295e-15;-4.5306e-06;-3.26741e-14;0;0;0;0;0;0;-1.23795e-12;-2.23488e-13;-9.81;-5.02153;63.569;-1.59159e-06;
