time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;8.4803;0.3619;0.02
0.001138;0;0;0;8.4803;0.3619;0.02
0.002110;0;0;0;8.4803;0.3619;0.02
0.003083;0;0;0;8.4803;0.3619;0.02
0.004057;0;0;0;8.4803;0.3619;0.02
0.005031;0;0;0;8.4803;0.3619;0.02
0.006002;0;0;0;8.4803;0.3619;0.02
0.007137;0;0;0;8.4803;0.3619;0.02
0.008111;0;0;0;8.4803;0.3619;0.02
0.009085;0;0;0;8.4803;0.3619;0.02
0.010058;0;0;0;8.4803;0.3619;0.02
0.011030;0;0;0;8.4803;0.3619;0.02
0.012002;0;0;0;8.4803;0.3619;0.02
0.013138;0;0;0;8.4803;0.3619;0.02
0.014109;0;0;0;8.4803;0.3619;0.02
0.015079;0;0;0;8.4803;0.3619;0.02
0.016050;0;0;0;8.4803;0.3619;0.02
0.017022;0;0;0;8.4803;0.3619;0.02
0.018156;0;0;0;8.4803;0.3619;0.02
0.019126;0;0;0;8.4803;0.3619;0.02
0.020096;0;0;0;8.4803;0.3619;0.02
0.021066;0;0;0;8.4803;0.3619;0.02
0.022037;0;0;0;8.4803;0.3619;0.02
0.023005;0;0;0;8.4803;0.3619;0.02
0.024135;0;0;0;8.4803;0.3619;0.02
0.025104;0;0;0;8.4803;0.3619;0.02
0.026073;0;0;0;8.4803;0.3619;0.02
0.027041;0;0;0;8.4803;0.3619;0.02
0.028009;0;0;0;8.4803;0.3619;0.02
0.029139;0;0;0;8.4803;0.3619;0.02
0.030106;0;0;0;8.4803;0.3619;0.02
0.031074;0;0;0;8.4803;0.3619;0.02
0.032041;0;0;0;8.4803;0.3619;0.02
0.033007;0;0;0;8.4803;0.3619;0.02
0.034135;0;0;0;8.4803;0.3619;0.02
0.035101;0;0;0;8.4803;0.3619;0.02
0.036067;0;0;0;8.4803;0.3619;0.02
0.037032;0;0;0;8.4803;0.3619;0.02
0.038158;0;0;0;8.4803;0.3619;0.02
0.039122;0;0;0;8.4803;0.3619;0.02
0.040086;0;0;0;8.4803;0.3619;0.02
0.041050;0;0;0;8.4803;0.3619;0.02
0.042014;0;0;0;8.4803;0.3619;0.02
0.043138;0;0;0;8.4803;0.3619;0.02
0.044101;0;0;0;8.4803;0.3619;0.02
0.045063;0;0;0;8.4803;0.3619;0.02
0.046025;0;0;0;8.4803;0.3619;0.02
0.047147;0;0;0;8.4803;0.3619;0.02
0.048107;0;0;0;8.4803;0.3619;0.02
0.049068;0;0;0;8.4803;0.3619;0.02
0.050028;0;0;0;8.4803;0.3619;0.02
0.051147;0;0;0;8.4803;0.3619;0.02
0.052107;0;0;0;8.4803;0.3619;0.02
0.053066;0;0;0;8.4803;0.3619;0.02
0.054025;0;0;0;8.4803;0.3619;0.02
0.055143;0;0;0;8.4803;0.3619;0.02
0.056101;0;0;0;8.4803;0.3619;0.02
0.057060;0;0;0;8.4803;0.3619;0.02
0.058018;0;0;0;8.4803;0.3619;0.02
0.059136;0;0;0;8.4803;0.3619;0.02
0.060094;0;0;0;8.4803;0.3619;0.02
0.061053;0;0;0;8.4803;0.3619;0.02
0.062012;0;0;0;8.4803;0.3619;0.02
0.063131;0;0;0;8.4803;0.3619;0.02
0.064090;0;0;0;8.4803;0.3619;0.02
0.065048;0;0;0;8.4803;0.3619;0.02
0.066007;0;0;0;8.4803;0.3619;0.02
0.067124;0;0;0;8.4803;0.3619;0.02
0.068082;0;0;0;8.4803;0.3619;0.02
0.069040;0;0;0;8.4803;0.3619;0.02
0.070157;0;0;0;8.4803;0.3619;0.02
0.071115;0;0;0;8.4803;0.3619;0.02
0.072072;0;0;0;8.4803;0.3619;0.02
0.073032;0;0;0;8.4803;0.3619;0.02
0.074152;0;0;0;8.4803;0.3619;0.02
0.075112;0;0;0;8.4803;0.3619;0.02
0.076072;0;0;0;8.4803;0.3619;0.02
0.077031;0;0;0;8.4803;0.3619;0.02
0.078150;0;0;0;8.4803;0.3619;0.02
0.079109;0;0;0;8.4803;0.3619;0.02
0.080067;0;0;0;8.4803;0.3619;0.02
0.081026;0;0;0;8.4803;0.3619;0.02
0.082144;0;0;0;8.4803;0.3619;0.02
0.083102;0;0;0;8.4803;0.3619;0.02
0.084059;0;0;0;8.4803;0.3619;0.02
0.085014;0;0;0;8.4803;0.3619;0.02
0.086127;0;0;0;8.4803;0.3619;0.02
0.087079;0;0;0;8.4803;0.3619;0.02
0.088030;0;0;0;8.4803;0.3619;0.02
0.089138;0;0;0;8.4803;0.3619;0.02
0.090088;0;0;0;8.4803;0.3619;0.02
0.091037;0;0;0;8.4803;0.3619;0.02
0.092146;0;0;0;8.4803;0.3619;0.02
0.093096;0;0;0;8.4803;0.3619;0.02
0.094047;0;0;0;8.4803;0.3619;0.02
0.095158;0;0;0;8.4803;0.3619;0.02
0.096111;0;0;0;8.4803;0.3619;0.02
0.097065;0;0;0;8.4803;0.3619;0.02
0.098019;0;0;0;8.4803;0.3619;0.02
0.099134;0;0;0;8.4803;0.3619;0.02
0.100088;0;0;0;8.4803;0.3619;0.02
0.101042;0;0;0;8.4803;0.3619;0.02
0.102152;0;0;0;8.4803;0.3619;0.02
0.103101;0;0;0;8.4803;0.3619;0.02
0.104048;0;0;0;8.4803;0.3619;0.02
0.105151;0;0;0;8.4803;0.3619;0.02
0.106096;0;0;0;8.4803;0.3619;0.02
0.107041;0;0;0;8.4803;0.3619;0.02
0.108143;0;0;0;8.4803;0.3619;0.02
0.109088;0;0;0;8.4803;0.3619;0.02
0.110034;0;0;0;8.4803;0.3619;0.02
0.111139;0;0;0;8.4803;0.3619;0.02
0.112087;0;0;0;8.4803;0.3619;0.02
0.113037;0;0;0;8.4803;0.3619;0.02
0.114146;0;0;0;8.4803;0.3619;0.02
0.115097;0;0;0;8.4803;0.3619;0.02
0.116047;0;0;0;8.4803;0.3619;0.02
0.117155;0;0;0;8.4803;0.3619;0.02
0.118104;0;0;0;8.4803;0.3619;0.02
0.119052;0;0;0;8.4803;0.3619;0.02
0.120001;0;0;0;8.4803;0.3619;0.02
0.121108;0;0;0;8.4803;0.3619;0.02
0.122057;0;0;0;8.4803;0.3619;0.02
0.123006;0;0;0;8.4803;0.3619;0.02
0.124115;0;0;0;8.4803;0.3619;0.02
0.125065;0;0;0;8.4803;0.3619;0.02
0.126015;0;0;0;8.4803;0.3619;0.02
0.127123;0;0;0;8.4803;0.3619;0.02
0.128073;0;0;0;8.4803;0.3619;0.02
0.129024;0;0;0;8.4803;0.3619;0.02
0.130133;0;0;0;8.4803;0.3619;0.02
0.131085;0;0;0;8.4803;0.3619;0.02
0.132036;0;0;0;8.4803;0.3619;0.02
0.133145;0;0;0;8.4803;0.3619;0.02
0.134096;0;0;0;8.4803;0.3619;0.02
0.135047;0;0;0;8.4803;0.3619;0.02
0.136155;0;0;0;8.4803;0.3619;0.02
0.137106;0;0;0;8.4803;0.3619;0.02
0.138057;0;0;0;8.4803;0.3619;0.02
0.139008;0;0;0;8.4803;0.3619;0.02
0.140115;0;0;0;8.4803;0.3619;0.02
0.141064;0;0;0;8.4803;0.3619;0.02
0.142007;0;0;0;8.4803;0.3619;0.02
0.143101;0;0;0;8.4803;0.3619;0.02
0.144038;0;0;0;8.4803;0.3619;0.02
0.145136;0;0;0;8.4803;0.3619;0.02
0.146079;0;0;0;8.4803;0.3619;0.02
0.147020;0;0;0;8.4803;0.3619;0.02
0.148118;0;0;0;8.4803;0.3619;0.02
0.149065;0;0;0;8.4803;0.3619;0.02
0.150010;0;0;0;8.4803;0.3619;0.02
0.151109;0;0;0;8.4803;0.3619;0.02
0.152051;0;0;0;8.4803;0.3619;0.02
0.153152;0;0;0;8.4803;0.3619;0.02
0.154100;0;0;0;8.4803;0.3619;0.02
0.155047;0;0;0;8.4803;0.3619;0.02
0.156150;0;0;0;8.4803;0.3619;0.02
0.157095;0;0;0;8.4803;0.3619;0.02
0.158038;0;0;0;8.4803;0.3619;0.02
0.159138;0;0;0;8.4803;0.3619;0.02
0.160079;0;0;0;8.4803;0.3619;0.02
0.161020;0;0;0;8.4803;0.3619;0.02
0.162111;0;0;0;8.4803;0.3619;0.02
0.163052;0;0;0;8.4803;0.3619;0.02
0.164002;0;0;0;8.4803;0.3619;0.02
0.165112;0;0;0;8.4803;0.3619;0.02
0.166063;0;0;0;8.4803;0.3619;0.02
0.167015;0;0;0;8.4803;0.3619;0.02
0.168124;0;0;0;8.4803;0.3619;0.02
0.169071;0;0;0;8.4803;0.3619;0.02
0.170020;0;0;0;8.4803;0.3619;0.02
0.171126;0;0;0;8.4803;0.3619;0.02
0.172070;0;0;0;8.4803;0.3619;0.02
0.173009;0;0;0;8.4803;0.3619;0.02
0.174104;0;0;0;8.4803;0.3619;0.02
0.175048;0;0;0;8.4803;0.3619;0.02
0.176149;0;0;0;8.4803;0.3619;0.02
0.177094;0;0;0;8.4803;0.3619;0.02
0.178039;0;0;0;8.4803;0.3619;0.02
0.179141;0;0;0;8.4803;0.3619;0.02
0.180086;0;0;0;8.4803;0.3619;0.02
0.181034;0;0;0;8.4803;0.3619;0.02
0.182139;0;0;0;8.4803;0.3619;0.02
0.183086;0;0;0;8.4803;0.3619;0.02
0.184034;0;0;0;8.4803;0.3619;0.02
0.185140;0;0;0;8.4803;0.3619;0.02
0.186087;0;0;0;8.4803;0.3619;0.02
0.187032;0;0;0;8.4803;0.3619;0.02
0.188132;0;0;0;8.4803;0.3619;0.02
0.189077;0;0;0;8.4803;0.3619;0.02
0.190022;0;0;0;8.4803;0.3619;0.02
0.191119;0;0;0;8.4803;0.3619;0.02
0.192059;0;0;0;8.4803;0.3619;0.02
0.193000;0;0;0;8.4803;0.3619;0.02
0.194096;0;0;0;8.4803;0.3619;0.02
0.195030;0;0;0;8.4803;0.3619;0.02
0.196117;0;0;0;8.4803;0.3619;0.02
0.197047;0;0;0;8.4803;0.3619;0.02
0.198132;0;0;0;8.4803;0.3619;0.02
0.199058;0;0;0;8.4803;0.3619;0.02
0.200133;0;0;0;8.4803;0.3619;0.02
0.201053;0;0;0;8.4803;0.3619;0.02
0.202129;0;0;0;8.4803;0.3619;0.02
0.203054;0;0;0;8.4803;0.3619;0.02
0.204138;0;0;0;8.4803;0.3619;0.02
0.205071;0;0;0;8.4803;0.3619;0.02
0.206010;0;0;0;8.4803;0.3619;0.02
0.207109;0;0;0;8.4803;0.3619;0.02
0.208056;0;0;0;8.4803;0.3619;0.02
0.209004;0;0;0;8.4803;0.3619;0.02
0.210112;0;0;0;8.4803;0.3619;0.02
0.211061;0;0;0;8.4803;0.3619;0.02
0.212010;0;0;0;8.4803;0.3619;0.02
0.213118;0;0;0;8.4803;0.3619;0.02
0.214068;0;0;0;8.4803;0.3619;0.02
