time [s];zmax [m];posx [m];posy [m];posz [m]
0.000000;-3.40282e+38;8.25;0.5119;0.02
0.001466;-3.40282e+38;8.25;0.5119;0.02
0.002051;-3.40282e+38;8.25;0.5119;0.02
0.003220;-3.40282e+38;8.25;0.5119;0.02
0.004096;-3.40282e+38;8.25;0.5119;0.02
0.005265;-3.40282e+38;8.25;0.5119;0.02
0.006142;-3.40282e+38;8.25;0.5119;0.02
0.007020;-3.40282e+38;8.25;0.5119;0.02
0.008190;-3.40282e+38;8.25;0.5119;0.02
0.009067;-3.40282e+38;8.25;0.5119;0.02
0.010235;-3.40282e+38;8.25;0.5119;0.02
0.011111;-3.40282e+38;8.25;0.5119;0.02
0.012280;-3.40282e+38;8.25;0.5119;0.02
0.013157;-3.40282e+38;8.25;0.5119;0.02
0.014033;-3.40282e+38;8.25;0.5119;0.02
0.015201;-3.40282e+38;8.25;0.5119;0.02
0.016076;-3.40282e+38;8.25;0.5119;0.02
0.017241;-3.40282e+38;8.25;0.5119;0.02
0.018114;-3.40282e+38;8.25;0.5119;0.02
0.019277;-3.40282e+38;8.25;0.5119;0.02
0.020150;-3.40282e+38;8.25;0.5119;0.02
0.021023;-3.40282e+38;8.25;0.5119;0.02
0.022188;-3.40282e+38;8.25;0.5119;0.02
0.023060;-3.40282e+38;8.25;0.5119;0.02
0.024223;-3.40282e+38;8.25;0.5119;0.02
0.025094;-3.40282e+38;8.25;0.5119;0.02
0.026254;-3.40282e+38;8.25;0.5119;0.02
0.027123;-3.40282e+38;8.25;0.5119;0.02
0.028282;-3.40282e+38;8.25;0.5119;0.02
0.029152;-3.40282e+38;8.25;0.5119;0.02
0.030021;-3.40282e+38;8.25;0.5119;0.02
0.031179;-3.40282e+38;8.25;0.5119;0.02
0.032047;-3.40282e+38;8.25;0.5119;0.02
0.033204;-3.40282e+38;8.25;0.5119;0.02
0.034071;-3.40282e+38;8.25;0.5119;0.02
0.035227;-3.40282e+38;8.25;0.5119;0.02
0.036094;-3.40282e+38;8.25;0.5119;0.02
0.037249;-3.40282e+38;8.25;0.5119;0.02
0.038115;-3.40282e+38;8.25;0.5119;0.02
