nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
25802;0.500018;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.000178;8.478670;0.508602;0.118456;0.000000;0.000000;0.000000
25853;0.501003;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.009840;8.478670;0.508602;0.118451;0.000000;0.000000;0.000000
25905;0.502007;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.019691;8.478670;0.508602;0.118436;0.000000;0.000000;0.000000
25957;0.503011;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.029541;8.478670;0.508602;0.118411;0.000000;0.000000;0.000000
26009;0.504015;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.039392;8.478670;0.508602;0.118377;0.000000;0.000000;0.000000
26060;0.505000;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.049052;8.478670;0.508602;0.118333;0.000000;0.000000;0.000000
26112;0.506004;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.058901;8.478670;0.508602;0.118279;0.000000;0.000000;0.000000
26164;0.507008;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.068750;8.478670;0.508602;0.118214;0.000000;0.000000;0.000000
26216;0.508012;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.078597;8.478670;0.508602;0.118140;0.000000;0.000000;0.000000
26268;0.509015;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.088434;8.478670;0.508602;0.118057;0.000000;0.000000;0.000000
26320;0.510017;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.098266;8.478670;0.508602;0.117963;0.000000;0.000000;0.000000
26371;0.511001;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.107923;8.478670;0.508602;0.117861;0.000000;0.000000;0.000000
26423;0.512005;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.117768;8.478670;0.508602;0.117748;0.000000;0.000000;0.000000
26475;0.513008;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.127612;8.478670;0.508602;0.117625;0.000000;0.000000;0.000000
26527;0.514012;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.137457;8.478670;0.508602;0.117492;0.000000;0.000000;0.000000
26579;0.515016;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.147302;8.478670;0.508602;0.117349;0.000000;0.000000;0.000000
26631;0.516019;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.157149;8.478670;0.508602;0.117196;0.000000;0.000000;0.000000
26682;0.517004;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.166806;8.478670;0.508602;0.117036;0.000000;0.000000;0.000000
26734;0.518007;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.176652;8.478670;0.508602;0.116864;0.000000;0.000000;0.000000
26786;0.519011;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.186500;8.478670;0.508602;0.116681;0.000000;0.000000;0.000000
26838;0.520015;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.196349;8.478670;0.508602;0.116489;0.000000;0.000000;0.000000
26890;0.521019;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.206198;8.478670;0.508602;0.116287;0.000000;0.000000;0.000000
26941;0.522004;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.215858;8.478670;0.508602;0.116079;0.000000;0.000000;0.000000
26993;0.523008;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.225707;8.478670;0.508602;0.115857;0.000000;0.000000;0.000000
27045;0.524012;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.235557;8.478670;0.508602;0.115626;0.000000;0.000000;0.000000
27097;0.525016;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.245407;8.478670;0.508602;0.115384;0.000000;0.000000;0.000000
27148;0.526001;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.255067;8.478670;0.508602;0.115138;0.000000;0.000000;0.000000
27200;0.527005;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.264917;8.478670;0.508602;0.114876;0.000000;0.000000;0.000000
27252;0.528009;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.274767;8.478670;0.508602;0.114605;0.000000;0.000000;0.000000
27304;0.529013;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.284616;8.478670;0.508602;0.114324;0.000000;0.000000;0.000000
27356;0.530017;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.294466;8.478670;0.508602;0.114034;0.000000;0.000000;0.000000
27407;0.531002;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.304125;8.478670;0.508602;0.113739;0.000000;0.000000;0.000000
27459;0.532006;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.313974;8.478670;0.508602;0.113429;0.000000;0.000000;0.000000
27511;0.533009;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.323823;8.478670;0.508602;0.113108;0.000000;0.000000;0.000000
27563;0.534013;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.333671;8.478670;0.508602;0.112778;0.000000;0.000000;0.000000
27615;0.535017;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.343520;8.478670;0.508602;0.112438;0.000000;0.000000;0.000000
27666;0.536002;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.353178;8.478670;0.508602;0.112095;0.000000;0.000000;0.000000
27718;0.537006;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.363025;8.478670;0.508602;0.111735;0.000000;0.000000;0.000000
27770;0.538009;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.372873;8.478670;0.508602;0.111366;0.000000;0.000000;0.000000
27822;0.539013;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.382720;8.478670;0.508602;0.110987;0.000000;0.000000;0.000000
27874;0.540017;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.392567;8.478670;0.508602;0.110598;0.000000;0.000000;0.000000
27925;0.541001;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.402224;8.478670;0.508602;0.110206;0.000000;0.000000;0.000000
27977;0.542005;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.412070;8.478670;0.508602;0.109797;0.000000;0.000000;0.000000
28029;0.543009;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.421917;8.478670;0.508602;0.109379;0.000000;0.000000;0.000000
28081;0.544013;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.431764;8.478670;0.508602;0.108950;0.000000;0.000000;0.000000
28133;0.545016;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.441610;8.478670;0.508602;0.108512;0.000000;0.000000;0.000000
28184;0.546001;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.451268;8.478670;0.508602;0.108072;0.000000;0.000000;0.000000
28236;0.547004;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.461114;8.478670;0.508602;0.107614;0.000000;0.000000;0.000000
28288;0.548008;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.470961;8.478670;0.508602;0.107146;0.000000;0.000000;0.000000
28340;0.549012;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.480808;8.478670;0.508602;0.106669;0.000000;0.000000;0.000000
28392;0.550016;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.490655;8.478670;0.508602;0.106181;0.000000;0.000000;0.000000
28443;0.551000;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.500311;8.478670;0.508602;0.105693;0.000000;0.000000;0.000000
28495;0.552004;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.510158;8.478670;0.508602;0.105186;0.000000;0.000000;0.000000
28547;0.553008;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.520005;8.478670;0.508602;0.104669;0.000000;0.000000;0.000000
28599;0.554011;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.529852;8.478670;0.508602;0.104142;0.000000;0.000000;0.000000
28651;0.555015;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.539698;8.478670;0.508602;0.103605;0.000000;0.000000;0.000000
28703;0.556019;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.549545;8.478670;0.508602;0.103058;0.000000;0.000000;0.000000
28754;0.557003;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.559202;8.478670;0.508602;0.102512;0.000000;0.000000;0.000000
28806;0.558007;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.569049;8.478670;0.508602;0.101946;0.000000;0.000000;0.000000
28858;0.559011;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.578896;8.478670;0.508602;0.101370;0.000000;0.000000;0.000000
28910;0.560015;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.588743;8.478670;0.508602;0.100784;0.000000;0.000000;0.000000
28962;0.561018;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.598589;8.478670;0.508602;0.100188;0.000000;0.000000;0.000000
29013;0.562003;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.608246;8.478670;0.508602;0.099594;0.000000;0.000000;0.000000
29065;0.563006;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.618092;8.478670;0.508602;0.098978;0.000000;0.000000;0.000000
29117;0.564010;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.627938;8.478670;0.508602;0.098353;0.000000;0.000000;0.000000
29169;0.565014;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.637784;8.478670;0.508602;0.097718;0.000000;0.000000;0.000000
29221;0.566017;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.647629;8.478670;0.508602;0.097072;0.000000;0.000000;0.000000
29272;0.567001;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.657284;8.478670;0.508602;0.096430;0.000000;0.000000;0.000000
29324;0.568005;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.667129;8.478670;0.508602;0.095766;0.000000;0.000000;0.000000
29376;0.569008;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.676973;8.478670;0.508602;0.095091;0.000000;0.000000;0.000000
29428;0.570012;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.686817;8.478670;0.508602;0.094407;0.000000;0.000000;0.000000
29480;0.571015;0.000019;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.696661;8.478670;0.508602;0.093712;0.000000;0.000000;0.000000
