nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
3705;0.500107;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.001052;8.480300;0.511875;0.118456;0.000000;0.000000;0.000000
3712;0.501046;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.010263;8.480300;0.511875;0.118450;0.000000;0.000000;0.000000
3720;0.502119;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.020788;8.480300;0.511875;0.118433;0.000000;0.000000;0.000000
3727;0.503058;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.029995;8.480300;0.511875;0.118408;0.000000;0.000000;0.000000
3735;0.504129;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.040510;8.480300;0.511875;0.118370;0.000000;0.000000;0.000000
3742;0.505067;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.049707;8.480300;0.511875;0.118327;0.000000;0.000000;0.000000
3749;0.506004;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.058904;8.480300;0.511875;0.118275;0.000000;0.000000;0.000000
3757;0.507078;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.069430;8.480300;0.511875;0.118206;0.000000;0.000000;0.000000
3764;0.508016;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.078635;8.480300;0.511875;0.118136;0.000000;0.000000;0.000000
3772;0.509088;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.089152;8.480300;0.511875;0.118045;0.000000;0.000000;0.000000
3779;0.510026;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.098356;8.480300;0.511875;0.117956;0.000000;0.000000;0.000000
3787;0.511098;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.108873;8.480300;0.511875;0.117845;0.000000;0.000000;0.000000
3794;0.512037;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.118079;8.480300;0.511875;0.117737;0.000000;0.000000;0.000000
3802;0.513110;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.128608;8.480300;0.511875;0.117604;0.000000;0.000000;0.000000
3809;0.514049;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.137816;8.480300;0.511875;0.117479;0.000000;0.000000;0.000000
3817;0.515121;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.148339;8.480300;0.511875;0.117325;0.000000;0.000000;0.000000
3824;0.516060;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.157552;8.480300;0.511875;0.117180;0.000000;0.000000;0.000000
3832;0.517134;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.168085;8.480300;0.511875;0.117005;0.000000;0.000000;0.000000
3839;0.518074;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.177303;8.480300;0.511875;0.116842;0.000000;0.000000;0.000000
3846;0.519013;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.186522;8.480300;0.511875;0.116670;0.000000;0.000000;0.000000
3854;0.520087;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.197053;8.480300;0.511875;0.116464;0.000000;0.000000;0.000000
3861;0.521027;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.206270;8.480300;0.511875;0.116274;0.000000;0.000000;0.000000
3869;0.522100;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.216806;8.480300;0.511875;0.116046;0.000000;0.000000;0.000000
3876;0.523041;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.226028;8.480300;0.511875;0.115837;0.000000;0.000000;0.000000
3884;0.524115;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.236564;8.480300;0.511875;0.115588;0.000000;0.000000;0.000000
3891;0.525054;0.000134;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.245781;8.480300;0.511875;0.115361;0.000000;0.000000;0.000000
