nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
12767;0.500004;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.008480;0.000009;0.098956;6.479650;0.489271;0.054170;-0.010467;-0.075094;-0.000908
12793;0.501020;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007201;0.000004;0.099761;6.479642;0.489271;0.054272;-0.000485;-0.003900;-0.000021
12819;0.502036;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007144;-0.000001;0.099739;6.479635;0.489271;0.054373;-0.000153;-0.000988;-0.000008
12844;0.503012;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007151;0.000004;0.099738;6.479628;0.489271;0.054471;0.000021;-0.001389;0.000001
12870;0.504028;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007188;0.000007;0.099737;6.479621;0.489271;0.054572;0.000055;-0.003413;-0.000006
12895;0.505005;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007184;0.000007;0.099734;6.479614;0.489271;0.054670;0.000108;-0.003231;-0.000001
12921;0.506021;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007243;-0.000001;0.099721;6.479606;0.489271;0.054771;-0.000527;-0.006340;0.000010
12947;0.507036;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007260;-0.000000;0.099728;6.479599;0.489271;0.054872;-0.000486;-0.007256;-0.000023
12972;0.508013;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007257;-0.000001;0.099728;6.479592;0.489271;0.054970;-0.000491;-0.007120;-0.000023
12998;0.509030;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007296;0.000013;0.099720;6.479584;0.489271;0.055071;-0.000005;-0.009344;0.000012
13023;0.510007;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007326;0.000003;0.099709;6.479577;0.489271;0.055168;-0.000868;-0.010757;-0.000054
13049;0.511023;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007430;-0.000003;0.099657;6.479570;0.489271;0.055270;0.000843;-0.016084;-0.000049
13074;0.512000;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007704;-0.000003;0.099611;6.479562;0.489271;0.055367;-0.000120;-0.031603;0.000124
13100;0.513017;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.008077;0.000005;0.099536;6.479554;0.489271;0.055468;-0.000285;-0.051154;0.000045
13126;0.514033;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.008442;0.000007;0.099455;6.479546;0.489271;0.055569;-0.000392;-0.070762;0.000062
13151;0.515010;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.008871;-0.000016;0.099252;6.479538;0.489271;0.055667;0.000911;-0.092643;-0.000193
13177;0.516027;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.009346;-0.000021;0.099117;6.479528;0.489271;0.055767;0.001159;-0.117853;-0.000245
13202;0.517004;0.000039;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.009990;0.000113;0.098524;6.479519;0.489271;0.055864;-0.005843;-0.152286;-0.000408
