time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;8.75;0.25;0.2014
0.001005;0;0;0;8.75;0.25;0.2014
0.002008;0;0;0;8.75;0.25;0.2014
0.003010;0;0;0;8.75;0.25;0.2014
0.004012;0;0;0;8.75;0.25;0.2014
0.005015;0;0;0;8.75;0.25;0.2014
0.006017;0;0;0;8.75;0.25;0.2014
0.007019;0;0;0;8.75;0.25;0.2014
0.008022;0;0;0;8.75;0.25;0.2014
0.009024;0;0;0;8.75;0.25;0.2014
0.010026;0;0;0;8.75;0.25;0.2014
0.011027;0;0;0;8.75;0.25;0.2014
0.012028;0;0;0;8.75;0.25;0.2014
0.013028;0;0;0;8.75;0.25;0.2014
0.014028;0;0;0;8.75;0.25;0.2014
0.015028;0;0;0;8.75;0.25;0.2014
0.016028;0;0;0;8.75;0.25;0.2014
0.017026;0;0;0;8.75;0.25;0.2014
0.018025;0;0;0;8.75;0.25;0.2014
0.019023;0;0;0;8.75;0.25;0.2014
0.020020;0;0;0;8.75;0.25;0.2014
0.021018;0;0;0;8.75;0.25;0.2014
0.022015;0;0;0;8.75;0.25;0.2014
0.023013;0;0;0;8.75;0.25;0.2014
0.024010;0;0;0;8.75;0.25;0.2014
0.025007;0;0;0;8.75;0.25;0.2014
0.026004;0;0;0;8.75;0.25;0.2014
0.027001;0;0;0;8.75;0.25;0.2014
0.028037;0;0;0;8.75;0.25;0.2014
0.029033;0;0;0;8.75;0.25;0.2014
0.030028;0;0;0;8.75;0.25;0.2014
0.031021;0;0;0;8.75;0.25;0.2014
0.032014;0;0;0;8.75;0.25;0.2014
0.033006;0;0;0;8.75;0.25;0.2014
0.034037;0;0;0;8.75;0.25;0.2014
0.035030;0;0;0;8.75;0.25;0.2014
0.036022;0;0;0;8.75;0.25;0.2014
0.037014;0;0;0;8.75;0.25;0.2014
0.038003;0;0;0;8.75;0.25;0.2014
0.039031;0;0;0;8.75;0.25;0.2014
0.040022;0;0;0;8.75;0.25;0.2014
0.041012;0;0;0;8.75;0.25;0.2014
0.042003;0;0;0;8.75;0.25;0.2014
0.043031;0;0;0;8.75;0.25;0.2014
0.044020;0;0;0;8.75;0.25;0.2014
0.045008;0;0;0;8.75;0.25;0.2014
0.046036;0;0;0;8.75;0.25;0.2014
0.047025;0;0;0;8.75;0.25;0.2014
0.048011;0;0;0;8.75;0.25;0.2014
0.049036;0;0;0;8.75;0.25;0.2014
0.050022;0;0;0;8.75;0.25;0.2014
0.051003;0;0;0;8.75;0.25;0.2014
0.052018;0;0;0;8.75;0.25;0.2014
0.053038;0;0;0;8.75;0.25;0.2014
0.054023;0;0;0;8.75;0.25;0.2014
0.055009;0;0;0;8.75;0.25;0.2014
0.056035;0;0;0;8.75;0.25;0.2014
0.057021;0;0;0;8.75;0.25;0.2014
0.058008;0;0;0;8.75;0.25;0.2014
0.059034;0;0;0;8.75;0.25;0.2014
0.060019;0;0;0;8.75;0.25;0.2014
0.061004;0;0;0;8.75;0.25;0.2014
0.062030;0;0;0;8.75;0.25;0.2014
0.063016;0;0;0;8.75;0.25;0.2014
0.064003;0;0;0;8.75;0.25;0.2014
0.065027;0;0;0;8.75;0.25;0.2014
0.066011;0;0;0;8.75;0.25;0.2014
0.067035;0;0;0;8.75;0.25;0.2014
0.068011;0;0;0;8.75;0.25;0.2014
0.069015;0;0;0;8.75;0.25;0.2014
0.070025;0;0;0;8.75;0.25;0.2014
0.071006;0;0;0;8.75;0.25;0.2014
0.072028;0;0;0;8.75;0.25;0.2014
0.073010;0;0;0;8.75;0.25;0.2014
0.074027;0;0;0;8.75;0.25;0.2014
0.075006;0;0;0;8.75;0.25;0.2014
0.076028;0;0;0;8.75;0.25;0.2014
0.077004;0;0;0;8.75;0.25;0.2014
0.078008;0;0;0;8.75;0.25;0.2014
0.079022;0;0;0;8.75;0.25;0.2014
0.080004;0;0;0;8.75;0.25;0.2014
0.081024;0;0;0;8.75;0.25;0.2014
0.082005;0;0;0;8.75;0.25;0.2014
0.083024;0;0;0;8.75;0.25;0.2014
0.084004;0;0;0;8.75;0.25;0.2014
0.085021;0;0;0;8.75;0.25;0.2014
0.086000;0;0;0;8.75;0.25;0.2014
0.087021;0;0;0;8.75;0.25;0.2014
0.088004;0;0;0;8.75;0.25;0.2014
0.089024;0;0;0;8.75;0.25;0.2014
0.090005;0;0;0;8.75;0.25;0.2014
0.091026;0;0;0;8.75;0.25;0.2014
0.092000;0;0;0;8.75;0.25;0.2014
0.093015;0;0;0;8.75;0.25;0.2014
0.094033;0;0;0;8.75;0.25;0.2014
0.095006;0;0;0;8.75;0.25;0.2014
0.096020;0;0;0;8.75;0.25;0.2014
0.097031;0;0;0;8.75;0.25;0.2014
0.098003;0;0;0;8.75;0.25;0.2014
0.099018;0;0;0;8.75;0.25;0.2014
0.100038;0;0;0;8.75;0.25;0.2014
0.101021;0;0;0;8.75;0.25;0.2014
0.102003;0;0;0;8.75;0.25;0.2014
0.103026;0;0;0;8.75;0.25;0.2014
0.104008;0;0;0;8.75;0.25;0.2014
0.105028;0;0;0;8.75;0.25;0.2014
0.106010;0;0;0;8.75;0.25;0.2014
0.107031;0;0;0;8.75;0.25;0.2014
0.108014;0;0;0;8.75;0.25;0.2014
0.109037;0;0;0;8.75;0.25;0.2014
0.110019;0;0;0;8.75;0.25;0.2014
0.111037;0;0;0;8.75;0.25;0.2014
0.112015;0;0;0;8.75;0.25;0.2014
0.113028;0;0;0;8.75;0.25;0.2014
0.114000;0;0;0;8.75;0.25;0.2014
0.115009;0;0;0;8.75;0.25;0.2014
0.116024;0;0;0;8.75;0.25;0.2014
0.117005;0;0;0;8.75;0.25;0.2014
0.118024;0;0;0;8.75;0.25;0.2014
0.119001;0;0;0;8.75;0.25;0.2014
0.120020;0;0;0;8.75;0.25;0.2014
0.121001;0;0;0;8.75;0.25;0.2014
0.122019;0;0;0;8.75;0.25;0.2014
0.123038;0;0;0;8.75;0.25;0.2014
0.124018;0;0;0;8.75;0.25;0.2014
0.125037;0;0;0;8.75;0.25;0.2014
0.126016;0;0;0;8.75;0.25;0.2014
0.127030;0;0;0;8.75;0.25;0.2014
0.128007;0;0;0;8.75;0.25;0.2014
0.129019;0;0;0;8.75;0.25;0.2014
0.130026;0;0;0;8.75;0.25;0.2014
0.131006;0;0;0;8.75;0.25;0.2014
0.132025;0;0;0;8.75;0.25;0.2014
0.133030;0;0;0;8.75;0.25;0.2014
0.134030;0;0;0;8.75;0.25;0.2014
0.135001;0;0;0;8.75;0.25;0.2014
0.136014;0;0;0;8.75;0.25;0.2014
0.137024;0;0;0;8.75;0.25;0.2014
0.138036;0;0;0;8.75;0.25;0.2014
0.139013;0;0;0;8.75;0.25;0.2014
0.140024;0;0;0;8.75;0.25;0.2014
0.141037;0;0;0;8.75;0.25;0.2014
0.142017;0;0;0;8.75;0.25;0.2014
0.143036;0;0;0;8.75;0.25;0.2014
0.144012;0;0;0;8.75;0.25;0.2014
0.145032;0;0;0;8.75;0.25;0.2014
0.146012;0;0;0;8.75;0.25;0.2014
0.147028;0;0;0;8.75;0.25;0.2014
0.148006;0;0;0;8.75;0.25;0.2014
0.149026;0;0;0;8.75;0.25;0.2014
0.150006;0;0;0;8.75;0.25;0.2014
0.151024;0;0;0;8.75;0.25;0.2014
0.152030;0;0;0;8.75;0.25;0.2014
0.153031;0;0;0;8.75;0.25;0.2014
0.154001;0;0;0;8.75;0.25;0.2014
0.155013;0;0;0;8.75;0.25;0.2014
0.156027;0;0;0;8.75;0.25;0.2014
0.157008;0;0;0;8.75;0.25;0.2014
0.158019;0;0;0;8.75;0.25;0.2014
0.159029;0;0;0;8.75;0.25;0.2014
0.160007;0;0;0;8.75;0.25;0.2014
0.161014;0;0;0;8.75;0.25;0.2014
0.162032;0;0;0;8.75;0.25;0.2014
0.163008;0;0;0;8.75;0.25;0.2014
0.164023;0;0;0;8.75;0.25;0.2014
0.165000;0;0;0;8.75;0.25;0.2014
0.166014;0;0;0;8.75;0.25;0.2014
0.167024;0;0;0;8.75;0.25;0.2014
0.168003;0;0;0;8.75;0.25;0.2014
0.169020;0;0;0;8.75;0.25;0.2014
0.170031;0;0;0;8.75;0.25;0.2014
0.171034;0;0;0;8.75;0.25;0.2014
0.172003;0;0;0;8.75;0.25;0.2014
0.173017;0;0;0;8.75;0.25;0.2014
0.174030;0;0;0;8.75;0.25;0.2014
0.175010;0;0;0;8.75;0.25;0.2014
0.176030;0;0;0;8.75;0.25;0.2014
0.177004;0;0;0;8.75;0.25;0.2014
0.178037;0;0;0;8.75;0.25;0.2014
0.179012;0;0;0;8.75;0.25;0.2014
0.180030;0;0;0;8.75;0.25;0.2014
0.181006;0;0;0;8.75;0.25;0.2014
0.182024;0;0;0;8.75;0.25;0.2014
0.183033;0;0;0;8.75;0.25;0.2014
0.184013;0;0;0;8.75;0.25;0.2014
0.185034;0;0;0;8.75;0.25;0.2014
0.186012;0;0;0;8.75;0.25;0.2014
0.187030;0;0;0;8.75;0.25;0.2014
0.188002;0;0;0;8.75;0.25;0.2014
0.189011;0;0;0;8.75;0.25;0.2014
0.190029;0;0;0;8.75;0.25;0.2014
0.191004;0;0;0;8.75;0.25;0.2014
0.192021;0;0;0;8.75;0.25;0.2014
0.193002;0;0;0;8.75;0.25;0.2014
0.194023;0;0;0;8.75;0.25;0.2014
0.195002;0;0;0;8.75;0.25;0.2014
0.196015;0;0;0;8.75;0.25;0.2014
0.197029;0;0;0;8.75;0.25;0.2014
0.198010;0;0;0;8.75;0.25;0.2014
0.199029;0;0;0;8.75;0.25;0.2014
0.200009;0;0;0;8.75;0.25;0.2014
0.201029;0;0;0;8.75;0.25;0.2014
0.202009;0;0;0;8.75;0.25;0.2014
0.203028;0;0;0;8.75;0.25;0.2014
0.204005;0;0;0;8.75;0.25;0.2014
0.205020;0;0;0;8.75;0.25;0.2014
0.206032;0;0;0;8.75;0.25;0.2014
0.207038;0;0;0;8.75;0.25;0.2014
0.208013;0;0;0;8.75;0.25;0.2014
0.209026;0;0;0;8.75;0.25;0.2014
0.210000;0;0;0;8.75;0.25;0.2014
0.211013;0;0;0;8.75;0.25;0.2014
0.212029;0;0;0;8.75;0.25;0.2014
0.213005;0;0;0;8.75;0.25;0.2014
0.214022;0;0;0;8.75;0.25;0.2014
0.215002;0;0;0;8.75;0.25;0.2014
0.216018;0;0;0;8.75;0.25;0.2014
0.217034;0;0;0;8.75;0.25;0.2014
0.218013;0;0;0;8.75;0.25;0.2014
0.219032;0;0;0;8.75;0.25;0.2014
0.220012;0;0;0;8.75;0.25;0.2014
0.221031;0;0;0;8.75;0.25;0.2014
0.222012;0;0;0;8.75;0.25;0.2014
0.223030;0;0;0;8.75;0.25;0.2014
0.224036;0;0;0;8.75;0.25;0.2014
0.225004;0;0;0;8.75;0.25;0.2014
0.226020;0;0;0;8.75;0.25;0.2014
0.227035;0;0;0;8.75;0.25;0.2014
0.228014;0;0;0;8.75;0.25;0.2014
0.229033;0;0;0;8.75;0.25;0.2014
0.230011;0;0;0;8.75;0.25;0.2014
0.231030;0;0;0;8.75;0.25;0.2014
0.232010;0;0;0;8.75;0.25;0.2014
0.233029;0;0;0;8.75;0.25;0.2014
0.234008;0;0;0;8.75;0.25;0.2014
0.235027;0;0;0;8.75;0.25;0.2014
0.236029;0;0;0;8.75;0.25;0.2014
0.237001;0;0;0;8.75;0.25;0.2014
0.238011;0;0;0;8.75;0.25;0.2014
0.239029;0;0;0;8.75;0.25;0.2014
0.240008;0;0;0;8.75;0.25;0.2014
0.241027;0;0;0;8.75;0.25;0.2014
0.242006;0;0;0;8.75;0.25;0.2014
0.243025;0;0;0;8.75;0.25;0.2014
0.244004;0;0;0;8.75;0.25;0.2014
0.245022;0;0;0;8.75;0.25;0.2014
0.246002;0;0;0;8.75;0.25;0.2014
0.247020;0;0;0;8.75;0.25;0.2014
0.248039;0;0;0;8.75;0.25;0.2014
0.249018;0;0;0;8.75;0.25;0.2014
0.250036;0;0;0;8.75;0.25;0.2014
0.251015;0;0;0;8.75;0.25;0.2014
0.252034;0;0;0;8.75;0.25;0.2014
0.253013;0;0;0;8.75;0.25;0.2014
0.254032;0;0;0;8.75;0.25;0.2014
0.255011;0;0;0;8.75;0.25;0.2014
0.256030;0;0;0;8.75;0.25;0.2014
0.257009;0;0;0;8.75;0.25;0.2014
0.258028;0;0;0;8.75;0.25;0.2014
0.259008;0;0;0;8.75;0.25;0.2014
0.260023;0;0;0;8.75;0.25;0.2014
0.261038;0;0;0;8.75;0.25;0.2014
0.262013;0;0;0;8.75;0.25;0.2014
0.263025;0;0;0;8.75;0.25;0.2014
0.264039;0;0;0;8.75;0.25;0.2014
0.265016;0;0;0;8.75;0.25;0.2014
0.266029;0;0;0;8.75;0.25;0.2014
0.267004;0;0;0;8.75;0.25;0.2014
0.268023;0;0;0;8.75;0.25;0.2014
0.269003;0;0;0;8.75;0.25;0.2014
0.270021;0;0;0;8.75;0.25;0.2014
0.271000;0;0;0;8.75;0.25;0.2014
0.272019;0;0;0;8.75;0.25;0.2014
0.273037;0;0;0;8.75;0.25;0.2014
