Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.50001;0;0;-15.5822;0;0;0;-695.21;1.27894e-09;16700.6;-1.63646e-10;-6.17089e-07;-2.50359e-11;0;0;0;0;0;0;695.21;-1.27894e-09;-16700.6;-8324.73;108198;-346.54;
0.501011;0;0;-15.5822;0;0;0;-7.52081e-13;1.87326e-12;15.5822;-1.59646e-14;-2.95401e-06;6.78703e-14;0;0;0;0;0;0;7.52081e-13;-1.87326e-12;-15.5822;-7.76722;100.926;-3.01901e-07;
0.502013;0;0;-15.5822;0;0;0;-9.69184e-11;5.19297e-11;15.5822;-2.0404e-12;-2.9558e-06;-1.17438e-12;0;0;0;0;0;0;9.69184e-11;-5.19297e-11;-15.5822;-7.76722;100.926;-3.23804e-07;
0.503015;0;0;-15.5822;0;0;0;2.03642e-11;4.92637e-12;15.5822;2.16594e-13;-2.95416e-06;-1.19099e-13;0;0;0;0;0;0;-2.03642e-11;-4.92637e-12;-15.5822;-7.76722;100.926;-3.55558e-07;
0.504017;0;0;-15.5822;0;0;0;-5.54794e-11;1.36066e-11;15.5822;-4.6654e-14;-2.95447e-06;-8.07925e-13;0;0;0;0;0;0;5.54794e-11;-1.36066e-11;-15.5822;-7.76723;100.926;-5.72917e-07;
0.505019;0;0;-15.5822;0;0;0;7.15883e-10;-8.01539e-12;15.5822;7.18106e-12;-2.95281e-06;9.00251e-12;0;0;0;0;0;0;-7.15883e-10;8.01539e-12;-15.5822;-7.76723;100.926;-7.0101e-07;
0.506021;0;0;-15.5822;0;0;0;-2.36746e-07;5.27032e-08;15.5822;2.48303e-09;-2.96777e-06;-7.84472e-10;0;0;0;0;0;0;2.36746e-07;-5.27032e-08;-15.5822;-7.76723;100.926;-1.06424e-06;
0.507023;0;0;-15.5822;0;0;0;1.17e-05;1.05061e-05;15.5822;-1.82639e-08;-3.38469e-06;4.83196e-07;0;0;0;0;0;0;-1.17e-05;-1.05061e-05;-15.5822;-7.76721;100.926;-6.31506e-05;
0.508024;0;0;-15.5822;0;0;0;-0.000937827;0.000968699;15.5817;8.38576e-05;-8.58433e-05;3.61948e-06;0;0;0;0;0;0;0.000937827;-0.000968699;-15.5817;-7.76701;100.923;-0.00674547;
0.509026;0;0;-15.5822;0;0;0;0.00472761;0.000687775;15.5867;7.56203e-05;0.000318051;1.12678e-05;0;0;0;0;0;0;-0.00472761;-0.000687775;-15.5867;-7.7695;100.955;-0.00210902;
0.510028;0;0;-15.5822;0;0;0;0.152201;0.00925671;15.6364;0.00613566;0.0122871;0.000722144;0;0;0;0;0;0;-0.152201;-0.00925671;-15.6364;-7.79997;101.258;0.0151899;
0.51103;0;0;-15.5822;0;0;0;-0.127355;0.0372346;15.5823;-0.00192799;-0.0095953;0.000156286;0;0;0;0;0;0;0.127355;-0.0372346;-15.5823;-7.7638;100.941;-0.304806;
0.512031;0;0;-15.5822;0;0;0;0.166307;-0.0129431;15.7834;9.33142e-05;0.00916168;0.00121287;0;0;0;0;0;0;-0.166307;0.0129431;-15.7834;-7.8681;102.213;0.165518;
0.513032;0;0;-15.5822;0;0;0;-0.0214935;-0.194684;15.483;-0.0251429;0.00509677;0.000616214;0;0;0;0;0;0;0.0214935;0.194684;-15.483;-7.70057;100.279;1.24964;
0.514034;0;0;-15.5822;0;0;0;-0.140845;0.00916919;15.5576;-0.00173222;-0.00959644;0.000753714;0;0;0;0;0;0;0.140845;-0.00916919;-15.5576;-7.75285;100.782;-0.130349;
0.515032;0;0;-15.5822;0;0;0;-0.24693;-0.224067;15.1493;-0.0187661;-0.0145942;-0.00114799;0;0;0;0;0;0;0.24693;0.224067;-15.1493;-7.54183;98.1461;1.32934;
0.516026;0;0;-15.5822;0;0;0;-0.470065;0.118292;16.31;-0.00514643;-0.0430483;-0.00417551;0;0;0;0;0;0;0.470065;-0.118292;-16.31;-8.12;105.702;-0.996311;
0.517028;0;0;-15.5822;0;0;0;-2.18312;-2.06281;6.8723;0.229687;-0.203202;0.0160612;0;0;0;0;0;0;2.18312;2.06281;-6.8723;-3.74004;44.8046;12.2565;
0.51803;0;0;-15.5822;0;0;0;-2.13418;-2.03898;6.39531;0.234721;-0.185612;0.00706693;0;0;0;0;0;0;2.13418;2.03898;-6.39531;-3.50658;41.6958;12.1355;
0.519031;0;0;-15.5822;0;0;0;-2.63051;-1.3031;5.90974;0.14282;-0.239324;0.0107999;0;0;0;0;0;0;2.63051;1.3031;-5.90974;-3.14233;38.6249;7.11815;
0.520032;0;0;-15.5822;0;0;0;-2.14621;-1.93036;5.94957;0.211514;-0.201174;0.015728;0;0;0;0;0;0;2.14621;1.93036;-5.94957;-3.25689;38.8249;11.4173;
0.521034;0;0;-15.5822;0;0;0;-1.8045;-2.19629;5.76763;0.246121;-0.168783;0.0127314;0;0;0;0;0;0;1.8045;2.19629;-5.76763;-3.21197;37.6001;13.313;
0.522036;0;0;-15.5822;0;0;0;-1.0529;-2.58013;5.08619;0.288341;-0.09032;0.0138718;0;0;0;0;0;0;1.0529;2.58013;-5.08619;-2.93038;33.0769;16.1727;
0.523037;0;0;-15.5822;0;0;0;-0.546601;-0.53936;1.35456;0.052951;-0.0503104;0.0013345;0;0;0;0;0;0;0.546601;0.53936;-1.35456;-0.7505;8.84634;3.21961;
0.52404;0;0;-15.5822;0;0;0;-1.2327;-2.38264;4.85568;0.269875;-0.119589;0.00983151;0;0;0;0;0;0;1.2327;2.38264;-4.85568;-2.78927;31.6207;14.8079;
0.525042;0;0;-15.5822;0;0;0;-1.22935;-2.38241;4.85299;0.269878;-0.119674;0.00961479;0;0;0;0;0;0;1.22935;2.38241;-4.85299;-2.78774;31.6031;14.8083;
0.526044;0;0;-15.5822;0;0;0;-1.50872;-2.2131;4.797;0.249602;-0.145747;0.0112627;0;0;0;0;0;0;1.50872;2.2131;-4.797;-2.73262;31.2782;13.5707;
0.527001;0;0;-15.5822;0;0;0;-2.18748;-1.31396;4.43453;0.153274;-0.214477;0.0120576;0;0;0;0;0;0;2.18748;1.31396;-4.43453;-2.41813;29.0274;7.40806;
0.528003;0;0;-15.5822;0;0;0;-1.77105;-1.89157;4.58416;0.217587;-0.173635;0.0124152;0;0;0;0;0;0;1.77105;1.89157;-4.58416;-2.58115;29.9384;11.3563;
0.529005;0;0;-15.5822;0;0;0;-0.144766;-0.844275;1.59695;0.0439647;-0.0988341;-0.048266;0;0;0;0;0;0;0.144766;0.844275;-1.59695;-0.875062;10.4481;5.44435;
0.530007;0;0;-15.5822;0;0;0;-1.4883;-1.87761;4.2657;0.246751;-0.135448;0.0264715;0;0;0;0;0;0;1.4883;1.87761;-4.2657;-2.45087;27.8257;11.3928;
0.531008;0;0;-15.5822;0;0;0;-1.16907;-1.89181;3.99825;0.249916;-0.12502;0.0139196;0;0;0;0;0;0;1.16907;1.89181;-3.99825;-2.32142;26.0697;11.6564;
0.53201;0;0;-15.5822;0;0;0;-1.43775;-1.78662;4.08677;0.220089;-0.16136;0.00733472;0;0;0;0;0;0;1.43775;1.78662;-4.08677;-2.33108;26.6904;10.8478;
0.533011;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.534013;0;0;-15.5822;0;0;0;-216.477;860.386;2504.29;-97.2844;-9.37136;-4.20592;0;0;0;0;0;0;216.477;-860.386;-2504.29;-1114.72;16238;-5676.15;
0.535015;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.536016;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.537014;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.538014;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.539015;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.540017;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.541019;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.542021;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.543018;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.544013;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.545015;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.546018;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.54702;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.548023;0;0;-15.5822;0;0;0;30.7027;-3.35547;64.6836;-4.14455;0.209061;1.97809;0;0;0;0;0;0;-30.7027;3.35547;-64.6836;-28.2281;417.435;35.0532;
0.549026;0;0;-15.5822;0;0;0;1.82089;7.20454;14.4448;-0.768081;0.146272;0.0238681;0;0;0;0;0;0;-1.82089;-7.20454;-14.4448;-6.13011;93.3294;-45.7765;
0.550029;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.551032;0;0;-15.5822;0;0;0;1.27764;2.48548;5.549;-0.30063;0.044621;0.0492326;0;0;0;0;0;0;-1.27764;-2.48548;-5.549;-2.36105;35.84;-15.5096;
0.552034;0;0;-15.5822;0;0;0;2.05023;10.7134;21.0817;-1.1171;0.224856;-0.00562867;0;0;0;0;0;0;-2.05023;-10.7134;-21.0817;-8.94234;136.224;-68.3572;
0.553035;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.554037;0;0;-15.5822;0;0;0;1.73817;8.38429;16.5741;-0.879418;0.174027;0.00419218;0;0;0;0;0;0;-1.73817;-8.38429;-16.5741;-7.03119;107.094;-53.4382;
0.55504;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.556042;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.557044;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.558001;0;0;-15.5822;0;0;0;3.597;-10.1954;24.3851;0.216712;-0.382857;0.0782191;0;0;0;0;0;0;-3.597;10.1954;-24.3851;-12.7927;158.161;67.744;
0.559003;0;0;-15.5822;0;0;0;-4.20982;-3.19023;18.2926;0.274009;-0.290601;0.0197269;0;0;0;0;0;0;4.20982;3.19023;-18.2926;-9.52291;118.935;18.5434;
0.560006;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.561008;0;0;-15.5822;0;0;0;0.354621;3.14747;10.7738;-0.342941;0.0125047;-0.0195573;0;0;0;0;0;0;-0.354621;-3.14747;-10.7738;-4.89576;69.7481;-20.1879;
0.56201;0;0;-15.5822;0;0;0;-1.74717;0.0557495;20.5519;-0.018788;-0.248003;0.00401219;0;0;0;0;0;0;1.74717;-0.0557495;-20.5519;-10.2214;133.423;-1.2358;
0.563012;0;0;-15.5822;0;0;0;0.0023559;1.45565;7.44248;-0.158033;-0.0260181;-0.00874091;0;0;0;0;0;0;-0.0023559;-1.45565;-7.44248;-3.49066;48.2263;-9.41746;
0.564014;0;0;-15.5822;0;0;0;-1.644;2.24162;19.1252;-0.244244;-0.116798;-0.0126893;0;0;0;0;0;0;1.644;-2.24162;-19.1252;-9.19415;124.047;-15.3243;
0.565015;0;0;-15.5822;0;0;0;2.02304;7.93792;18.4716;-0.917589;0.154463;-0.0165677;0;0;0;0;0;0;-2.02304;-7.93792;-18.4716;-7.95863;119.391;-50.3843;
0.566018;0;0;-15.5822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.56702;0;0;-15.5822;0;0;0;0.727519;5.24043;31.9746;-0.561873;0.0780838;-0.050308;0;0;0;0;0;0;-0.727519;-5.24043;-31.9746;-15.1558;206.972;-33.5262;
0.568022;0;0;-15.5822;0;0;0;-3.3256;-2.83133;13.924;0.296812;-0.28247;0.0283097;0;0;0;0;0;0;3.3256;2.83133;-13.924;-7.35366;90.5979;16.6511;
0.569024;0;0;-15.5822;0;0;0;-4.27935;-1.3137;22.5959;0.144948;-0.309951;0.0105206;0;0;0;0;0;0;4.27935;1.3137;-22.5959;-11.4606;146.827;6.36479;
0.570026;0;0;-15.5822;0;0;0;-2.24024;-2.12718;8.69419;0.234132;-0.196784;0.0152221;0;0;0;0;0;0;2.24024;2.12718;-8.69419;-4.65536;56.5968;12.6448;
0.571029;0;0;-15.5822;0;0;0;-1.25413;3.65548;21.2924;-0.396852;-0.078514;-0.0218304;0;0;0;0;0;0;1.25413;-3.65548;-21.2924;-10.0629;138.029;-24.2775;
0.572031;0;0;-15.5822;0;0;0;-3.85412;-2.16164;36.0531;0.23461;-0.232218;0.0154224;0;0;0;0;0;0;3.85412;2.16164;-36.0531;-18.2921;233.886;12.0634;
0.573034;0;0;-15.5822;0;0;0;-3.60893;-1.45419;18.6205;0.165719;-0.27643;0.00954843;0;0;0;0;0;0;3.60893;1.45419;-18.6205;-9.50601;121.02;7.60976;
0.574036;0;0;-15.5822;0;0;0;1.61054;1.91159;12.586;-0.220019;0.0698819;-0.0446179;0;0;0;0;0;0;-1.61054;-1.91159;-12.586;-5.97312;81.3751;-11.5329;
0.575037;0;0;-15.5822;0;0;0;1.24352;-4.28776;10.3855;0.465397;0.0796666;0.0256286;0;0;0;0;0;0;-1.24352;4.28776;-10.3855;-5.81921;67.1293;28.3633;
0.576039;0;0;-15.5822;0;0;0;-0.703804;0.642491;36.956;-0.155064;-0.084296;0.0519798;0;0;0;0;0;0;0.703804;-0.642491;-36.956;-18.236;239.455;-4.56376;
0.577041;0;0;-15.5822;0;0;0;-0.822577;-4.77552;31.4158;0.518478;-0.0128127;0.0295475;0;0;0;0;0;0;0.822577;4.77552;-31.4158;-16.3734;203.508;30.4887;
0.578043;0;0;-15.5822;0;0;0;-0.294739;-0.546427;4.36702;0.0484801;-0.0809788;0.0128986;0;0;0;0;0;0;0.294739;0.546427;-4.36702;-2.24756;28.3758;3.37908;
0.579045;0;0;-15.5822;0;0;0;1.83347;-0.677893;4.0814;0.115907;0.245263;-0.00543581;0;0;0;0;0;0;-1.83347;0.677893;-4.0814;-2.1781;26.1114;5.30949;
