nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
7757;0.500007;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.003050;-0.000893;0.097455;6.479400;0.511875;0.042958;0.066085;0.067817;-0.000270
7773;0.501038;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004989;-0.000004;0.099871;6.479395;0.511875;0.043061;0.000198;0.000219;0.000014
7788;0.502002;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004971;-0.000015;0.099848;6.479390;0.511875;0.043157;0.000653;0.001157;0.000057
7804;0.503029;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004053;-0.000417;0.099015;6.479386;0.511874;0.043260;0.023399;0.050411;0.001156
7820;0.504056;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002601;-0.001085;0.096848;6.479382;0.511874;0.043360;0.060394;0.124497;0.003102
7835;0.505018;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001099;-0.001698;0.094796;6.479380;0.511872;0.043452;0.093257;0.201044;0.004298
7851;0.506044;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000558;-0.003094;0.090149;6.479380;0.511870;0.043548;0.170457;0.228238;0.005154
7866;0.507009;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000331;-0.004511;0.085481;6.479380;0.511866;0.043632;0.248267;0.260957;0.010054
7882;0.508038;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.001687;-0.005797;0.079529;6.479381;0.511861;0.043717;0.308272;0.316241;0.011508
7897;0.509001;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.002758;-0.006731;0.073558;6.479383;0.511855;0.043791;0.361453;0.369232;0.012993
7913;0.510027;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003307;-0.008635;0.067396;6.479386;0.511847;0.043863;0.455794;0.398005;0.010673
7929;0.511056;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003888;-0.010478;0.061350;6.479390;0.511837;0.043929;0.551131;0.432941;0.009311
7944;0.512020;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004211;-0.012014;0.055152;6.479394;0.511826;0.043985;0.634137;0.453653;0.008646
7960;0.513045;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004486;-0.013831;0.048750;6.479398;0.511813;0.044038;0.731050;0.471361;0.008035
7975;0.514009;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004774;-0.014775;0.040864;6.479403;0.511799;0.044081;0.771965;0.482782;0.006554
7991;0.515035;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.005005;-0.015683;0.032361;6.479408;0.511783;0.044118;0.814407;0.495082;0.005904
8007;0.516062;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.005089;-0.015819;0.022545;6.479413;0.511767;0.044146;0.820427;0.503170;0.006693
8022;0.517024;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.006022;-0.016904;0.015367;6.479418;0.511751;0.044164;0.876735;0.573981;0.007630
8038;0.518053;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.007097;-0.017982;0.007698;6.479425;0.511733;0.044176;0.937844;0.648602;0.005943
8053;0.519019;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008112;-0.018982;0.000490;6.479432;0.511715;0.044179;0.995229;0.718417;0.004079
8069;0.520051;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008859;-0.019729;-0.007953;6.479441;0.511695;0.044175;1.040285;0.768317;0.001872
8084;0.521018;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009328;-0.020234;-0.016343;6.479450;0.511676;0.044163;1.070335;0.803401;0.001387
8100;0.522050;0.000065;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.010270;-0.021207;-0.024308;6.479460;0.511655;0.044142;1.129213;0.875764;0.000450
8115;0.523017;0.000065;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.010688;-0.021625;-0.032860;6.479470;0.511634;0.044114;1.155016;0.907291;-0.000090
8131;0.524049;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.011529;-0.022507;-0.041042;6.479482;0.511611;0.044076;1.213441;0.970910;-0.002395
8146;0.525016;0.000065;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.012343;-0.023380;-0.048635;6.479493;0.511589;0.044032;1.270563;1.033377;-0.004237
8162;0.526048;0.000065;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013204;-0.024312;-0.056750;6.479507;0.511564;0.043978;1.331321;1.099918;-0.006005
8177;0.527016;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013473;-0.024603;-0.065616;6.479520;0.511540;0.043918;1.350278;1.120669;-0.006369
8193;0.528047;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013473;-0.024603;-0.075731;6.479534;0.511515;0.043845;1.350290;1.120655;-0.006103
8208;0.529013;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013473;-0.024603;-0.085209;6.479547;0.511491;0.043767;1.350301;1.120642;-0.005853
8224;0.530043;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.006878;0.004538;0.041024;6.479548;0.511472;0.043718;-0.073492;0.660544;0.065628
8239;0.531008;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.006878;0.004538;0.031558;6.479554;0.511476;0.043752;-0.073522;0.660541;0.065620
8255;0.532038;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004035;0.001994;0.027736;6.479560;0.511479;0.043784;-0.080338;0.274426;-0.009381
8270;0.533000;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003095;0.001990;0.019538;6.479563;0.511481;0.043806;-0.078608;0.201740;-0.009563
8286;0.534032;0.000065;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.001829;0.001985;0.011094;6.479566;0.511483;0.043822;-0.076285;0.103888;-0.009811
8301;0.535001;0.000065;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000805;0.001981;0.002939;6.479567;0.511485;0.043828;-0.074411;0.024744;-0.010016
8317;0.536032;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000281;0.001975;-0.005735;6.479567;0.511487;0.043826;-0.072427;-0.059177;-0.010236
8333;0.537065;0.000065;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001389;0.001970;-0.014400;6.479566;0.511489;0.043816;-0.070405;-0.144860;-0.010463
8348;0.538035;0.000065;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002602;0.001964;-0.022319;6.479564;0.511491;0.043798;-0.068196;-0.238609;-0.010713
8363;0.539003;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.003606;0.001959;-0.030480;6.479561;0.511493;0.043772;-0.066370;-0.316238;-0.010925
8379;0.540029;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005681;0.001804;-0.037786;6.479557;0.511495;0.043736;-0.055549;-0.458731;-0.011047
8395;0.541059;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007130;0.001662;-0.045964;6.479550;0.511497;0.043693;-0.046321;-0.554033;-0.011070
8410;0.542023;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.003591;0.010305;-0.014021;6.479545;0.511503;0.043669;-0.566512;-0.235917;-0.028325
8426;0.543047;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004014;0.011595;-0.016196;6.479541;0.511515;0.043654;-0.637931;-0.265409;-0.031897
8441;0.544007;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003270;-0.003313;0.018054;6.479540;0.511521;0.043649;0.203462;0.232395;0.005620
8457;0.545035;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.002196;-0.003418;0.009581;6.479542;0.511518;0.043663;0.211249;0.151458;0.005540
8472;0.546002;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000826;-0.003550;0.002013;6.479544;0.511515;0.043669;0.220496;0.055740;0.005567
8488;0.547032;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000538;-0.003680;-0.006169;6.479544;0.511511;0.043666;0.229775;-0.040166;0.005614
8504;0.548059;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000165;-0.000633;0.000981;6.479544;0.511509;0.043664;0.034792;0.011776;0.001739
8519;0.549022;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000292;0.000635;-0.000817;6.479544;0.511509;0.043664;-0.034943;-0.014840;-0.001747
8535;0.550052;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000705;0.001966;-0.002831;6.479543;0.511510;0.043662;-0.108008;-0.046521;-0.005431
8550;0.551018;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001062;0.003312;-0.004474;6.479542;0.511513;0.043658;-0.180741;-0.069352;-0.008472
8566;0.552044;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001475;0.004675;-0.006229;6.479541;0.511517;0.043653;-0.256992;-0.097856;-0.012727
8581;0.553008;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001909;0.005908;-0.008291;6.479539;0.511522;0.043646;-0.323738;-0.126216;-0.015562
8597;0.554040;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000142;0.000240;0.000170;6.479538;0.511525;0.043644;-0.011520;0.009007;-0.000969
8612;0.555004;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000099;-0.000283;-0.000452;6.479538;0.511525;0.043643;0.015693;0.005987;0.000755
8628;0.556032;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000006;-0.000020;0.000125;6.479538;0.511525;0.043643;0.001101;0.000693;0.000055
8644;0.557059;0.000064;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000024;-0.000011;0.000200;6.479538;0.511525;0.043643;0.000589;-0.000792;0.000030
