Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500007;0;0;-9.81;0;0;0;-414.767;-121.441;13264.2;18.6244;13.756;-0.12503;0;0;0;0;0;0;414.767;121.441;-13264.2;-6813.49;85948.1;574.68;
0.501038;0;0;-9.81;0;0;0;-0.176546;0.371007;9.52735;-0.0397749;-0.013422;-0.00362217;0;0;0;0;0;0;0.176546;-0.371007;-9.52735;-4.821;61.7524;-2.49064;
0.502002;0;0;-9.81;0;0;0;0.148556;-0.0792755;9.64898;0.00751945;0.00947851;0.000942322;0;0;0;0;0;0;-0.148556;0.0792755;-9.64898;-4.95003;62.5035;0.588756;
0.503029;0;0;-9.81;0;0;0;1.17977;-0.522926;8.73146;0.060799;0.0942646;0.00492417;0;0;0;0;0;0;-1.17977;0.522926;-8.73146;-4.55285;56.4291;3.98721;
0.504056;0;0;-9.81;0;0;0;1.51876;-0.689103;7.88794;0.0794613;0.117893;0.00668399;0;0;0;0;0;0;-1.51876;0.689103;-7.88794;-4.14705;50.925;5.23569;
0.505018;0;0;-9.81;0;0;0;1.58694;-0.691546;7.7384;0.0787668;0.122248;0.00594122;0;0;0;0;0;0;-1.58694;0.691546;-7.7384;-4.06999;49.9486;5.28715;
0.506044;0;0;-9.81;0;0;0;-0.10734;-1.75866;3.8124;0.201937;-0.0101297;0.00101279;0;0;0;0;0;0;0.10734;1.75866;-3.8124;-2.23022;24.7168;11.3391;
0.507009;0;0;-9.81;0;0;0;-0.10782;-1.75572;3.81106;0.201941;-0.0100993;0.00106053;0;0;0;0;0;0;0.10782;1.75572;-3.81106;-2.22937;24.7081;11.3197;
0.508038;0;0;-9.81;0;0;0;2.32613;-0.917123;4.34524;0.0723465;0.143185;-0.00676065;0;0;0;0;0;0;-2.32613;0.917123;-4.34524;-2.33665;27.9095;7.1398;
0.509001;0;0;-9.81;0;0;0;0.721256;-0.432479;1.35994;0.079171;-0.00210303;-0.0426578;0;0;0;0;0;0;-0.721256;0.432479;-1.35994;-0.794385;8.78176;3.21403;
0.510027;0;0;-9.81;0;0;0;0.565789;-1.79492;3.93397;0.191931;0.0505988;-0.00451745;0;0;0;0;0;0;-0.565789;1.79492;-3.93397;-2.2845;25.4142;11.9241;
0.511056;0;0;-9.81;0;0;0;0.562599;-1.78558;3.93001;0.191985;0.0506526;-0.00446985;0;0;0;0;0;0;-0.562599;1.78558;-3.93001;-2.28202;25.3887;11.8619;
0.51202;0;0;-9.81;0;0;0;0.269892;-1.77892;3.57089;0.195836;0.0257295;-0.00198384;0;0;0;0;0;0;-0.269892;1.77892;-3.57089;-2.10197;23.0995;11.6664;
0.513045;0;0;-9.81;0;0;0;0.266902;-1.76346;3.56162;0.195665;0.0257541;-0.00191122;0;0;0;0;0;0;-0.266902;1.76346;-3.56162;-2.09624;23.0397;11.5647;
0.514009;0;0;-9.81;0;0;0;0.527728;-2.09469;3.27395;0.180099;0.0374832;-0.00504812;0;0;0;0;0;0;-0.527728;2.09469;-3.27395;-1.94816;21.1525;13.8475;
0.515035;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.516062;0;0;-9.81;0;0;0;0.795936;-1.25221;2.31971;0.11621;0.111438;0.020282;0;0;0;0;0;0;-0.795936;1.25221;-2.31971;-1.35907;14.8835;8.50064;
