nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
9273;0.500052;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480300;0.511875;0.043461;0.000000;-0.000000;0.000000
9291;0.501030;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480295;0.511875;0.043559;0.000000;-0.000000;0.000000
9309;0.502006;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480290;0.511875;0.043656;0.000000;-0.000000;0.000000
9328;0.503038;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480285;0.511875;0.043759;0.000000;-0.000000;0.000000
9346;0.504012;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480280;0.511875;0.043857;0.000000;0.000000;0.000000
9365;0.505041;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480275;0.511875;0.043960;0.000000;0.000000;0.000000
9383;0.506017;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480270;0.511875;0.044057;0.000000;0.000000;0.000000
9402;0.507049;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480265;0.511875;0.044160;0.000000;-0.000000;0.000000
9420;0.508026;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480260;0.511875;0.044258;0.000000;-0.000000;0.000000
9438;0.509002;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000001;0.099875;6.480255;0.511875;0.044355;0.000032;-0.000021;-0.000000
9457;0.510034;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004996;-0.000003;0.099874;6.480250;0.511875;0.044458;0.000148;-0.000098;0.000008
9475;0.511010;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004999;-0.000007;0.099873;6.480245;0.511875;0.044556;0.000382;-0.000246;0.000022
9494;0.512042;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005012;-0.000022;0.099870;6.480240;0.511875;0.044659;0.001258;-0.000820;0.000071
9512;0.513019;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005022;-0.000036;0.099867;6.480235;0.511875;0.044756;0.002065;-0.001349;0.000110
9531;0.514050;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005067;-0.000116;0.099857;6.480230;0.511875;0.044859;0.006316;-0.004537;0.000328
9549;0.515027;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005171;-0.000257;0.099805;6.480225;0.511875;0.044957;0.014394;-0.009364;0.000689
9567;0.516004;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005349;-0.000531;0.099686;6.480220;0.511874;0.045054;0.029397;-0.019784;0.001381
9586;0.517035;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005693;-0.000955;0.099389;6.480214;0.511874;0.045157;0.052398;-0.038974;0.002516
9604;0.518011;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.006052;-0.001420;0.099080;6.480208;0.511872;0.045254;0.077684;-0.059995;0.003795
9623;0.519043;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.006521;-0.002085;0.097996;6.480202;0.511871;0.045355;0.112523;-0.086486;0.004780
9641;0.520019;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007110;-0.002876;0.097240;6.480195;0.511868;0.045451;0.154536;-0.119817;0.006641
9660;0.521050;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007972;-0.003702;0.095744;6.480187;0.511865;0.045550;0.195239;-0.168074;0.009840
9678;0.522027;0.000054;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.008704;-0.004611;0.094727;6.480179;0.511861;0.045643;0.243263;-0.209420;0.012261
