Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500003;0;0;-9.81;0;0;0;2207.35;-4644.68;11893.9;539.373;264.388;24.7167;0;0;0;0;0;0;-2207.35;4644.68;-11893.9;-6828.01;76705.9;31199.9;
0.501015;0;0;-9.81;0;0;0;0.538509;-1.7104;3.90922;0.192872;0.050989;-0.00425948;0;0;0;0;0;0;-0.538509;1.7104;-3.90922;-2.26748;25.2553;11.3623;
0.502008;0;0;-9.81;0;0;0;0.144161;-0.88023;3.20495;0.189783;0.0250272;-0.00166293;0;0;0;0;0;0;-0.144161;0.88023;-3.20495;-1.86819;20.7349;5.77882;
0.503002;0;0;-9.81;0;0;0;0.249544;-1.67872;3.54724;0.197128;0.0260839;-0.00152361;0;0;0;0;0;0;-0.249544;1.67872;-3.54724;-2.085;22.9472;11.0064;
0.504013;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.505007;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.506018;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.507011;0;0;-9.81;0;0;0;0.883683;-1.15419;2.3073;0.118411;0.109466;0.00940815;0;0;0;0;0;0;-0.883683;1.15419;-2.3073;-1.34916;14.8023;7.9213;
0.508005;0;0;-9.81;0;0;0;1.01449;-1.02559;2.31291;0.121656;0.107171;-0.00583912;0;0;0;0;0;0;-1.01449;1.02559;-2.31291;-1.34952;14.8354;7.17022;
0.509016;0;0;-9.81;0;0;0;1.03014;-1.00001;2.30534;0.121913;0.106594;-0.00823827;0;0;0;0;0;0;-1.03014;1.00001;-2.30534;-1.34461;14.7864;7.01486;
0.510009;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.511002;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.512013;0;0;-9.81;0;0;0;0.91471;-0.901607;2.06119;0.11823;0.103835;-0.00704838;0;0;0;0;0;0;-0.91471;0.901607;-2.06119;-1.2115;13.2124;6.31699;
0.513006;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.514018;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.515011;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
