nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
18429;0.500009;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.003050;-0.000893;0.097455;6.479400;0.511875;0.042958;0.066089;0.067822;-0.000271
18466;0.501005;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004992;-0.000002;0.099872;6.479395;0.511875;0.043058;0.000067;0.000130;0.000014
18503;0.502004;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004988;-0.000004;0.099865;6.479390;0.511875;0.043158;0.000176;0.000323;0.000015
18540;0.503007;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004116;-0.000389;0.099073;6.479386;0.511874;0.043258;0.021819;0.047010;0.001079
18577;0.504010;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002718;-0.001032;0.096996;6.479382;0.511874;0.043356;0.057437;0.118401;0.002950
18614;0.505013;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001157;-0.001673;0.094871;6.479380;0.511872;0.043452;0.091878;0.198071;0.004235
18651;0.506016;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000530;-0.002974;0.090559;6.479380;0.511870;0.043545;0.163840;0.229752;0.005155
18688;0.507018;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000366;-0.004455;0.085676;6.479380;0.511866;0.043634;0.245170;0.262763;0.010099
18725;0.508021;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.001564;-0.005746;0.079822;6.479380;0.511861;0.043717;0.306175;0.311266;0.011563
18762;0.509024;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.002717;-0.006716;0.073586;6.479383;0.511855;0.043794;0.361130;0.366148;0.012487
18799;0.510027;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003241;-0.008592;0.067581;6.479386;0.511847;0.043865;0.453449;0.394807;0.010595
18835;0.511002;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003792;-0.010339;0.061849;6.479389;0.511838;0.043928;0.543843;0.427930;0.009303
18872;0.512005;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004141;-0.011942;0.055431;6.479393;0.511827;0.043986;0.630285;0.450244;0.008573
18909;0.513007;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004411;-0.013719;0.049172;6.479397;0.511814;0.044039;0.725029;0.467554;0.007974
18946;0.514010;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004703;-0.014724;0.041058;6.479402;0.511800;0.044084;0.769941;0.479498;0.006506
18983;0.515013;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004935;-0.015660;0.032821;6.479407;0.511784;0.044121;0.813185;0.492108;0.005958
19020;0.516015;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004982;-0.015740;0.023128;6.479412;0.511768;0.044149;0.816638;0.496784;0.006481
19057;0.517014;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.005943;-0.016871;0.015678;6.479417;0.511752;0.044168;0.874985;0.570334;0.007664
19094;0.518011;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.006985;-0.017915;0.008250;6.479424;0.511735;0.044180;0.934187;0.642609;0.006007
19131;0.519013;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008039;-0.018952;0.000772;6.479431;0.511716;0.044184;0.993733;0.715047;0.004067
19168;0.520016;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008758;-0.019667;-0.007449;6.479440;0.511697;0.044181;1.036765;0.763170;0.001986
19205;0.521019;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009266;-0.020211;-0.016106;6.479449;0.511677;0.044169;1.069025;0.800963;0.001440
19242;0.522022;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.010183;-0.021156;-0.023850;6.479458;0.511656;0.044149;1.126292;0.871311;0.000484
19279;0.523024;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.010660;-0.021632;-0.032607;6.479469;0.511635;0.044121;1.155723;0.907260;-0.000165
19316;0.524026;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.011452;-0.022461;-0.040619;6.479480;0.511613;0.044084;1.210689;0.967079;-0.002374
19352;0.525002;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.012274;-0.023341;-0.048278;6.479492;0.511590;0.044040;1.268326;1.030091;-0.004258
19389;0.526004;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013111;-0.024246;-0.056158;6.479504;0.511566;0.043988;1.327331;1.094705;-0.005986
19426;0.527007;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013449;-0.024612;-0.065203;6.479518;0.511542;0.043927;1.351212;1.120851;-0.006502
