nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
27602;0.500003;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.007117;-0.014979;0.038319;6.479400;0.511875;0.042957;0.839763;0.570497;0.023476
27658;0.501015;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.007997;-0.017995;0.034166;6.479408;0.511858;0.042995;0.972603;0.619860;0.022534
27713;0.502008;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008447;-0.019197;0.027305;6.479416;0.511839;0.043025;1.041180;0.646856;0.021722
27768;0.503002;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008695;-0.020867;0.021072;6.479425;0.511819;0.043049;1.135290;0.664156;0.021352
27824;0.504013;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008879;-0.021591;0.012592;6.479433;0.511797;0.043067;1.173406;0.672250;0.020395
27879;0.505007;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009201;-0.022729;0.004649;6.479442;0.511775;0.043075;1.221670;0.685814;0.019017
27935;0.506018;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009201;-0.022729;-0.005273;6.479452;0.511752;0.043075;1.221658;0.685834;0.019162
27990;0.507011;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009456;-0.023093;-0.014339;6.479461;0.511730;0.043065;1.238171;0.707480;0.020659
28045;0.508005;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.010469;-0.024197;-0.021775;6.479471;0.511706;0.043047;1.295865;0.779121;0.020640
28101;0.509016;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.011550;-0.025259;-0.029352;6.479482;0.511681;0.043021;1.355137;0.851211;0.018765
