Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500009;0;0;-9.81;0;0;0;-303.986;-110.707;10710.8;17.1979;12.7572;-0.0322328;0;0;0;0;0;0;303.986;110.707;-10710.8;-5504.58;69399.8;561.745;
0.501005;0;0;-9.81;0;0;0;-0.66368;1.12194;8.62815;-0.105262;-0.0674671;0.00212833;0;0;0;0;0;0;0.66368;-1.12194;-8.62815;-4.2628;56.0013;-7.61136;
0.502004;0;0;-9.81;0;0;0;-0.0360885;0.0147691;9.85078;-0.00182485;-0.00189399;-5.17608e-05;0;0;0;0;0;0;0.0360885;-0.0147691;-9.85078;-5.03991;63.8305;-0.114116;
0.503007;0;0;-9.81;0;0;0;1.17985;-0.522873;8.73179;0.0607989;0.094276;0.00493066;0;0;0;0;0;0;-1.17985;0.522873;-8.73179;-4.55301;56.4313;3.98689;
0.50401;0;0;-9.81;0;0;0;1.51886;-0.688902;7.8879;0.0794654;0.117897;0.00669051;0;0;0;0;0;0;-1.51886;0.688902;-7.8879;-4.14702;50.9247;5.23443;
0.505013;0;0;-9.81;0;0;0;1.58637;-0.692232;7.73779;0.0788424;0.122211;0.00593975;0;0;0;0;0;0;-1.58637;0.692232;-7.73779;-4.06977;49.9446;5.29131;
0.506016;0;0;-9.81;0;0;0;-0.10729;-1.75827;3.81155;0.201897;-0.0101268;0.00101163;0;0;0;0;0;0;0.10729;1.75827;-3.81155;-2.22972;24.7113;11.3366;
0.507018;0;0;-9.81;0;0;0;-0.107935;-1.75709;3.81369;0.202084;-0.0101084;0.0010621;0;0;0;0;0;0;0.107935;1.75709;-3.81369;-2.23092;24.7252;11.3285;
0.508021;0;0;-9.81;0;0;0;2.22743;-0.872037;4.32665;0.0698548;0.147189;-0.00368119;0;0;0;0;0;0;-2.22743;0.872037;-4.32665;-2.32267;27.7893;6.79407;
0.509024;0;0;-9.81;0;0;0;1.37247;-1.49982;3.13019;0.172562;0.000679257;-0.0753364;0;0;0;0;0;0;-1.37247;1.49982;-3.13019;-1.84107;20.2203;10.4957;
0.510027;0;0;-9.81;0;0;0;0.566606;-1.79749;3.93886;0.192166;0.0506616;-0.00452389;0;0;0;0;0;0;-0.566606;1.79749;-3.93886;-2.28736;25.4458;11.9412;
0.511002;0;0;-9.81;0;0;0;0.563431;-1.7881;3.93431;0.192181;0.0507034;-0.004478;0;0;0;0;0;0;-0.563431;1.7881;-3.93431;-2.28453;25.4164;11.8787;
0.512005;0;0;-9.81;0;0;0;0.269955;-1.77896;3.57094;0.195839;0.025729;-0.00198731;0;0;0;0;0;0;-0.269955;1.77896;-3.57094;-2.102;23.0999;11.6668;
