nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
27602;0.500003;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.007590;-0.015438;0.039296;6.479400;0.511875;0.042957;0.849373;0.590060;0.025771
27658;0.501015;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008339;-0.017841;0.034353;6.479408;0.511858;0.042995;0.965843;0.632802;0.024233
27713;0.502008;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008782;-0.019085;0.027538;6.479417;0.511839;0.043026;1.035875;0.659414;0.023298
27768;0.503002;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009031;-0.020755;0.021305;6.479426;0.511819;0.043050;1.129971;0.676719;0.022934
27824;0.504013;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009200;-0.021439;0.012780;6.479435;0.511798;0.043067;1.167063;0.684470;0.022033
27879;0.505007;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009523;-0.022560;0.004861;6.479444;0.511776;0.043076;1.216280;0.698264;0.020562
27935;0.506018;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009523;-0.022560;-0.005060;6.479454;0.511753;0.043076;1.216267;0.698286;0.020709
27990;0.507011;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009708;-0.022823;-0.014287;6.479463;0.511731;0.043066;1.229029;0.714967;0.021825
28045;0.508005;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.010656;-0.023868;-0.021730;6.479473;0.511708;0.043048;1.287091;0.787260;0.022038
28101;0.509016;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.011673;-0.024870;-0.029314;6.479485;0.511683;0.043022;1.346773;0.860006;0.020335
28156;0.510009;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.012385;-0.025558;-0.037435;6.479497;0.511658;0.042989;1.388320;0.910473;0.019015
28211;0.511002;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.012696;-0.025853;-0.046475;6.479509;0.511632;0.042948;1.408046;0.931070;0.017784
28267;0.512013;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013566;-0.026730;-0.054376;6.479522;0.511606;0.042897;1.463938;0.999563;0.016753
28322;0.513006;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.014275;-0.027421;-0.062497;6.479536;0.511579;0.042839;1.509019;1.054475;0.015563
28378;0.514018;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.014651;-0.027795;-0.071550;6.479551;0.511551;0.042771;1.535556;1.083196;0.014431
28433;0.515011;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.031102;-0.016913;-0.048042;6.479581;0.511533;0.042725;0.937007;1.890961;0.090291
28488;0.516004;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.032993;-0.015216;-0.053614;6.479613;0.511517;0.042675;0.864574;1.994643;0.093575
28544;0.517015;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.010539;-0.008974;0.044763;6.479617;0.511506;0.042686;0.513897;-0.460863;0.028336
28599;0.518009;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.009090;-0.007724;0.038241;6.479607;0.511497;0.042727;0.457496;-0.380575;0.031355
28654;0.519002;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007557;-0.006393;0.031922;6.479599;0.511490;0.042761;0.397588;-0.295194;0.034475
28710;0.520014;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005829;-0.004906;0.025796;6.479592;0.511484;0.042790;0.331361;-0.201029;0.038147
28765;0.521007;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004693;-0.003940;0.018504;6.479587;0.511480;0.042811;0.288630;-0.140471;0.040716
28820;0.522000;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002930;-0.002394;0.012715;6.479583;0.511477;0.042827;0.219613;-0.041927;0.044158
28876;0.523012;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001594;-0.001276;0.005670;6.479581;0.511475;0.042836;0.169373;0.029003;0.047442
28931;0.524005;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000071;0.000162;-0.000453;6.479580;0.511474;0.042838;0.106404;0.118520;0.050966
28987;0.525016;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.001516;0.001438;-0.007200;6.479581;0.511475;0.042835;0.051384;0.197139;0.053659
29042;0.526009;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003110;0.002803;-0.013487;6.479583;0.511477;0.042824;-0.008796;0.282499;0.057206
29097;0.527003;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004577;0.004076;-0.020030;6.479587;0.511481;0.042808;-0.064447;0.361686;0.060241
29153;0.528014;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.006028;0.005355;-0.026675;6.479592;0.511486;0.042784;-0.121633;0.443379;0.063042
29208;0.529007;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.007683;0.006764;-0.032830;6.479599;0.511492;0.042755;-0.184252;0.532088;0.066825
29264;0.530018;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009186;0.008077;-0.039428;6.479608;0.511499;0.042718;-0.242155;0.614599;0.069842
29319;0.531011;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.009470;0.009789;0.001081;6.479604;0.511508;0.042709;-0.541960;-0.519385;-0.023156
29374;0.532003;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007940;0.011138;-0.005197;6.479595;0.511518;0.042706;-0.602478;-0.432928;-0.020184
29430;0.533013;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.006249;0.012581;-0.011442;6.479587;0.511530;0.042697;-0.666503;-0.342240;-0.016375
29485;0.534006;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004685;0.013945;-0.017696;6.479582;0.511543;0.042682;-0.727428;-0.255524;-0.013232
29541;0.535016;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.006328;0.000808;0.000235;6.479585;0.511547;0.042680;0.115544;0.687289;-0.015837
29596;0.536008;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.001520;0.000028;0.002564;6.479591;0.511548;0.042678;0.174890;0.049323;-0.026929
29652;0.537018;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000174;-0.000102;-0.005505;6.479591;0.511548;0.042676;0.183832;-0.042221;-0.026846
29707;0.538010;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001124;-0.000228;-0.013462;6.479591;0.511548;0.042667;0.192449;-0.130512;-0.026797
29762;0.539001;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000842;0.001596;-0.000627;6.479590;0.511548;0.042661;-0.087769;-0.046013;-0.003421
29818;0.540010;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001060;0.002638;-0.003942;6.479589;0.511550;0.042657;-0.148845;-0.069400;-0.007179
