Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500003;0;0;-9.81;0;0;0;2351.75;-4783.29;12185;545.315;272.659;27.1554;0;0;0;0;0;0;-2351.75;4783.29;-12185;-6988.83;78577.4;32169.5;
0.501015;0;0;-9.81;0;0;0;0.538123;-1.71017;3.90812;0.192812;0.0509802;-0.00424033;0;0;0;0;0;0;-0.538123;1.71017;-3.90812;-2.26684;25.2481;11.3606;
0.502008;0;0;-9.81;0;0;0;0.252799;-1.69616;3.54881;0.19671;0.0259748;-0.00159794;0;0;0;0;0;0;-0.252799;1.69616;-3.54881;-2.08633;22.9573;11.1211;
0.503002;0;0;-9.81;0;0;0;0.248614;-1.67416;3.53825;0.196632;0.0260266;-0.00150153;0;0;0;0;0;0;-0.248614;1.67416;-3.53825;-2.07971;22.8891;10.9764;
0.504013;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.505007;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.506018;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.507011;0;0;-9.81;0;0;0;0.86646;-1.13864;2.31473;0.119198;0.110249;0.00961402;0;0;0;0;0;0;-0.86646;1.13864;-2.31473;-1.35307;14.8504;7.81153;
0.508005;0;0;-9.81;0;0;0;0.998479;-1.0099;2.32145;0.122512;0.107989;-0.00571486;0;0;0;0;0;0;-0.998479;1.0099;-2.32145;-1.35407;14.8906;7.06028;
0.509016;0;0;-9.81;0;0;0;1.00463;-0.975125;2.2921;0.12161;0.106401;-0.00803577;0;0;0;0;0;0;-1.00463;0.975125;-2.2921;-1.33647;14.7019;6.84039;
0.510009;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.511002;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.512013;0;0;-9.81;0;0;0;0.899189;-0.885139;2.0646;0.118798;0.104372;-0.00699305;0;0;0;0;0;0;-0.899189;0.885139;-2.0646;-1.2131;13.2346;6.20229;
0.513006;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.514018;0;0;-9.81;0;0;0;0.826688;-0.833022;1.91868;0.121619;0.0950238;-0.0111454;0;0;0;0;0;0;-0.826688;0.833022;-1.91868;-1.13897;12.3016;5.83163;
0.515011;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.516004;0;0;-9.81;0;0;0;14.4813;13.0476;31.9977;-1.14876;1.18686;0.0359362;0;0;0;0;0;0;-14.4813;-13.0476;-31.9977;-14.6618;205.528;-77.1717;
0.517015;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.518009;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.519002;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.520014;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.521007;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.522;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.523012;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.524005;0;0;-9.81;0;0;0;23.1439;18.538;48.8714;-1.7774;1.78695;0.163891;0;0;0;0;0;0;-23.1439;-18.538;-48.8714;-22.4249;313.888;-108.445;
0.525016;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.526009;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.527003;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.528014;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.529007;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.530018;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.531011;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.532003;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.533013;0;0;-9.81;0;0;0;39.3744;35.3296;86.8532;-3.12035;3.2173;0.105881;0;0;0;0;0;0;-39.3744;-35.3296;-86.8532;-39.7992;557.875;-208.886;
0.534006;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.535016;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.536008;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.537018;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.53801;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.539001;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.54001;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.541001;0;0;-9.81;0;0;0;-4.17809;33.7882;179.389;-3.9529;0.440064;-0.382062;0;0;0;0;0;0;4.17809;-33.7882;-179.389;-86.3731;1162.11;-220.689;
0.54201;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.543002;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.544012;0;0;-9.81;0;0;0;-1.93783;-2.19929;4.61431;0.127197;-0.33289;-0.105246;0;0;0;0;0;0;1.93783;2.19929;-4.61431;-2.58148;30.3144;13.3644;
0.545003;0;0;-9.81;0;0;0;-3.81372;-0.662576;27.0058;-0.0897914;-0.445113;-0.135042;0;0;0;0;0;0;3.81372;0.662576;-27.0058;-13.7536;175.594;2.47731;
0.546014;0;0;-9.81;0;0;0;-4.50949;-1.56115;6.5159;0.200879;-0.445664;0.0322462;0;0;0;0;0;0;4.50949;1.56115;-6.5159;-3.60073;42.8583;7.77649;
0.547006;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.548016;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.549006;0;0;-9.81;0;0;0;-0.716128;-0.392969;1.12393;0.0329468;-0.0777226;-0.00618231;0;0;0;0;0;0;0.716128;0.392969;-1.12393;-0.624661;7.39084;2.18612;
0.550016;0;0;-9.81;0;0;0;0.246917;-1.30019;2.04684;0.0519541;-0.162897;-0.109743;0;0;0;0;0;0;-0.246917;1.30019;-2.04684;-1.15448;13.415;8.66076;
0.551007;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.552016;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.553006;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.554014;0;0;-9.81;0;0;0;-14.0904;-4.98449;25.3225;0.795573;-1.77927;0.0924543;0;0;0;0;0;0;14.0904;4.98449;-25.3225;-13.9621;166.459;24.9969;
0.555004;0;0;-9.81;0;0;0;0.0378717;0.00105015;0.0639015;-0.00279595;0.00219157;0.00162103;0;0;0;0;0;0;-0.0378717;-0.00105015;-0.0639015;-0.0298488;0.410249;0.0109481;
0.556011;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.557001;0;0;-9.81;0;0;0;1.65452;-6.12917;10.5627;0.530439;0.17797;0.128786;0;0;0;0;0;0;-1.65452;6.12917;-10.5627;-6.19529;68.1937;40.4321;
0.558008;0;0;-9.81;0;0;0;0.361861;-0.360675;0.835613;0.0531443;0.0415963;-0.00505989;0;0;0;0;0;0;-0.361861;0.360675;-0.835613;-0.495992;5.3574;2.5272;
0.559015;0;0;-9.81;0;0;0;12.8755;9.92308;64.5612;-1.54806;1.01895;-0.422307;0;0;0;0;0;0;-12.8755;-9.92308;-64.5612;-31.0558;416.762;-57.2885;
0.560005;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
