Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500009;0;0;-9.81;0;0;0;-335.348;-98.5215;10748.8;15.1426;11.1797;-0.104238;0;0;0;0;0;0;335.348;98.5215;-10748.8;-5521.44;69648.9;466.807;
0.501005;0;0;-9.81;0;0;0;0.0283512;0.0135373;9.73933;0.00184876;0.00154663;-0.000639621;0;0;0;0;0;0;-0.0283512;-0.0135373;-9.73933;-4.98659;63.1021;-0.0725617;
0.502004;0;0;-9.81;0;0;0;-0.0456481;0.0425529;9.85308;-0.00227228;-0.00387311;-0.000800932;0;0;0;0;0;0;0.0456481;-0.0425529;-9.85308;-5.03943;63.8477;-0.298282;
0.503007;0;0;-9.81;0;0;0;1.17985;-0.522869;8.73179;0.0607975;0.0942754;0.00493018;0;0;0;0;0;0;-1.17985;0.522869;-8.73179;-4.55301;56.4313;3.98687;
0.50401;0;0;-9.81;0;0;0;1.51852;-0.689148;7.88725;0.0794927;0.117871;0.0066888;0;0;0;0;0;0;-1.51852;0.689148;-7.88725;-4.14673;50.9206;5.23585;
0.505013;0;0;-9.81;0;0;0;1.58638;-0.692194;7.73776;0.0788369;0.122212;0.00593886;0;0;0;0;0;0;-1.58638;0.692194;-7.73776;-4.06976;49.9445;5.29106;
0.506016;0;0;-9.81;0;0;0;-0.107243;-1.7575;3.80999;0.201814;-0.010123;0.00101099;0;0;0;0;0;0;0.107243;1.7575;-3.80999;-2.22881;24.7012;11.3316;
0.507018;0;0;-9.81;0;0;0;-0.107799;-1.75517;3.81008;0.201896;-0.010096;0.00106137;0;0;0;0;0;0;0.107799;1.75517;-3.81008;-2.2288;24.7018;11.3162;
0.508021;0;0;-9.81;0;0;0;2.5247;-0.954499;4.39824;0.0679308;0.145993;-0.00731089;0;0;0;0;0;0;-2.5247;0.954499;-4.39824;-2.36099;28.2414;7.48417;
0.509024;0;0;-9.81;0;0;0;1.37197;-1.41593;3.13319;0.174362;0.000713745;-0.0760272;0;0;0;0;0;0;-1.37197;1.41593;-3.13319;-1.8407;20.2397;9.95262;
0.510027;0;0;-9.81;0;0;0;0.565411;-1.79362;3.93161;0.191822;0.0505705;-0.00451563;0;0;0;0;0;0;-0.565411;1.79362;-3.93161;-2.28313;25.3989;11.9155;
0.511002;0;0;-9.81;0;0;0;0.56227;-1.78436;3.9271;0.191836;0.0506121;-0.00446982;0;0;0;0;0;0;-0.56227;1.78436;-3.9271;-2.28033;25.3698;11.8538;
0.512005;0;0;-9.81;0;0;0;0.270656;-1.78378;3.57929;0.196282;0.0257819;-0.00199365;0;0;0;0;0;0;-0.270656;1.78378;-3.57929;-2.10693;23.1539;11.6983;
0.513007;0;0;-9.81;0;0;0;0.267586;-1.76776;3.56876;0.196037;0.0257963;-0.00192085;0;0;0;0;0;0;-0.267586;1.76776;-3.56876;-2.10046;23.0858;11.5929;
0.51401;0;0;-9.81;0;0;0;0.527838;-2.1031;3.28456;0.18065;0.0376322;-0.00493523;0;0;0;0;0;0;-0.527838;2.1031;-3.28456;-1.95451;21.2211;13.9019;
0.515013;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.516015;0;0;-9.81;0;0;0;0.77034;-1.26971;2.31643;0.115616;0.111807;0.0228363;0;0;0;0;0;0;-0.77034;1.26971;-2.31643;-1.35758;14.863;8.59833;
0.517014;0;0;-9.81;0;0;0;1.03599;-1.06741;2.36403;0.123096;0.10877;-0.00483221;0;0;0;0;0;0;-1.03599;1.06741;-2.36403;-1.38029;15.1627;7.45117;
0.518011;0;0;-9.81;0;0;0;1.0514;-1.03982;2.35372;0.123192;0.107989;-0.00732263;0;0;0;0;0;0;-1.0514;1.03982;-2.35372;-1.37375;15.0961;7.28279;
0.519013;0;0;-9.81;0;0;0;1.05083;-1.03201;2.34494;0.122964;0.107651;-0.00772596;0;0;0;0;0;0;-1.05083;1.03201;-2.34494;-1.36855;15.0398;7.2323;
0.520016;0;0;-9.81;0;0;0;0.999923;-1.031;2.28253;0.130439;0.0992351;-0.0123183;0;0;0;0;0;0;-0.999923;1.031;-2.28253;-1.34398;14.6461;7.20431;
0.521019;0;0;-9.81;0;0;0;0.897521;-0.958756;2.08433;0.117589;0.104706;-0.00247101;0;0;0;0;0;0;-0.897521;0.958756;-2.08433;-1.22659;13.3608;6.67391;
0.522022;0;0;-9.81;0;0;0;0.924557;-0.930536;2.08657;0.118515;0.104398;-0.00595616;0;0;0;0;0;0;-0.924557;0.930536;-2.08657;-1.22726;13.3746;6.50838;
0.523024;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.524026;0;0;-9.81;0;0;0;0.851602;-0.904277;1.97186;0.123115;0.096831;-0.00876501;0;0;0;0;0;0;-0.851602;0.904277;-1.97186;-1.17204;12.642;6.30369;
0.525002;0;0;-9.81;0;0;0;0.839922;-0.905343;1.95931;0.122363;0.0965113;-0.0078596;0;0;0;0;0;0;-0.839922;0.905343;-1.95931;-1.16474;12.5617;6.30371;
0.526004;0;0;-9.81;0;0;0;0.831503;-0.900698;1.94446;0.12158;0.0959971;-0.00752375;0;0;0;0;0;0;-0.831503;0.900698;-1.94446;-1.15596;12.4665;6.26897;
0.527007;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.52801;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.529012;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.530015;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.531018;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
