nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
18429;0.500009;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.003022;-0.000895;0.097428;6.479400;0.511875;0.042958;0.067013;0.068557;-0.000328
18466;0.501005;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004990;-0.000002;0.099870;6.479395;0.511875;0.043058;0.000133;0.000151;-0.000000
18503;0.502004;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004990;-0.000002;0.099871;6.479390;0.511875;0.043158;0.000107;0.000162;0.000004
18540;0.503007;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004116;-0.000389;0.099073;6.479386;0.511874;0.043258;0.021828;0.047029;0.001079
18577;0.504010;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002718;-0.001032;0.096996;6.479382;0.511874;0.043356;0.057445;0.118419;0.002951
18614;0.505013;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001157;-0.001673;0.094871;6.479380;0.511872;0.043452;0.091887;0.198089;0.004235
18651;0.506016;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000530;-0.002974;0.090559;6.479380;0.511870;0.043545;0.163848;0.229769;0.005156
18688;0.507018;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000366;-0.004455;0.085676;6.479380;0.511866;0.043634;0.245180;0.262775;0.010100
18725;0.508021;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.001566;-0.005747;0.079821;6.479380;0.511861;0.043717;0.306179;0.311248;0.011572
18762;0.509024;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.002718;-0.006716;0.073586;6.479383;0.511855;0.043794;0.361136;0.366139;0.012507
18799;0.510027;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003243;-0.008591;0.067581;6.479386;0.511847;0.043865;0.453462;0.394804;0.010621
18835;0.511002;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003793;-0.010339;0.061848;6.479389;0.511838;0.043928;0.543854;0.427925;0.009328
18872;0.512005;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004143;-0.011942;0.055430;6.479393;0.511827;0.043986;0.630288;0.450238;0.008598
18909;0.513007;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004412;-0.013719;0.049172;6.479397;0.511814;0.044039;0.725039;0.467548;0.007999
18946;0.514010;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004705;-0.014726;0.041057;6.479402;0.511800;0.044084;0.769934;0.479486;0.006528
18983;0.515013;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004936;-0.015660;0.032820;6.479407;0.511784;0.044121;0.813196;0.492102;0.005982
19020;0.516015;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004983;-0.015740;0.023128;6.479412;0.511768;0.044149;0.816659;0.496793;0.006506
19057;0.517014;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.005947;-0.016873;0.015678;6.479417;0.511752;0.044168;0.874995;0.570322;0.007681
19094;0.518011;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.006992;-0.017919;0.008251;6.479424;0.511735;0.044180;0.934184;0.642576;0.006019
19131;0.519013;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008047;-0.018959;0.000773;6.479431;0.511716;0.044184;0.993717;0.714995;0.004074
19168;0.520016;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008768;-0.019675;-0.007448;6.479440;0.511697;0.044181;1.036736;0.763100;0.001991
19205;0.521019;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009277;-0.020220;-0.016105;6.479449;0.511677;0.044169;1.068998;0.800898;0.001446
19242;0.522022;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.010196;-0.021167;-0.023848;6.479459;0.511656;0.044149;1.126248;0.871223;0.000487
19279;0.523024;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.010674;-0.021645;-0.032605;6.479469;0.511635;0.044121;1.155676;0.907167;-0.000165
19316;0.524026;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.011468;-0.022475;-0.040617;6.479480;0.511613;0.044084;1.210633;0.966973;-0.002377
19352;0.525002;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.012292;-0.023357;-0.048275;6.479492;0.511590;0.044040;1.268265;1.029978;-0.004263
19389;0.526004;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013130;-0.024264;-0.056155;6.479505;0.511566;0.043988;1.327251;1.094571;-0.005993
19426;0.527007;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013469;-0.024631;-0.065200;6.479518;0.511542;0.043927;1.351139;1.120723;-0.006510
19463;0.528010;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013469;-0.024631;-0.075037;6.479531;0.511517;0.043857;1.351150;1.120708;-0.006251
19500;0.529012;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013469;-0.024631;-0.084873;6.479545;0.511492;0.043776;1.351162;1.120694;-0.005992
19537;0.530015;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.007497;0.005236;0.043742;6.479547;0.511470;0.043713;-0.106555;0.704903;0.066034
19574;0.531018;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.007497;0.005236;0.033906;6.479555;0.511476;0.043752;-0.106587;0.704898;0.066021
19611;0.532020;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004483;0.002617;0.030631;6.479560;0.511478;0.043786;-0.113463;0.301800;-0.011201
19648;0.533023;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003668;0.002614;0.021873;6.479564;0.511481;0.043813;-0.111964;0.238901;-0.011353
19685;0.534025;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.002198;0.002608;0.013981;6.479567;0.511484;0.043830;-0.109273;0.125522;-0.011630
19721;0.535001;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.001438;0.002605;0.005416;6.479569;0.511486;0.043840;-0.107887;0.066984;-0.011778
19758;0.536003;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000140;0.002599;-0.002702;6.479570;0.511489;0.043841;-0.105523;-0.033128;-0.012033
19795;0.537005;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000988;0.002593;-0.011044;6.479569;0.511491;0.043834;-0.103475;-0.120126;-0.012262
