Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500003;0;0;-9.81;0;0;0;2185.83;-4661.9;11864.1;535.521;264.768;28.1072;0;0;0;0;0;0;-2185.83;4661.9;-11864.1;-6809.6;76513.2;31297.1;
0.501015;0;0;-9.81;0;0;0;0.53647;-1.70339;3.89589;0.192236;0.0508211;-0.00425082;0;0;0;0;0;0;-0.53647;1.70339;-3.89589;-2.25972;25.1692;11.3158;
0.502008;0;0;-9.81;0;0;0;0.252092;-1.68774;3.54342;0.196521;0.0259429;-0.00162462;0;0;0;0;0;0;-0.252092;1.68774;-3.54342;-2.08302;22.9224;11.0662;
0.503002;0;0;-9.81;0;0;0;0.248922;-1.67442;3.53944;0.196706;0.0260284;-0.00152057;0;0;0;0;0;0;-0.248922;1.67442;-3.53944;-2.0804;22.8968;10.9782;
0.504013;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.505007;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.506018;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.507011;0;0;-9.81;0;0;0;0.8984;-1.16053;2.31291;0.118622;0.109469;0.00885096;0;0;0;0;0;0;-0.8984;1.16053;-2.31291;-1.35251;14.838;7.97049;
0.508005;0;0;-9.81;0;0;0;1.03171;-1.03983;2.33097;0.122473;0.10781;-0.0061144;0;0;0;0;0;0;-1.03171;1.03983;-2.33097;-1.36019;14.951;7.27156;
0.509016;0;0;-9.81;0;0;0;1.04113;-1.01016;2.31168;0.122092;0.106718;-0.00835363;0;0;0;0;0;0;-1.04113;1.01016;-2.31168;-1.34847;14.8269;7.08641;
0.510009;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.511002;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.512013;0;0;-9.81;0;0;0;0.915275;-0.902031;2.04664;0.117251;0.102955;-0.00705941;0;0;0;0;0;0;-0.915275;0.902031;-2.04664;-1.20309;13.1189;6.32004;
0.513006;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.514018;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.515011;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.516004;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
