Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500018;0;0;-9.81;0;0;0;-921.565;-584.192;3484.31;77.2212;-62.2008;8.13089;0;0;0;0;0;0;921.565;584.192;-3484.31;-1886.27;22681.8;3305.87;
0.501014;0;0;-9.81;0;0;0;-2.21313;-0.714839;6.61636;0.118529;-0.111431;0.0297844;0;0;0;0;0;0;2.21313;0.714839;-6.61636;-3.53638;43.0838;3.46975;
0.502009;0;0;-9.81;0;0;0;-0.927535;-1.84037;6.44142;0.134738;-0.11087;-0.00728149;0;0;0;0;0;0;0.927535;1.84037;-6.44142;-3.5122;41.8934;11.4586;
0.503004;0;0;-9.81;0;0;0;-1.85677;-1.15616;6.33062;0.128634;-0.117285;0.0163733;0;0;0;0;0;0;1.85677;1.15616;-6.33062;-3.41941;41.2224;6.52544;
0.504021;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.505006;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.506022;0;0;-9.81;0;0;0;-1.23911;0.115982;3.50526;-0.0138079;-0.174895;0.000905848;0;0;0;0;0;0;1.23911;-0.115982;-3.50526;-1.77505;22.9439;-1.38665;
0.507017;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.508013;0;0;-9.81;0;0;0;-1.00321;0.151131;2.86106;-0.0256146;-0.165199;-0.000255208;0;0;0;0;0;0;1.00321;-0.151131;-2.86106;-1.43191;18.7492;-1.49249;
0.509009;0;0;-9.81;0;0;0;-1.07159;0.0974831;3.0305;-0.00951134;-0.169093;0.00207607;0;0;0;0;0;0;1.07159;-0.0974831;-3.0305;-1.53703;19.854;-1.18215;
0.510005;0;0;-9.81;0;0;0;-0.950938;0.0474863;2.68016;-0.0147119;-0.163863;-0.00231662;0;0;0;0;0;0;0.950938;-0.0474863;-2.68016;-1.3547;17.5733;-0.792014;
0.511;0;0;-9.81;0;0;0;-0.940751;-0.0401566;2.6504;-0.0158284;-0.162191;-0.00807564;0;0;0;0;0;0;0.940751;0.0401566;-2.6504;-1.34216;17.3782;-0.213097;
0.512018;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.513014;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.51401;0;0;-9.81;0;0;0;-0.887498;-0.1077;2.51938;-0.000965897;-0.161311;-0.00723608;0;0;0;0;0;0;0.887498;0.1077;-2.51938;-1.29284;16.5258;0.251027;
0.515005;0;0;-9.81;0;0;0;-0.891067;-0.0230624;2.50871;0.000342185;-0.160702;-0.00135578;0;0;0;0;0;0;0.891067;0.0230624;-2.50871;-1.28492;16.456;-0.305111;
0.516001;0;0;-9.81;0;0;0;-0.810297;-0.000408182;2.28041;-0.0141013;-0.154535;-0.00503827;0;0;0;0;0;0;0.810297;0.000408182;-2.28041;-1.15264;14.9669;-0.406888;
0.517019;0;0;-9.81;0;0;0;-0.790782;0.0525309;2.23129;-0.0129922;-0.151421;-0.00103964;0;0;0;0;0;0;0.790782;-0.0525309;-2.23129;-1.12627;14.6445;-0.743927;
0.518014;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.51901;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.520005;0;0;-9.81;0;0;0;0.0893345;-0.463055;1.6528;-0.00994371;-0.136406;-0.0376784;0;0;0;0;0;0;-0.0893345;0.463055;-1.6528;-0.855873;10.8422;3.08386;
0.521;0;0;-9.81;0;0;0;0.27228;0.160458;1.25164;0.00598607;-0.1255;0.0147867;0;0;0;0;0;0;-0.27228;-0.160458;-1.25164;-0.63919;8.22385;-0.915234;
0.522018;0;0;-9.81;0;0;0;0.342765;0.248242;1.66057;0.000258312;-0.140663;0.0209747;0;0;0;0;0;0;-0.342765;-0.248242;-1.66057;-0.838782;10.8857;-1.45418;
0.523013;0;0;-9.81;0;0;0;0.337521;0.257559;1.66139;0.000401223;-0.140656;0.0217239;0;0;0;0;0;0;-0.337521;-0.257559;-1.66139;-0.838913;10.8912;-1.51799;
0.524009;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.525004;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.526021;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.527017;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.528012;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.529008;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
