nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
8583;0.500012;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480300;0.511875;0.043457;0.000000;0.000000;0.000000
8600;0.501017;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480295;0.511875;0.043558;0.000000;0.000000;0.000000
8617;0.502023;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480290;0.511875;0.043658;0.000000;0.000000;0.000000
8634;0.503028;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480285;0.511875;0.043758;0.000000;0.000000;0.000000
8651;0.504033;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480280;0.511875;0.043859;0.000000;0.000000;0.000000
8668;0.505038;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480275;0.511875;0.043959;0.000000;-0.000000;0.000000
8685;0.506044;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480270;0.511875;0.044060;0.000000;-0.000000;0.000000
8702;0.507049;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480265;0.511875;0.044160;0.000000;0.000000;0.000000
8719;0.508054;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480260;0.511875;0.044260;0.000000;0.000000;0.000000
8735;0.509001;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480255;0.511875;0.044355;0.000000;-0.000000;0.000000
8752;0.510005;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480250;0.511875;0.044455;0.000000;-0.000000;0.000000
8769;0.511011;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480245;0.511875;0.044556;0.000000;-0.000000;0.000000
8786;0.512016;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480240;0.511875;0.044656;0.000000;-0.000000;0.000000
8803;0.513021;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480235;0.511875;0.044756;0.000000;0.000000;0.000000
8820;0.514027;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480230;0.511875;0.044857;0.000000;0.000000;0.000000
8837;0.515032;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480225;0.511875;0.044957;0.000000;0.000000;0.000000
8854;0.516037;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480220;0.511875;0.045058;0.000000;-0.000000;0.000000
8871;0.517043;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480215;0.511875;0.045158;0.000000;-0.000000;-0.000000
8888;0.518048;0.000059;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004994;-0.000000;0.099875;6.480210;0.511875;0.045259;0.000000;-0.000000;-0.000000
