Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500009;0;0;-9.81;0;0;0;-323.063;-99.432;10736.4;15.9885;11.6542;-0.202079;0;0;0;0;0;0;323.063;99.432;-10736.4;-5516;69567.7;479.093;
0.501005;0;0;-9.81;0;0;0;-0.353144;0.699048;9.13115;-0.0778554;-0.0437964;-0.00748237;0;0;0;0;0;0;0.353144;-0.699048;-9.13115;-4.56594;59.2233;-4.70269;
0.502004;0;0;-9.81;0;0;0;0.0059535;-0.000189762;9.79518;0.000682182;0.000970631;0.000136378;0;0;0;0;0;0;-0.0059535;0.000189762;-9.79518;-5.0146;63.4655;0.00414022;
0.503007;0;0;-9.81;0;0;0;1.17984;-0.52287;8.73177;0.060798;0.0942754;0.00493034;0;0;0;0;0;0;-1.17984;0.52287;-8.73177;-4.553;56.4312;3.98688;
0.50401;0;0;-9.81;0;0;0;1.51889;-0.688501;7.88695;0.0794232;0.117899;0.00668975;0;0;0;0;0;0;-1.51889;0.688501;-7.88695;-4.14648;50.9186;5.23185;
0.505013;0;0;-9.81;0;0;0;1.58694;-0.69184;7.73906;0.078796;0.122254;0.00594109;0;0;0;0;0;0;-1.58694;0.69184;-7.73906;-4.07036;49.9528;5.28906;
0.506016;0;0;-9.81;0;0;0;-0.107234;-1.75742;3.80984;0.201807;-0.0101226;0.00101078;0;0;0;0;0;0;0.107234;1.75742;-3.80984;-2.22872;24.7002;11.3311;
0.507018;0;0;-9.81;0;0;0;-0.107878;-1.75614;3.8119;0.20199;-0.0101021;0.00106235;0;0;0;0;0;0;0.107878;1.75614;-3.8119;-2.22987;24.7136;11.3224;
0.508021;0;0;-9.81;0;0;0;2.53893;-0.959621;4.39123;0.067686;0.145386;-0.00736345;0;0;0;0;0;0;-2.53893;0.959621;-4.39123;-2.35738;28.1959;7.52469;
0.509024;0;0;-9.81;0;0;0;1.37094;-1.43481;3.12967;0.173774;0.000703316;-0.0757988;0;0;0;0;0;0;-1.37094;1.43481;-3.12967;-1.83914;20.217;10.0742;
0.510027;0;0;-9.81;0;0;0;0.564935;-1.79189;3.92801;0.191648;0.0505236;-0.0045153;0;0;0;0;0;0;-0.564935;1.79189;-3.92801;-2.28104;25.3757;11.904;
0.511002;0;0;-9.81;0;0;0;0.563405;-1.78808;3.93432;0.192181;0.0507035;-0.00447695;0;0;0;0;0;0;-0.563405;1.78808;-3.93432;-2.28453;25.4165;11.8785;
0.512005;0;0;-9.81;0;0;0;0.269961;-1.77903;3.57098;0.195838;0.0257286;-0.00198733;0;0;0;0;0;0;-0.269961;1.77903;-3.57098;-2.10202;23.1001;11.6672;
0.513007;0;0;-9.81;0;0;0;0.267733;-1.76872;3.57051;0.196132;0.0258089;-0.00192195;0;0;0;0;0;0;-0.267733;1.76872;-3.57051;-2.10149;23.0972;11.5992;
0.51401;0;0;-9.81;0;0;0;0.529867;-2.11066;3.27349;0.179757;0.0374364;-0.00495862;0;0;0;0;0;0;-0.529867;2.11066;-3.27349;-1.94829;21.1494;13.952;
0.515013;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.516015;0;0;-9.81;0;0;0;0.778989;-1.27905;2.31981;0.115622;0.111805;0.0228196;0;0;0;0;0;0;-0.778989;1.27905;-2.31981;-1.35973;14.8845;8.66334;
0.517014;0;0;-9.81;0;0;0;1.04214;-1.07272;2.36014;0.12274;0.108423;-0.00491692;0;0;0;0;0;0;-1.04214;1.07272;-2.36014;-1.37818;15.1376;7.48886;
0.518011;0;0;-9.81;0;0;0;1.05918;-1.04747;2.35427;0.123061;0.107851;-0.0073794;0;0;0;0;0;0;-1.05918;1.04747;-2.35427;-1.37424;15.0995;7.33642;
0.519013;0;0;-9.81;0;0;0;1.05772;-1.03899;2.34379;0.122743;0.107438;-0.00776537;0;0;0;0;0;0;-1.05772;1.03899;-2.34379;-1.36804;15.0322;7.28109;
0.520016;0;0;-9.81;0;0;0;1.00745;-1.03982;2.28451;0.130383;0.0991795;-0.012355;0;0;0;0;0;0;-1.00745;1.03982;-2.28451;-1.34532;14.6587;7.26531;
0.521019;0;0;-9.81;0;0;0;0.906602;-0.968899;2.09097;0.117809;0.104904;-0.00246996;0;0;0;0;0;0;-0.906602;0.968899;-2.09097;-1.23066;13.4032;6.74428;
0.522022;0;0;-9.81;0;0;0;0.928518;-0.934348;2.08046;0.118027;0.103949;-0.00599149;0;0;0;0;0;0;-0.928518;0.934348;-2.08046;-1.22381;13.3353;6.53514;
0.523024;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.524026;0;0;-9.81;0;0;0;0.855307;-0.908901;1.96714;0.122673;0.0964765;-0.00876143;0;0;0;0;0;0;-0.855307;0.908901;-1.96714;-1.16938;12.6116;6.33554;
0.525002;0;0;-9.81;0;0;0;0.844891;-0.911346;1.95763;0.122111;0.0963062;-0.00786784;0;0;0;0;0;0;-0.844891;0.911346;-1.95763;-1.16389;12.5508;6.34516;
0.526004;0;0;-9.81;0;0;0;0.832243;-0.902026;1.93297;0.120718;0.09531;-0.00749879;0;0;0;0;0;0;-0.832243;0.902026;-1.93297;-1.14928;12.3927;6.27793;
0.527007;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.52801;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.529012;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.530015;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.531018;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.53202;0;0;-9.81;0;0;0;-9.14586;-0.0831652;12.0177;0.0342263;-1.0469;0.0188025;0;0;0;0;0;0;9.14586;0.0831652;-12.0177;-6.18466;79.3168;-4.15783;
0.533023;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.534025;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.535001;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.536003;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.537005;0;0;-9.81;0;0;0;-6.50365;-0.0338453;8.54557;0.0245727;-0.744073;0.0157542;0;0;0;0;0;0;6.50365;0.0338453;-8.54557;-4.39704;56.4008;-3.12301;
0.538008;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.53901;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.540012;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.541013;0;0;-9.81;0;0;0;-6.72104;-0.645998;8.8763;0.0883282;-0.653942;0.0192887;0;0;0;0;0;0;6.72104;0.645998;-8.8763;-4.65681;58.4623;0.728672;
