nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
18429;0.500009;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002831;-0.000914;0.097238;6.479400;0.511875;0.042958;0.072914;0.072840;-0.000756
18466;0.501005;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004977;-0.000030;0.099898;6.479395;0.511874;0.043058;0.001516;0.001145;0.000065
18503;0.502004;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004991;-0.000001;0.099873;6.479390;0.511874;0.043158;0.000074;0.000097;0.000001
18540;0.503007;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004116;-0.000389;0.099073;6.479386;0.511874;0.043258;0.021830;0.047033;0.001079
18577;0.504010;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002718;-0.001032;0.096996;6.479382;0.511874;0.043356;0.057447;0.118423;0.002951
18614;0.505013;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001157;-0.001673;0.094871;6.479380;0.511872;0.043452;0.091889;0.198093;0.004236
18651;0.506016;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000530;-0.002974;0.090559;6.479380;0.511870;0.043546;0.163850;0.229775;0.005156
18688;0.507018;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000366;-0.004455;0.085676;6.479380;0.511866;0.043634;0.245185;0.262778;0.010100
18725;0.508021;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.001579;-0.005749;0.079820;6.479380;0.511861;0.043717;0.306143;0.311063;0.011630
18762;0.509024;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.002729;-0.006717;0.073586;6.479383;0.511855;0.043794;0.361120;0.366007;0.012635
18799;0.510027;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003248;-0.008590;0.067580;6.479386;0.511847;0.043865;0.453513;0.394641;0.010776
18835;0.511002;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003799;-0.010337;0.061847;6.479389;0.511838;0.043928;0.543905;0.427763;0.009483
18872;0.512005;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004149;-0.011941;0.055429;6.479393;0.511827;0.043986;0.630323;0.450068;0.008746
18909;0.513007;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004418;-0.013718;0.049171;6.479398;0.511814;0.044039;0.725073;0.467378;0.008147
