nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
13570;0.500036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.012808;-0.009558;0.084051;6.480300;0.511875;0.043459;0.575352;-0.436991;0.029433
13597;0.501027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.013838;-0.011034;0.086901;6.480286;0.511864;0.043546;0.614408;-0.528929;0.030977
13624;0.502017;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.014541;-0.011911;0.085847;6.480272;0.511853;0.043632;0.663765;-0.571420;0.033465
13651;0.503008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.015242;-0.012788;0.084790;6.480257;0.511840;0.043716;0.713170;-0.613947;0.035956
13679;0.504035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.015968;-0.013696;0.083690;6.480241;0.511827;0.043803;0.764443;-0.658094;0.038541
13706;0.505025;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016666;-0.014569;0.082625;6.480225;0.511813;0.043885;0.813928;-0.700698;0.041037
13733;0.506015;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017231;-0.015066;0.076390;6.480209;0.511798;0.043964;0.828575;-0.730624;0.036966
13760;0.507004;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.018880;-0.014548;0.070185;6.480191;0.511783;0.044036;0.801366;-0.837766;0.035690
13788;0.508031;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.020415;-0.014745;0.065159;6.480171;0.511768;0.044105;0.807808;-0.934284;0.037983
13815;0.509021;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.021583;-0.015866;0.062421;6.480150;0.511753;0.044168;0.870928;-1.007279;0.040950
13842;0.510011;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.023083;-0.016076;0.057463;6.480128;0.511738;0.044227;0.878072;-1.102564;0.043431
13869;0.511001;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.024399;-0.016818;0.053711;6.480104;0.511721;0.044283;0.920656;-1.187366;0.045562
13897;0.512027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.024924;-0.017716;0.047269;6.480079;0.511703;0.044334;0.966131;-1.224077;0.046200
13924;0.513017;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.026420;-0.017192;0.040511;6.480053;0.511686;0.044378;0.939681;-1.327009;0.045143
13951;0.514008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.026970;-0.016998;0.031886;6.480027;0.511669;0.044414;0.929941;-1.365130;0.044628
13979;0.515035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.027733;-0.016943;0.024002;6.479999;0.511652;0.044442;0.925842;-1.438718;0.043809
14006;0.516026;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.028135;-0.016892;0.015338;6.479971;0.511635;0.044461;0.921695;-1.478683;0.043158
14033;0.517017;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.029168;-0.016728;0.007694;6.479943;0.511618;0.044472;0.914132;-1.555669;0.042576
14060;0.518009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.029670;-0.016685;-0.001008;6.479913;0.511602;0.044476;0.912790;-1.592509;0.042279
14088;0.519036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.031028;-0.016536;-0.008365;6.479882;0.511585;0.044471;0.906590;-1.700377;0.041709
14115;0.520027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.031392;-0.016488;-0.017398;6.479851;0.511568;0.044458;0.905160;-1.727470;0.041520
14142;0.521018;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.032238;-0.016512;-0.025336;6.479820;0.511552;0.044437;0.907704;-1.800094;0.039322
14169;0.522009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.033618;-0.016437;-0.032553;6.479787;0.511536;0.044408;0.908860;-1.902467;0.039687
14196;0.523000;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.034901;-0.016359;-0.039779;6.479753;0.511519;0.044372;0.910068;-2.005644;0.040042
14224;0.524028;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.014021;0.009555;0.090842;6.479733;0.511521;0.044428;-0.535088;-0.468209;-0.026996
14251;0.525018;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.014548;0.009344;0.083193;6.479719;0.511531;0.044514;-0.497146;-0.553661;-0.025406
14278;0.526009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.015858;0.008645;0.075804;6.479704;0.511540;0.044593;-0.457849;-0.642584;-0.024132
14305;0.527000;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017113;0.007972;0.068327;6.479687;0.511548;0.044664;-0.420035;-0.728241;-0.022935
14333;0.528027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017826;0.007665;0.059533;6.479669;0.511556;0.044730;-0.398896;-0.781835;-0.021663
14360;0.529018;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.019110;0.007049;0.051958;6.479651;0.511563;0.044785;-0.364433;-0.870291;-0.020665
14387;0.530009;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.019912;0.006663;0.043585;6.479632;0.511570;0.044832;-0.342736;-0.926028;-0.020036
14415;0.531036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.019796;0.006685;0.033771;6.479611;0.511577;0.044872;-0.338274;-0.940865;-0.020724
14442;0.532026;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.019796;0.006685;0.024054;6.479592;0.511584;0.044900;-0.338270;-0.940868;-0.020670
14469;0.533017;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.014612;0.000488;0.027112;6.479574;0.511588;0.044924;0.042863;-0.514488;-0.015068
