Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500036;0;0;-9.81;0;0;0;-351.844;-261.982;2333.39;32.7532;-17.9594;2.79008;0;0;0;0;0;0;351.844;261.982;-2333.39;-1238.66;15154.4;1514.82;
0.501027;0;0;-9.81;0;0;0;-0.70926;-0.887294;8.74708;0.103098;-0.0639234;0.00874283;0;0;0;0;0;0;0.70926;0.887294;-8.74708;-4.61943;56.7785;5.37811;
0.502017;0;0;-9.81;0;0;0;-0.70916;-0.885342;8.74129;0.10305;-0.064074;0.00881206;0;0;0;0;0;0;0.70916;0.885342;-8.74129;-4.61623;56.7411;5.36544;
0.503008;0;0;-9.81;0;0;0;-0.708774;-0.88422;8.74789;0.103254;-0.0642347;0.00888259;0;0;0;0;0;0;0.708774;0.88422;-8.74789;-4.61964;56.7839;5.3583;
0.504035;0;0;-9.81;0;0;0;-0.705643;-0.883939;8.7429;0.103474;-0.0641468;0.00892071;0;0;0;0;0;0;0.705643;0.883939;-8.7429;-4.61716;56.7512;5.35804;
0.505025;0;0;-9.81;0;0;0;-0.705565;-0.882036;8.7437;0.103552;-0.064346;0.00900477;0;0;0;0;0;0;0.705565;0.882036;-8.7437;-4.61743;56.7565;5.34567;
0.506015;0;0;-9.81;0;0;0;-1.67497;0.52486;3.5501;-0.0571547;-0.161848;-0.00303792;0;0;0;0;0;0;1.67497;-0.52486;-3.5501;-1.73643;23.2417;-4.2554;
0.507004;0;0;-9.81;0;0;0;-1.66361;0.525803;3.54323;-0.0569809;-0.16175;-0.00275052;0;0;0;0;0;0;1.66361;-0.525803;-3.54323;-1.73301;23.1964;-4.25595;
0.508031;0;0;-9.81;0;0;0;-1.18759;-1.13426;7.05204;0.131577;-0.110321;0.0110436;0;0;0;0;0;0;1.18759;1.13426;-7.05204;-3.79085;45.8613;6.73138;
0.509021;0;0;-9.81;0;0;0;-1.17864;-1.13373;7.05736;0.132372;-0.110241;0.0111432;0;0;0;0;0;0;1.17864;1.13373;-7.05736;-3.7942;45.8952;6.73243;
0.510011;0;0;-9.81;0;0;0;-1.24947;-1.11983;6.73656;0.130486;-0.117917;0.0116976;0;0;0;0;0;0;1.24947;1.11983;-6.73656;-3.62748;43.827;6.60552;
0.511001;0;0;-9.81;0;0;0;-1.61879;0.531899;3.52237;-0.0563866;-0.161804;-0.00148049;0;0;0;0;0;0;1.61879;-0.531899;-3.52237;-1.72252;23.0588;-4.27365;
0.512027;0;0;-9.81;0;0;0;-1.51655;0.526833;2.97828;-0.0553723;-0.154663;-0.000837185;0;0;0;0;0;0;1.51655;-0.526833;-2.97828;-1.44519;19.5216;-4.18911;
0.513017;0;0;-9.81;0;0;0;-1.50378;0.529203;2.98298;-0.0554194;-0.155277;-0.000390808;0;0;0;0;0;0;1.50378;-0.529203;-2.98298;-1.44742;19.5519;-4.19834;
0.514008;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.515035;0;0;-9.81;0;0;0;-1.65583;0.175923;3.49442;-0.0123819;-0.168073;0.0025943;0;0;0;0;0;0;1.65583;-0.175923;-3.49442;-1.76772;22.8855;-1.98978;
0.516026;0;0;-9.81;0;0;0;-1.51914;0.272499;2.89902;-0.0237798;-0.159824;0.00256188;0;0;0;0;0;0;1.51914;-0.272499;-2.89902;-1.44733;19.013;-2.54559;
0.517017;0;0;-9.81;0;0;0;-1.54536;0.148163;3.05044;-0.00845293;-0.163196;0.00364435;0;0;0;0;0;0;1.54536;-0.148163;-3.05044;-1.54561;19.9986;-1.75437;
0.518009;0;0;-9.81;0;0;0;0.213003;-0.187949;0.449078;-0.00540797;-0.0331803;-0.0113216;0;0;0;0;0;0;-0.213003;0.187949;-0.449078;-0.232726;2.93366;1.33819;
0.519036;0;0;-9.81;0;0;0;-1.41965;0.184367;2.68872;-0.0123426;-0.157685;0.00429563;0;0;0;0;0;0;1.41965;-0.184367;-2.68872;-1.35496;17.6434;-1.92525;
0.520027;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.521018;0;0;-9.81;0;0;0;-1.90594;0.0798835;2.49792;0.00210857;-0.144437;0.00622795;0;0;0;0;0;0;1.90594;-0.0798835;-2.49792;-1.27636;16.4156;-1.49884;
