Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500036;0;0;-9.81;0;0;0;-137.866;-0.00020333;2767.14;2.09988e-05;4.19848e-07;-1.67859e-05;0;0;0;0;0;0;137.866;0.00020333;-2767.14;-1416.44;17935.3;-70.5698;
0.501027;0;0;-9.81;0;0;0;1.11836e-07;4.00998e-08;9.81;3.87464e-09;-1.7928e-06;-2.63348e-09;0;0;0;0;0;0;-1.11836e-07;-4.00998e-08;-9.81;-5.02157;63.5625;-3.91938e-06;
0.502017;0;0;-9.81;0;0;0;4.59928e-09;-3.71028e-10;9.81;1.12365e-09;-1.79776e-06;-3.16408e-11;0;0;0;0;0;0;-4.59928e-09;3.71028e-10;-9.81;-5.02156;63.5624;-3.54176e-06;
0.503008;0;0;-9.81;0;0;0;1.40324e-06;5.12338e-06;9.81;-2.5416e-07;-2.10447e-06;-1.31268e-07;0;0;0;0;0;0;-1.40324e-06;-5.12338e-06;-9.81;-5.02155;63.5624;-3.52531e-05;
0.504035;0;0;-9.81;0;0;0;6.10843e-08;6.49728e-09;9.81;-5.29236e-09;-1.79627e-06;-3.94521e-09;0;0;0;0;0;0;-6.10843e-08;-6.49728e-09;-9.81;-5.02155;63.5624;-2.62745e-06;
0.505025;0;0;-9.81;0;0;0;-7.0222e-06;7.4709e-06;9.81001;-1.05148e-06;-2.04834e-06;-1.20474e-07;0;0;0;0;0;0;7.0222e-06;-7.4709e-06;-9.81001;-5.02154;63.5625;-5.40232e-05;
0.506015;0;0;-9.81;0;0;0;9.87632e-05;-8.70419e-05;9.80986;1.10257e-05;2.49362e-06;2.50745e-07;0;0;0;0;0;0;-9.87632e-05;8.70419e-05;-9.80986;-5.02147;63.5615;0.000612832;
0.507004;0;0;-9.81;0;0;0;-3.0303e-06;2.47511e-06;9.81;-3.01549e-07;-1.92776e-06;-8.1762e-09;0;0;0;0;0;0;3.0303e-06;-2.47511e-06;-9.81;-5.02152;63.5624;-1.88165e-05;
0.508031;0;0;-9.81;0;0;0;-4.18131e-06;2.31167e-06;9.81001;-2.57366e-07;-1.9133e-06;3.73706e-08;0;0;0;0;0;0;4.18131e-06;-2.31167e-06;-9.81001;-5.02152;63.5624;-1.81099e-05;
0.509021;0;0;-9.81;0;0;0;-0.00310687;0.00101923;9.81279;-0.000208903;-6.58224e-05;2.47341e-05;0;0;0;0;0;0;0.00310687;-0.00101923;-9.81279;-5.02268;63.5806;-0.00821964;
0.510011;0;0;-9.81;0;0;0;0.000676127;-8.61557e-05;9.8092;4.8078e-05;2.64143e-05;-1.45655e-05;0;0;0;0;0;0;-0.000676127;8.61557e-05;-9.8092;-5.02115;63.5571;0.000918459;
0.511001;0;0;-9.81;0;0;0;-0.00659062;0.0122016;9.85582;-0.00208651;-0.00252497;-0.000473716;0;0;0;0;0;0;0.00659062;-0.0122016;-9.85582;-5.04233;63.862;-0.0819582;
0.512027;0;0;-9.81;0;0;0;-0.0524141;-0.0255236;9.8404;-0.0010193;-0.000563731;-0.00138685;0;0;0;0;0;0;0.0524141;0.0255236;-9.8404;-5.03718;63.7621;0.139933;
0.513017;0;0;-9.81;0;0;0;1.19963;-0.532323;8.7433;0.0602041;0.0933548;0.00488132;0;0;0;0;0;0;-1.19963;0.532323;-8.7433;-4.55925;56.5043;4.05827;
0.514008;0;0;-9.81;0;0;0;1.54547;-0.702009;7.90667;0.0787738;0.116917;0.00663327;0;0;0;0;0;0;-1.54547;0.702009;-7.90667;-4.15722;51.0443;5.333;
0.515035;0;0;-9.81;0;0;0;1.61478;-0.704306;7.75833;0.0780665;0.121267;0.00589185;0;0;0;0;0;0;-1.61478;0.704306;-7.75833;-4.08075;50.0754;5.3841;
0.516026;0;0;-9.81;0;0;0;-0.110661;-1.80192;3.82957;0.201307;-0.0101652;0.00103407;0;0;0;0;0;0;0.110661;1.80192;-3.82957;-2.24207;24.8281;11.6175;
0.517017;0;0;-9.81;0;0;0;-0.111294;-1.80036;3.83077;0.201443;-0.0101469;0.00108365;0;0;0;0;0;0;0.111294;1.80036;-3.83077;-2.24272;24.836;11.6071;
0.518009;0;0;-9.81;0;0;0;2.59116;-0.983344;4.41641;0.0672039;0.14403;-0.0073601;0;0;0;0;0;0;-2.59116;0.983344;-4.41641;-2.37181;28.3553;7.70508;
0.519036;0;0;-9.81;0;0;0;1.36479;-1.48079;3.12447;0.171813;9.26404e-06;-0.0750445;0;0;0;0;0;0;-1.36479;1.48079;-3.12447;-1.83804;20.1827;10.3681;
0.520027;0;0;-9.81;0;0;0;0.577701;-1.83667;3.95432;0.191373;0.0502953;-0.00459762;0;0;0;0;0;0;-0.577701;1.83667;-3.95432;-2.29804;25.545;12.2007;
0.521018;0;0;-9.81;0;0;0;0.574217;-1.82614;3.9472;0.191269;0.0503065;-0.00455087;0;0;0;0;0;0;-0.574217;1.82614;-3.9472;-2.29372;25.4991;12.1307;
0.522009;0;0;-9.81;0;0;0;0.275807;-1.82262;3.59081;0.195364;0.0255562;-0.00203398;0;0;0;0;0;0;-0.275807;1.82262;-3.59081;-2.11545;23.228;11.9525;
0.523;0;0;-9.81;0;0;0;0.273441;-1.81136;3.58849;0.195562;0.0256267;-0.00196611;0;0;0;0;0;0;-0.273441;1.81136;-3.58849;-2.11382;23.2131;11.8784;
0.524028;0;0;-9.81;0;0;0;0.541283;-2.15298;3.29078;0.179018;0.0371071;-0.00516857;0;0;0;0;0;0;-0.541283;2.15298;-3.29078;-1.96042;21.2606;14.2321;
0.525018;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.526009;0;0;-9.81;0;0;0;0.522835;-0.915435;1.60483;0.0788545;0.0773908;0.0184558;0;0;0;0;0;0;-0.522835;0.915435;-1.60483;-0.941799;10.297;6.18053;
0.527;0;0;-9.81;0;0;0;1.063;-1.09987;2.37749;0.122664;0.10833;-0.00472898;0;0;0;0;0;0;-1.063;1.09987;-2.37749;-1.38929;15.248;7.67516;
0.528027;0;0;-9.81;0;0;0;1.0831;-1.07239;2.37294;0.123135;0.107763;-0.00750281;0;0;0;0;0;0;-1.0831;1.07239;-2.37294;-1.38605;15.2183;7.5102;
0.529018;0;0;-9.81;0;0;0;1.08283;-1.06503;2.36516;0.122964;0.107472;-0.00790168;0;0;0;0;0;0;-1.08283;1.06503;-2.36516;-1.38142;15.1684;7.46275;
0.530009;0;0;-9.81;0;0;0;1.03237;-1.06125;2.30181;0.130539;0.0989747;-0.0129148;0;0;0;0;0;0;-1.03237;1.06125;-2.30181;-1.35634;14.7687;7.41744;
0.531036;0;0;-9.81;0;0;0;0.930958;-0.994812;2.11514;0.118345;0.105285;-0.00257014;0;0;0;0;0;0;-0.930958;0.994812;-2.11514;-1.24571;13.5573;6.92469;
0.532026;0;0;-9.81;0;0;0;0.952089;-0.95905;2.10258;0.118473;0.104217;-0.00611046;0;0;0;0;0;0;-0.952089;0.95905;-2.10258;-1.23763;13.4762;6.70732;
0.533017;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.534008;0;0;-9.81;0;0;0;0.876927;-0.931489;1.98651;0.123105;0.0966353;-0.00903043;0;0;0;0;0;0;-0.876927;0.931489;-1.98651;-1.18166;12.735;6.49318;
0.535035;0;0;-9.81;0;0;0;0.860213;-0.929002;1.96474;0.121775;0.0959071;-0.00796789;0;0;0;0;0;0;-0.860213;0.929002;-1.96474;-1.16889;12.5956;6.46745;
0.536025;0;0;-9.81;0;0;0;0.854594;-0.927461;1.9567;0.121422;0.0957338;-0.00765429;0;0;0;0;0;0;-0.854594;0.927461;-1.9567;-1.16416;12.5441;6.45427;
0.537015;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.538005;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.539032;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.540021;0;0;-9.81;0;0;0;917.821;877.912;2584.67;-95.2539;99.9347;-0.119082;0;0;0;0;0;0;-917.821;-877.912;-2584.67;-1187.45;16606.4;-5218.89;
0.541012;0;0;-9.81;0;0;0;-5.99025;-0.20824;7.76641;0.019917;-0.67287;-0.00267959;0;0;0;0;0;0;5.99025;0.20824;-7.76641;-4.00149;51.2635;-1.71184;
0.542002;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.543029;0;0;-9.81;0;0;0;-10.2053;-0.03957;13.2224;0.0381619;-1.14452;0.0260288;0;0;0;0;0;0;10.2053;0.03957;-13.2224;-6.80291;87.2773;-4.98939;
0.54402;0;0;-9.81;0;0;0;-3.62163;-0.0127849;4.69235;0.0135378;-0.406044;0.00934236;0;0;0;0;0;0;3.62163;0.0127849;-4.69235;-2.41417;30.9728;-1.7789;
0.54501;0;0;-9.81;0;0;0;-1.26045;-0.00555916;1.63311;0.00468832;-0.141289;0.00313755;0;0;0;0;0;0;1.26045;0.00555916;-1.63311;-0.840252;10.7797;-0.611823;
0.546001;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.547028;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.548018;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.549009;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.550036;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.551027;0;0;-9.81;0;0;0;-9.21483;-0.895511;12.0015;0.118227;-0.876914;0.0253432;0;0;0;0;0;0;9.21483;0.895511;-12.0015;-6.29739;79.0545;1.06359;
0.552018;0;0;-9.81;0;0;0;-2.79;-0.908075;3.82214;0.116563;-0.256445;0.0241589;0;0;0;0;0;0;2.79;0.908075;-3.82214;-2.11236;25.1471;4.43259;
0.553009;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.554036;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.555026;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.556016;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.557006;0;0;-9.81;0;0;0;-5.61347;-0.566226;9.52831;0.0963053;-0.72224;0.0138174;0;0;0;0;0;0;5.61347;0.566226;-9.52831;-4.99526;62.7119;0.783799;
0.558033;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.559023;0;0;-9.81;0;0;0;1.43864;0.930684;2.70359;-0.0993953;0.0944952;0.0203613;0;0;0;0;0;0;-1.43864;-0.930684;-2.70359;-1.24184;17.3592;-5.31492;
0.560013;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.561002;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.562029;0;0;-9.81;0;0;0;-1.32114;4.11256;20.5218;-0.460594;-0.0391515;-0.0424759;0;0;0;0;0;0;1.32114;-4.11256;-20.5218;-9.85182;133.07;-27.2807;
0.563019;0;0;-9.81;0;0;0;-5.46918;4.95166;31.1172;-0.577561;-0.409329;-0.0615052;0;0;0;0;0;0;5.46918;-4.95166;-31.1172;-15.1166;202.279;-34.8202;
0.564009;0;0;-9.81;0;0;0;-4.69366;0.128711;7.15139;-0.00711235;-0.446791;0.0122151;0;0;0;0;0;0;4.69366;-0.128711;-7.15139;-3.64486;46.9943;-3.24687;
0.565035;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.566026;0;0;-9.81;0;0;0;3.21712;3.09641;8.39338;-0.304196;0.319628;-0.00131825;0;0;0;0;0;0;-3.21712;-3.09641;-8.39338;-3.85043;53.9217;-18.4165;
0.567016;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.568006;0;0;-9.81;0;0;0;1.00757;0.777875;1.99849;-0.0716115;0.0710343;0.00845517;0;0;0;0;0;0;-1.00757;-0.777875;-1.99849;-0.915839;12.8332;-4.53335;
0.569033;0;0;-9.81;0;0;0;6.30203;6.30814;17.704;-0.646837;0.684407;-0.01361;0;0;0;0;0;0;-6.30203;-6.30814;-17.704;-8.12697;113.748;-37.6366;
0.570023;0;0;-9.81;0;0;0;0.651588;0.605774;1.80948;-0.0669527;0.0697974;0.000742795;0;0;0;0;0;0;-0.651588;-0.605774;-1.80948;-0.831559;11.6257;-3.59257;
0.571013;0;0;-9.81;0;0;0;0.620333;-0.0249894;0.995901;0.0335405;-0.0868492;-0.0230712;0;0;0;0;0;0;-0.620333;0.0249894;-0.995901;-0.544077;6.51211;0.502301;
0.572004;0;0;-9.81;0;0;0;1.29248;-1.97001;3.6066;0.21911;0.183343;0.0216249;0;0;0;0;0;0;-1.29248;1.97001;-3.6066;-2.15191;23.1279;13.4042;
0.57303;0;0;-9.81;0;0;0;5.52885;-7.59927;14.4452;0.883899;0.726735;0.0440085;0;0;0;0;0;0;-5.52885;7.59927;-14.4452;-8.61217;92.6245;52.0236;
0.574021;0;0;-9.81;0;0;0;-8.7539;-0.670242;41.6626;-0.0572006;-0.770776;-0.110594;0;0;0;0;0;0;8.7539;0.670242;-41.6626;-21.2838;271.115;-0.0243371;
0.575011;0;0;-9.81;0;0;0;-3.44553;-1.2149;4.76338;0.144252;-0.320719;0.0225434;0;0;0;0;0;0;3.44553;1.2149;-4.76338;-2.63504;31.3389;6.08698;
0.576001;0;0;-9.81;0;0;0;-1.70574;0.259064;11.8056;-0.0291932;-0.12998;0.000134292;0;0;0;0;0;0;1.70574;-0.259064;-11.8056;-5.99803;76.7008;-2.55126;
0.577027;0;0;-9.81;0;0;0;1.92344;2.03654;15.4512;-0.257667;0.073757;-0.0786277;0;0;0;0;0;0;-1.92344;-2.03654;-15.4512;-7.55497;99.9564;-12.1333;
0.578018;0;0;-9.81;0;0;0;2.56904;2.64764;12.1029;-0.294718;0.215783;-0.0322659;0;0;0;0;0;0;-2.56904;-2.64764;-12.1029;-5.77791;78.0901;-15.8091;
0.579007;0;0;-9.81;0;0;0;0.556788;0.381638;1.06348;-0.0388261;0.0373781;0.00691411;0;0;0;0;0;0;-0.556788;-0.381638;-1.06348;-0.488123;6.82856;-2.19494;
0.580035;0;0;-9.81;0;0;0;2.30796;2.08054;5.28506;-0.189093;0.195382;0.00566153;0;0;0;0;0;0;-2.30796;-2.08054;-5.28506;-2.42143;33.9462;-12.306;
0.581025;0;0;-9.81;0;0;0;0.803035;-0.249916;13.4776;0.0274317;0.0789531;0.00059477;0;0;0;0;0;0;-0.803035;0.249916;-13.4776;-6.93261;87.2134;2.0295;
0.582015;0;0;-9.81;0;0;0;0.153189;0.0261901;0.248954;0.00886328;-0.0216824;-0.00317284;0;0;0;0;0;0;-0.153189;-0.0261901;-0.248954;-0.135038;1.62794;-0.0881675;
