Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500036;0;0;-9.81;0;0;0;-350.267;-266.087;2331.8;32.831;-18.1698;2.6078;0;0;0;0;0;0;350.267;266.087;-2331.8;-1238.1;15144.3;1542.42;
0.501027;0;0;-9.81;0;0;0;-0.709243;-0.887258;8.74697;0.103098;-0.0639233;0.00874064;0;0;0;0;0;0;0.709243;0.887258;-8.74697;-4.61937;56.7778;5.37789;
0.502017;0;0;-9.81;0;0;0;-0.706727;-0.885862;8.73152;0.103056;-0.0638641;0.00878459;0;0;0;0;0;0;0.706727;0.885862;-8.73152;-4.61125;56.6774;5.37009;
0.503008;0;0;-9.81;0;0;0;-0.707083;-0.883426;8.72759;0.103002;-0.0640792;0.0088616;0;0;0;0;0;0;0.707083;0.883426;-8.72759;-4.60896;56.6521;5.35404;
0.504035;0;0;-9.81;0;0;0;-0.709507;-0.880715;8.73649;0.103037;-0.0644974;0.00896829;0;0;0;0;0;0;0.709507;0.880715;-8.73649;-4.6133;56.7102;5.33513;
0.505025;0;0;-9.81;0;0;0;-0.702602;-0.88191;8.72426;0.103412;-0.0640962;0.00898075;0;0;0;0;0;0;0.702602;0.88191;-8.72426;-4.60733;56.6301;5.34639;
0.506015;0;0;-9.81;0;0;0;-1.66996;0.522777;3.54011;-0.057003;-0.161402;-0.0030551;0;0;0;0;0;0;1.66996;-0.522777;-3.54011;-1.73156;23.1763;-4.23932;
0.507004;0;0;-9.81;0;0;0;-1.66405;0.526007;3.54412;-0.0569935;-0.161792;-0.00274719;0;0;0;0;0;0;1.66405;-0.526007;-3.54412;-1.73344;23.2022;-4.2575;
0.508031;0;0;-9.81;0;0;0;-1.1901;-1.13833;7.07469;0.132185;-0.110535;0.0110686;0;0;0;0;0;0;1.1901;1.13833;-7.07469;-3.80323;46.0084;6.75645;
0.509021;0;0;-9.81;0;0;0;-1.17288;-1.1322;7.03453;0.132114;-0.10975;0.0110888;0;0;0;0;0;0;1.17288;1.1322;-7.03453;-3.78219;45.7464;6.72551;
0.510011;0;0;-9.81;0;0;0;-1.24827;-1.11564;6.7208;0.129966;-0.11782;0.0116437;0;0;0;0;0;0;1.24827;1.11564;-6.7208;-3.61871;43.7248;6.57905;
0.511001;0;0;-9.81;0;0;0;-1.61884;0.531852;3.52262;-0.0563911;-0.161816;-0.00148349;0;0;0;0;0;0;1.61884;-0.531852;-3.52262;-1.72265;23.0605;-4.27337;
0.512027;0;0;-9.81;0;0;0;-1.51968;0.528072;2.98388;-0.055472;-0.154952;-0.000829194;0;0;0;0;0;0;1.51968;-0.528072;-2.98388;-1.4479;19.5583;-4.19874;
0.513017;0;0;-9.81;0;0;0;-1.49769;0.526805;2.97199;-0.0552215;-0.154718;-0.000403256;0;0;0;0;0;0;1.49769;-0.526805;-2.97199;-1.4421;19.4799;-4.17967;
0.514008;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.515035;0;0;-9.81;0;0;0;-1.65133;0.175717;3.48733;-0.012353;-0.167757;0.0026034;0;0;0;0;0;0;1.65133;-0.175717;-3.48733;-1.76413;22.8391;-1.98615;
