nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
13570;0.500036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.011427;-0.009905;0.084943;6.480300;0.511875;0.043459;0.555563;-0.457805;0.017627
13597;0.501027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.013672;-0.010827;0.087145;6.480287;0.511864;0.043547;0.602874;-0.518996;0.030396
13624;0.502017;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.014375;-0.011705;0.086091;6.480273;0.511853;0.043632;0.652230;-0.561488;0.032885
13651;0.503008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.015077;-0.012582;0.085034;6.480258;0.511841;0.043717;0.701630;-0.604014;0.035376
13679;0.504035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.015803;-0.013489;0.083935;6.480242;0.511828;0.043804;0.752903;-0.648151;0.037960
13706;0.505025;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016502;-0.014363;0.082871;6.480226;0.511814;0.043886;0.802384;-0.690757;0.040456
13733;0.506015;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017063;-0.014823;0.076674;6.480210;0.511799;0.043965;0.817438;-0.721436;0.035685
13760;0.507004;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.018713;-0.014305;0.070469;6.480192;0.511785;0.044038;0.790223;-0.828567;0.034408
13788;0.508031;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.020245;-0.014582;0.065551;6.480172;0.511770;0.044108;0.798751;-0.923810;0.037577
13815;0.509021;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.021414;-0.015705;0.062814;6.480151;0.511755;0.044171;0.861865;-0.996800;0.040546
