Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500036;0;0;-9.81;0;0;0;-315.46;-273.448;2354.9;31.7418;-18.8499;1.65636;0;0;0;0;0;0;315.46;273.448;-2354.9;-1249.16;15293.1;1608.89;
0.501027;0;0;-9.81;0;0;0;-0.709597;-0.887581;8.74744;0.103097;-0.0639198;0.0087331;0;0;0;0;0;0;0.709597;0.887581;-8.74744;-4.61963;56.7809;5.37981;
0.502017;0;0;-9.81;0;0;0;-0.707238;-0.887565;8.74857;0.103354;-0.0638836;0.00877598;0;0;0;0;0;0;0.707238;0.887565;-8.74857;-4.62036;56.788;5.38087;
0.503008;0;0;-9.81;0;0;0;-0.706437;-0.885228;8.73417;0.103203;-0.0639737;0.00883454;0;0;0;0;0;0;0.706437;0.885228;-8.73417;-4.61261;56.6946;5.36608;
0.504035;0;0;-9.81;0;0;0;-0.70651;-0.884152;8.74432;0.103449;-0.0641818;0.0089136;0;0;0;0;0;0;0.70651;0.884152;-8.74432;-4.61788;56.7605;5.35899;
0.505025;0;0;-9.81;0;0;0;-0.704712;-0.882007;8.73096;0.103391;-0.0642256;0.00897757;0;0;0;0;0;0;0.704712;0.882007;-8.73096;-4.61075;56.6737;5.34595;
0.506015;0;0;-9.81;0;0;0;-1.67193;0.523119;3.54317;-0.0570571;-0.161526;-0.00307591;0;0;0;0;0;0;1.67193;-0.523119;-3.54317;-1.73306;23.1963;-4.24253;
0.507004;0;0;-9.81;0;0;0;-1.65729;0.522619;3.52923;-0.0567766;-0.161104;-0.00280508;0;0;0;0;0;0;1.65729;-0.522619;-3.52923;-1.72619;23.1048;-4.23203;
0.508031;0;0;-9.81;0;0;0;-1.22322;-1.24054;7.03957;0.128432;-0.109962;0.0191441;0;0;0;0;0;0;1.22322;1.24054;-7.03957;-3.78604;45.7817;7.39378;
0.509021;0;0;-9.81;0;0;0;-1.17568;-1.13371;7.04408;0.132222;-0.109903;0.0110951;0;0;0;0;0;0;1.17568;1.13371;-7.04408;-3.78727;45.8086;6.73383;
0.510011;0;0;-9.81;0;0;0;-1.25419;-1.12183;6.75559;0.130778;-0.118288;0.0117149;0;0;0;0;0;0;1.25419;1.12183;-6.75559;-3.63761;43.9509;6.61605;
0.511001;0;0;-9.81;0;0;0;-1.61441;0.529421;3.51179;-0.0562348;-0.161299;-0.00153516;0;0;0;0;0;0;1.61441;-0.529421;-3.51179;-1.71737;22.9896;-4.2553;
0.512027;0;0;-9.81;0;0;0;-1.5185;0.527074;2.97971;-0.0554024;-0.154709;-0.00086767;0;0;0;0;0;0;1.5185;-0.527074;-2.97971;-1.44589;19.531;-4.19164;
0.513017;0;0;-9.81;0;0;0;-1.49995;0.526669;2.97315;-0.0552523;-0.154741;-0.000463601;0;0;0;0;0;0;1.49995;-0.526669;-2.97315;-1.44268;19.4876;-4.17989;
0.514008;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.515035;0;0;-9.81;0;0;0;-1.65149;0.174414;3.48236;-0.0123588;-0.167457;0.00252604;0;0;0;0;0;0;1.65149;-0.174414;-3.48236;-1.76165;22.8066;-1.97772;
0.516026;0;0;-9.81;0;0;0;-1.52042;0.272259;2.89912;-0.0237881;-0.159796;0.00253106;0;0;0;0;0;0;1.52042;-0.272259;-2.89912;-1.44738;19.0137;-2.54466;
0.517017;0;0;-9.81;0;0;0;-1.54231;0.146653;3.04007;-0.00844499;-0.162593;0.00355909;0;0;0;0;0;0;1.54231;-0.146653;-3.04007;-1.54039;19.9307;-1.74294;
0.518009;0;0;-9.81;0;0;0;0.175731;-0.168253;0.535631;-0.00559825;-0.0383791;-0.010219;0;0;0;0;0;0;-0.175731;0.168253;-0.535631;-0.275941;3.50138;1.19039;
0.519036;0;0;-9.81;0;0;0;-1.42329;0.183854;2.69007;-0.0123621;-0.1577;0.00423737;0;0;0;0;0;0;1.42329;-0.183854;-2.69007;-1.35566;17.6524;-1.92373;
0.520027;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.521018;0;0;-9.81;0;0;0;-1.43488;0.0358192;2.54455;0.00145082;-0.154801;0.00299723;0;0;0;0;0;0;1.43488;-0.0358192;-2.54455;-1.30153;16.7071;-0.969121;
0.522009;0;0;-9.81;0;0;0;-1.42751;0.0783712;2.53489;0.00212055;-0.154486;0.00597043;0;0;0;0;0;0;1.42751;-0.0783712;-2.53489;-1.29532;16.6436;-1.24403;
0.523;0;0;-9.81;0;0;0;-1.41325;0.0835905;2.51025;0.00221501;-0.153242;0.00634994;0;0;0;0;0;0;1.41325;-0.0835905;-2.51025;-1.28255;16.4818;-1.27091;
0.524028;0;0;-9.81;0;0;0;0.636236;0.486105;1.77852;0.0776943;-0.126413;0.00675731;0;0;0;0;0;0;-0.636236;-0.486105;-1.77852;-0.965703;11.6223;-2.83113;
0.525018;0;0;-9.81;0;0;0;0.629719;0.497761;1.78077;0.0779411;-0.126465;0.0077878;0;0;0;0;0;0;-0.629719;-0.497761;-1.78077;-0.9666;11.6372;-2.91101;
0.526009;0;0;-9.81;0;0;0;-1.15877;-0.607512;2.35359;0.0834583;-0.136432;0.00587406;0;0;0;0;0;0;1.15877;0.607512;-2.35359;-1.31456;15.4387;3.33787;
0.527;0;0;-9.81;0;0;0;-1.15433;-0.608134;2.34732;0.0832;-0.136146;0.00564267;0;0;0;0;0;0;1.15433;0.608134;-2.34732;-1.31112;15.3976;3.34438;
0.528027;0;0;-9.81;0;0;0;-1.09;-0.508363;2.15785;0.073464;-0.136062;0.00505468;0;0;0;0;0;0;1.09;0.508363;-2.15785;-1.20015;14.1671;2.73137;
0.529018;0;0;-9.81;0;0;0;-1.08691;-0.510401;2.15468;0.0733206;-0.135957;0.00478064;0;0;0;0;0;0;1.08691;0.510401;-2.15468;-1.19847;14.1463;2.74641;
0.530009;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.531036;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
