Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.50001;0;0;-9.81;0;0;0;-525.015;-8.84618e-07;10510.1;7.59604e-08;-4.73197e-07;-6.73879e-09;0;0;0;0;0;0;525.015;8.84618e-07;-10510.1;-5379.94;68121.8;-268.746;
0.501011;0;0;-9.81;0;0;0;-1.85302e-10;3.78681e-10;9.81;-2.72281e-11;-2.23084e-06;-5.45027e-12;0;0;0;0;0;0;1.85302e-10;-3.78681e-10;-9.81;-5.02161;63.5621;-5.58161e-06;
0.502013;0;0;-9.81;0;0;0;1.77878e-09;-8.88657e-10;9.81;9.27983e-11;-2.23221e-06;-1.63896e-11;0;0;0;0;0;0;-1.77878e-09;8.88657e-10;-9.81;-5.02161;63.5621;-5.85674e-06;
0.503015;0;0;-9.81;0;0;0;-1.60746e-10;3.63991e-10;9.81;-2.85131e-11;-2.23096e-06;-5.4605e-12;0;0;0;0;0;0;1.60746e-10;-3.63991e-10;-9.81;-5.02162;63.5621;-6.14275e-06;
0.504017;0;0;-9.81;0;0;0;-7.11896e-12;-2.37021e-12;9.81;1.72481e-13;-2.23118e-06;1.33463e-13;0;0;0;0;0;0;7.11896e-12;2.37021e-12;-9.81;-5.02161;63.5621;-5.90983e-06;
0.505019;0;0;-9.81;0;0;0;3.5275e-11;5.0373e-11;9.81;-1.74952e-12;-2.22996e-06;-1.707e-12;0;0;0;0;0;0;-3.5275e-11;-5.0373e-11;-9.81;-5.02161;63.5621;-5.66015e-06;
0.506021;0;0;-9.81;0;0;0;-1.65507e-08;-1.6537e-10;9.81;-6.91353e-10;-2.22996e-06;2.60707e-10;0;0;0;0;0;0;1.65507e-08;1.6537e-10;-9.81;-5.0216;63.5621;-5.4229e-06;
0.507023;0;0;-9.81;0;0;0;-2.90427e-12;-1.53048e-11;9.81;7.72656e-13;-2.22911e-06;4.54384e-13;0;0;0;0;0;0;2.90427e-12;1.53048e-11;-9.81;-5.0216;63.562;-5.12257e-06;
0.508024;0;0;-9.81;0;0;0;-3.05585e-12;1.41495e-12;9.81;1.13283e-13;-2.23054e-06;-1.15109e-13;0;0;0;0;0;0;3.05585e-12;-1.41495e-12;-9.81;-5.02159;63.562;-4.84144e-06;
0.509026;0;0;-9.81;0;0;0;-9.6593e-12;-5.70457e-12;9.81;-3.06499e-12;-2.22992e-06;-1.11033e-12;0;0;0;0;0;0;9.6593e-12;5.70457e-12;-9.81;-5.02158;63.562;-4.43986e-06;
0.510028;0;0;-9.81;0;0;0;5.79478e-10;1.16475e-09;9.81;-1.86392e-12;-2.23029e-06;9.59417e-12;0;0;0;0;0;0;-5.79478e-10;-1.16475e-09;-9.81;-5.02157;63.562;-3.98511e-06;
0.51103;0;0;-9.81;0;0;0;4.86867e-07;3.6558e-07;9.81;7.41242e-09;-2.18903e-06;-2.00448e-08;0;0;0;0;0;0;-4.86867e-07;-3.6558e-07;-9.81;-5.02157;63.562;-5.80992e-06;
0.512031;0;0;-9.81;0;0;0;-1.53257e-06;-1.09471e-05;9.80999;4.05244e-07;-1.70708e-06;2.64343e-07;0;0;0;0;0;0;1.53257e-06;1.09471e-05;-9.80999;-5.02156;63.5619;6.63849e-05;
0.513032;0;0;-9.81;0;0;0;-7.79493e-05;-7.90595e-05;9.80994;2.89571e-06;3.09055e-06;4.58083e-06;0;0;0;0;0;0;7.79493e-05;7.90595e-05;-9.80994;-5.02153;63.5616;0.000464941;
0.514034;0;0;-9.81;0;0;0;-9.78088e-08;1.15588e-07;9.81;-8.70088e-09;-2.2359e-06;1.24956e-09;0;0;0;0;0;0;9.78088e-08;-1.15588e-07;-9.81;-5.02155;63.5619;-3.41068e-06;
0.515032;0;0;-9.81;0;0;0;3.06325e-05;-2.57226e-05;9.80995;3.83651e-06;-1.13811e-06;1.00337e-07;0;0;0;0;0;0;-3.06325e-05;2.57226e-05;-9.80995;-5.02152;63.5616;0.000180106;
0.516026;0;0;-9.81;0;0;0;0.000186944;-0.00019335;9.80976;1.98166e-05;6.04424e-06;9.30726e-07;0;0;0;0;0;0;-0.000186944;0.00019335;-9.80976;-5.02143;63.5603;0.00134608;
0.517028;0;0;-9.81;0;0;0;-1.89766e-06;1.79787e-06;9.81;-2.00419e-07;-2.32662e-06;-1.38282e-08;0;0;0;0;0;0;1.89766e-06;-1.79787e-06;-9.81;-5.02152;63.5619;-1.38385e-05;
0.51803;0;0;-9.81;0;0;0;0.00014764;-4.65911e-05;9.80983;7.57253e-06;-9.65626e-07;-2.21969e-06;0;0;0;0;0;0;-0.00014764;4.65911e-05;-9.80983;-5.02143;63.5607;0.000378714;
0.519031;0;0;-9.81;0;0;0;0.0100558;-0.00735287;9.79788;0.000834948;0.000545191;4.32364e-05;0;0;0;0;0;0;-0.0100558;0.00735287;-9.79788;-5.01647;63.4823;0.0527449;
0.520032;0;0;-9.81;0;0;0;-0.0145277;-0.0017519;9.82424;-0.00139377;-0.000670451;0.00014204;0;0;0;0;0;0;0.0145277;0.0017519;-9.82424;-5.02748;63.6554;0.0037722;
0.521034;0;0;-9.81;0;0;0;-0.133997;0.0935841;9.87815;-0.00386205;-0.00432799;-0.000271343;0;0;0;0;0;0;0.133997;-0.0935841;-9.87815;-5.04829;64.0137;-0.674677;
0.522036;0;0;-9.81;0;0;0;0.0422222;-0.0216029;9.70966;0.00139344;0.00215853;0.000350382;0;0;0;0;0;0;-0.0422222;0.0216029;-9.70966;-4.97251;62.9076;0.161233;
0.523037;0;0;-9.81;0;0;0;1.21878;-0.541559;8.75538;0.0596155;0.0924364;0.00483007;0;0;0;0;0;0;-1.21878;0.541559;-8.75538;-4.5658;56.581;4.12795;
0.52404;0;0;-9.81;0;0;0;1.57056;-0.714974;7.92343;0.0781109;0.115882;0.00657364;0;0;0;0;0;0;-1.57056;0.714974;-7.92343;-4.16642;51.1508;5.42987;
0.525042;0;0;-9.81;0;0;0;1.6406;-0.718056;7.77701;0.0775112;0.120184;0.00583911;0;0;0;0;0;0;-1.6406;0.718056;-7.77701;-4.09109;50.1944;5.48642;
0.526044;0;0;-9.81;0;0;0;-0.114158;-1.84611;3.85007;0.20082;-0.0102065;0.00106047;0;0;0;0;0;0;0.114158;1.84611;-3.85007;-2.2559;24.9611;11.9019;
0.527001;0;0;-9.81;0;0;0;-0.114571;-1.84213;3.8466;0.200717;-0.0101731;0.00110649;0;0;0;0;0;0;0.114571;1.84213;-3.8466;-2.2538;24.9386;11.8759;
0.528003;0;0;-9.81;0;0;0;2.53269;-0.97451;4.4573;0.0677158;0.145719;-0.00661797;0;0;0;0;0;0;-2.53269;0.97451;-4.4573;-2.39383;28.6185;7.61712;
0.529005;0;0;-9.81;0;0;0;0.310527;-0.118933;0.546208;0.032729;-0.00158282;-0.0189515;0;0;0;0;0;0;-0.310527;0.118933;-0.546208;-0.317804;3.52626;0.948494;
0.530007;0;0;-9.81;0;0;0;0.589789;-1.87951;3.97807;0.190951;0.050028;-0.00467372;0;0;0;0;0;0;-0.589789;1.87951;-3.97807;-2.31358;25.6979;12.4844;
0.531008;0;0;-9.81;0;0;0;0.586767;-1.8706;3.97428;0.191013;0.0500831;-0.00462844;0;0;0;0;0;0;-0.586767;1.8706;-3.97428;-2.31119;25.6735;12.4251;
0.53201;0;0;-9.81;0;0;0;0.281655;-1.86689;3.61349;0.195023;0.0254056;-0.00207546;0;0;0;0;0;0;-0.281655;1.86689;-3.61349;-2.13057;23.3744;12.2423;
