nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
27602;0.500003;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.007055;-0.015047;0.038260;6.479400;0.511875;0.042957;0.834118;0.572984;0.026674
27658;0.501015;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008065;-0.017958;0.034222;6.479408;0.511858;0.042995;0.971078;0.621889;0.023049
27713;0.502008;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008513;-0.019170;0.027369;6.479416;0.511839;0.043026;1.039918;0.648816;0.022186
27768;0.503002;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008762;-0.020839;0.021137;6.479425;0.511819;0.043050;1.134024;0.666117;0.021816
27824;0.504013;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008941;-0.021551;0.012647;6.479434;0.511798;0.043067;1.171969;0.674162;0.020881
27879;0.505007;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009265;-0.022693;0.004710;6.479443;0.511776;0.043076;1.220400;0.687752;0.019464
27935;0.506018;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009265;-0.022693;-0.005211;6.479452;0.511753;0.043075;1.220388;0.687773;0.019609
27990;0.507011;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009500;-0.023027;-0.014313;6.479461;0.511730;0.043065;1.236135;0.708383;0.021001
28045;0.508005;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.010480;-0.024099;-0.021752;6.479471;0.511707;0.043047;1.294056;0.780373;0.021062
28101;0.509016;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.011527;-0.025129;-0.029333;6.479482;0.511682;0.043021;1.353554;0.852809;0.019269
28156;0.510009;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.012297;-0.025873;-0.037369;6.479494;0.511656;0.042988;1.397090;0.905637;0.017818
28211;0.511002;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.012593;-0.026152;-0.046463;6.479507;0.511630;0.042947;1.415224;0.924528;0.016648
28267;0.512013;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013476;-0.027045;-0.054384;6.479520;0.511603;0.042896;1.470301;0.992009;0.015632
28322;0.513006;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.014239;-0.027789;-0.062429;6.479534;0.511576;0.042838;1.517308;1.049217;0.014330
28378;0.514018;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.038894;-0.009298;-0.022295;6.479550;0.511549;0.042773;0.667782;2.269768;0.090526
28433;0.515011;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.038894;-0.009298;-0.032039;6.479589;0.511540;0.042746;0.667664;2.269797;0.090785
28488;0.516004;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.038894;-0.009298;-0.041783;6.479627;0.511531;0.042709;0.667547;2.269827;0.091045
28544;0.517015;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001712;-0.025625;0.008314;6.479633;0.511508;0.042712;1.545487;-0.488622;0.088798
28599;0.518009;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009533;-0.011646;0.043386;6.479638;0.511491;0.042744;0.728745;0.745676;0.064147
28654;0.519002;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009533;-0.011646;0.033642;6.479648;0.511480;0.042782;0.728706;0.745712;0.064241
28710;0.520014;0.000018;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009533;-0.011646;0.023720;6.479657;0.511468;0.042811;0.728666;0.745750;0.064336
