Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500036;0;0;-9.81;0;0;0;-137.866;-0.000200746;2767.14;2.08284e-05;6.49771e-07;-1.7125e-05;0;0;0;0;0;0;137.866;0.000200746;-2767.14;-1416.44;17935.3;-70.5698;
0.501027;0;0;-9.81;0;0;0;2.32795e-07;4.19759e-08;9.81;2.72798e-09;-1.78949e-06;-2.17572e-09;0;0;0;0;0;0;-2.32795e-07;-4.19759e-08;-9.81;-5.02157;63.5625;-3.87599e-06;
0.502017;0;0;-9.81;0;0;0;-5.96506e-09;-1.51949e-09;9.81;-2.96878e-09;-1.7995e-06;-1.0271e-10;0;0;0;0;0;0;5.96506e-09;1.51949e-09;-9.81;-5.02156;63.5624;-3.54535e-06;
0.503008;0;0;-9.81;0;0;0;1.24929e-06;6.15053e-06;9.81;-2.99519e-07;-2.1471e-06;-1.46434e-07;0;0;0;0;0;0;-1.24929e-06;-6.15053e-06;-9.81;-5.02155;63.5624;-4.19767e-05;
0.504035;0;0;-9.81;0;0;0;6.25987e-08;-8.08968e-08;9.81;7.89591e-09;-1.79427e-06;1.14034e-09;0;0;0;0;0;0;-6.25987e-08;8.08968e-08;-9.81;-5.02155;63.5624;-2.07438e-06;
0.505025;0;0;-9.81;0;0;0;-7.57425e-06;8.87025e-06;9.81001;-1.15681e-06;-2.01695e-06;-1.81625e-07;0;0;0;0;0;0;7.57425e-06;-8.87025e-06;-9.81001;-5.02154;63.5625;-6.33183e-05;
0.506015;0;0;-9.81;0;0;0;-8.60547e-06;4.47451e-06;9.81001;-5.26756e-07;-1.90372e-06;6.95651e-08;0;0;0;0;0;0;8.60547e-06;-4.47451e-06;-9.81001;-5.02152;63.5624;-3.49183e-05;
0.507004;0;0;-9.81;0;0;0;3.28681e-06;5.20846e-07;9.81;1.96553e-07;-1.8569e-06;-5.80166e-08;0;0;0;0;0;0;-3.28681e-06;-5.20846e-07;-9.81;-5.02152;63.5623;-2.87305e-06;
0.508031;0;0;-9.81;0;0;0;-1.20682e-05;5.74916e-06;9.81002;-7.47216e-07;-2.06008e-06;1.4672e-07;0;0;0;0;0;0;1.20682e-05;-5.74916e-06;-9.81002;-5.02152;63.5624;-4.45314e-05;
0.509021;0;0;-9.81;0;0;0;-0.000592369;4.91643e-05;9.80873;3.26863e-05;7.17075e-05;1.89415e-05;0;0;0;0;0;0;0.000592369;-4.91643e-05;-9.80873;-5.02089;63.5541;-0.00064132;
