nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
22528;0.500018;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016710;-0.010593;0.062999;6.480300;0.511875;0.043457;0.676570;-0.756211;0.043316
22573;0.501014;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.019436;-0.013073;0.064802;6.480281;0.511862;0.043524;0.734391;-0.921086;0.035731
22618;0.502009;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.020340;-0.014309;0.060289;6.480261;0.511848;0.043586;0.807354;-0.955334;0.037945
22663;0.503004;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.021642;-0.015129;0.055761;6.480240;0.511834;0.043644;0.839992;-1.041544;0.040047
22709;0.504021;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.022804;-0.016012;0.050780;6.480218;0.511818;0.043699;0.880033;-1.117290;0.043539
22754;0.505006;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.022854;-0.015987;0.041482;6.480195;0.511802;0.043744;0.878077;-1.130607;0.043567
22800;0.506022;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.024039;-0.015946;0.034945;6.480171;0.511786;0.043783;0.871046;-1.245544;0.042195
22845;0.507017;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.024692;-0.015885;0.027024;6.480147;0.511770;0.043814;0.867596;-1.307315;0.041966
22890;0.508013;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.025609;-0.015787;0.019857;6.480122;0.511754;0.043837;0.856108;-1.407888;0.040559
22935;0.509009;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.026388;-0.015694;0.012299;6.480096;0.511738;0.043853;0.851717;-1.490445;0.040574
22980;0.510005;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.026754;-0.015667;0.003565;6.480069;0.511723;0.043861;0.849796;-1.530411;0.040196
23025;0.511000;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.027797;-0.015669;-0.003266;6.480042;0.511707;0.043861;0.861402;-1.635484;0.041954
23071;0.512018;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.028313;-0.015671;-0.011799;6.480014;0.511691;0.043854;0.859421;-1.694032;0.040898
23116;0.513014;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.029096;-0.015743;-0.019351;6.479985;0.511676;0.043838;0.881335;-1.770432;0.043931
23161;0.514010;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.029749;-0.015841;-0.027257;6.479956;0.511660;0.043814;0.886712;-1.846051;0.042584
23206;0.515005;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.030627;-0.015899;-0.034545;6.479926;0.511644;0.043784;0.886716;-1.952499;0.040456
23251;0.516001;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.031353;-0.015906;-0.042270;6.479895;0.511628;0.043745;0.885492;-2.041434;0.039076
23297;0.517019;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.032176;-0.015875;-0.049935;6.479862;0.511612;0.043698;0.878914;-2.146819;0.037025
23342;0.518014;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.032479;-0.015852;-0.058845;6.479830;0.511596;0.043644;0.876641;-2.185728;0.036303
23387;0.519010;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.032919;-0.015819;-0.067367;6.479798;0.511580;0.043582;0.880737;-2.240886;0.037034
23432;0.520005;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.029773;-0.032359;-0.016521;6.479767;0.511552;0.043556;2.235889;-1.507300;0.099735
23477;0.521000;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017500;-0.015155;0.109396;6.479741;0.511525;0.043574;0.173910;0.064468;0.065616
23523;0.522018;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017152;-0.014910;0.101085;6.479724;0.511509;0.043681;0.174305;-0.030808;0.070657
23568;0.523013;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016813;-0.014658;0.092974;6.479707;0.511495;0.043778;0.174648;-0.124511;0.075849
23613;0.524009;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;0.084248;6.479690;0.511480;0.043866;0.176733;-0.184372;0.078927
23658;0.525004;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;0.074484;6.479673;0.511466;0.043945;0.176746;-0.184360;0.078922
23704;0.526021;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;0.064503;6.479657;0.511451;0.044015;0.176759;-0.184347;0.078917
23749;0.527017;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;0.054738;6.479640;0.511436;0.044075;0.176773;-0.184335;0.078913
23794;0.528012;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;0.044973;6.479624;0.511422;0.044124;0.176786;-0.184322;0.078908
23839;0.529008;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;0.035208;6.479607;0.511408;0.044164;0.176799;-0.184310;0.078903
23884;0.530003;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;0.025443;6.479591;0.511393;0.044194;0.176812;-0.184298;0.078898
23930;0.531021;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;0.015460;6.479574;0.511378;0.044215;0.176825;-0.184285;0.078893
23975;0.532016;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;0.005694;6.479557;0.511364;0.044225;0.176838;-0.184272;0.078888
24020;0.533008;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;-0.004032;6.479541;0.511350;0.044226;0.176851;-0.184260;0.078883
24065;0.534003;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;-0.013797;6.479524;0.511335;0.044217;0.176864;-0.184248;0.078879
24111;0.535021;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;-0.023781;6.479507;0.511320;0.044198;0.176878;-0.184235;0.078874
24156;0.536016;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;-0.033548;6.479491;0.511306;0.044169;0.176891;-0.184223;0.078869
24201;0.537012;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;-0.043316;6.479474;0.511292;0.044131;0.176904;-0.184210;0.078864
24246;0.538008;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;-0.053083;6.479458;0.511277;0.044083;0.176917;-0.184198;0.078859
24291;0.539003;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;-0.062850;6.479441;0.511263;0.044025;0.176930;-0.184185;0.078854
24337;0.540021;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;-0.072835;6.479424;0.511248;0.043956;0.176944;-0.184173;0.078850
24382;0.541017;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016600;-0.014501;-0.082602;6.479408;0.511233;0.043878;0.176957;-0.184160;0.078845
24427;0.542012;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007033;-0.003847;-0.037607;6.479397;0.511226;0.043827;-0.885249;1.372983;0.064588
24472;0.543008;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.007033;-0.003847;-0.047374;6.479390;0.511222;0.043785;-0.885322;1.372938;0.064379
24517;0.544004;0.000022;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.021554;-0.001213;-0.015103;6.479372;0.511221;0.043767;-0.797787;-1.236647;0.122777
