Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500035;0;0;-9.81;0;0;0;-141.894;-2.78087e-13;2847.69;-8.38773e-14;-1.72409e-06;4.23498e-14;0;0;0;0;0;0;141.894;2.78087e-13;-2847.69;-1457.67;18460.1;-72.6327;
0.501008;0;0;-9.81;0;0;0;-3.59058e-12;-4.18262e-12;9.81;1.24842e-13;-3.66333e-06;7.34478e-14;0;0;0;0;0;0;3.59058e-12;4.18262e-12;-9.81;-5.02153;63.5691;-1.67493e-06;
0.502055;0;0;-9.81;0;0;0;8.93316e-13;-1.22282e-12;9.81;9.8747e-14;-3.66182e-06;3.05801e-14;0;0;0;0;0;0;-8.93316e-13;1.22282e-12;-9.81;-5.02153;63.5691;-1.58549e-06;
0.503026;0;0;-9.81;0;0;0;2.49081e-12;6.48931e-13;9.81;-2.41777e-15;-3.6585e-06;-6.64138e-15;0;0;0;0;0;0;-2.49081e-12;-6.48931e-13;-9.81;-5.02152;63.5691;-1.46633e-06;
0.504073;0;0;-9.81;0;0;0;-4.64304e-12;-1.00124e-12;9.81;-2.49085e-14;-3.66248e-06;9.9461e-15;0;0;0;0;0;0;4.64304e-12;1.00124e-12;-9.81;-5.02152;63.5691;-1.46639e-06;
0.505044;0;0;-9.81;0;0;0;-7.52355e-12;-3.50966e-12;9.81;4.7948e-14;-3.65414e-06;4.7078e-14;0;0;0;0;0;0;7.52355e-12;3.50966e-12;-9.81;-5.02152;63.5691;-1.46635e-06;
0.506013;0;0;-9.81;0;0;0;8.02569e-13;-1.63377e-12;9.81;7.67468e-14;-3.6518e-06;5.79854e-14;0;0;0;0;0;0;-8.02569e-13;1.63377e-12;-9.81;-5.02152;63.5691;-1.41472e-06;
0.507059;0;0;-9.81;0;0;0;3.3813e-14;3.04031e-12;9.81;-1.55925e-13;-3.66064e-06;-6.86577e-14;0;0;0;0;0;0;-3.3813e-14;-3.04031e-12;-9.81;-5.02152;63.5691;-1.46785e-06;
0.508029;0;0;-9.81;0;0;0;8.25838e-13;1.35027e-12;9.81;-4.43094e-14;-3.65296e-06;-5.24921e-14;0;0;0;0;0;0;-8.25838e-13;-1.35027e-12;-9.81;-5.02152;63.5691;-1.35083e-06;
0.509073;0;0;-9.81;0;0;0;4.06704e-12;2.51428e-12;9.81;-9.4802e-14;-3.65157e-06;-6.74289e-14;0;0;0;0;0;0;-4.06704e-12;-2.51428e-12;-9.81;-5.02152;63.5691;-1.3452e-06;
0.510044;0;0;-9.81;0;0;0;-5.01831e-13;4.07298e-12;9.81;-2.02215e-13;-3.66344e-06;-2.32415e-14;0;0;0;0;0;0;5.01831e-13;-4.07298e-12;-9.81;-5.02152;63.5691;-1.34525e-06;
0.511016;0;0;-9.81;0;0;0;5.21201e-12;-1.34937e-11;9.81;7.03023e-13;-3.65968e-06;1.4155e-13;0;0;0;0;0;0;-5.21201e-12;1.34937e-11;-9.81;-5.02152;63.5691;-1.34516e-06;
0.512061;0;0;-9.81;0;0;0;-9.21158e-14;-2.10917e-13;9.81;-1.34857e-14;-3.65802e-06;1.44857e-14;0;0;0;0;0;0;9.21158e-14;2.10917e-13;-9.81;-5.02152;63.5691;-1.39551e-06;
0.513032;0;0;-9.81;0;0;0;-7.80008e-13;-3.64666e-13;9.81;-1.13939e-14;-3.66356e-06;-8.85711e-15;0;0;0;0;0;0;7.80008e-13;3.64666e-13;-9.81;-5.02152;63.5691;-1.48689e-06;
0.514004;0;0;-9.81;0;0;0;1.08001e-12;-3.36719e-12;9.81;1.86333e-13;-3.66135e-06;4.23271e-14;0;0;0;0;0;0;-1.08001e-12;3.36719e-12;-9.81;-5.02152;63.5691;-1.46475e-06;
0.515051;0;0;-9.81;0;0;0;5.40444e-12;3.62432e-11;9.81;-1.74984e-12;-3.66289e-06;-4.50974e-13;0;0;0;0;0;0;-5.40444e-12;-3.62432e-11;-9.81;-5.02152;63.569;-1.41351e-06;
0.516022;0;0;-9.81;0;0;0;4.90352e-12;2.68036e-12;9.81;-7.66438e-14;-3.66063e-06;-3.37785e-14;0;0;0;0;0;0;-4.90352e-12;-2.68036e-12;-9.81;-5.02152;63.569;-1.41333e-06;
0.517069;0;0;-9.81;0;0;0;1.94921e-12;6.64206e-13;9.81;-2.67301e-14;-3.6614e-06;-4.87315e-14;0;0;0;0;0;0;-1.94921e-12;-6.64206e-13;-9.81;-5.02152;63.569;-1.38881e-06;
0.51804;0;0;-9.81;0;0;0;2.56812e-12;2.31401e-12;9.81;-8.69558e-14;-3.66137e-06;4.00194e-16;0;0;0;0;0;0;-2.56812e-12;-2.31401e-12;-9.81;-5.02152;63.569;-1.38888e-06;
0.519012;0;0;-9.81;0;0;0;1.58911e-12;-2.43023e-13;9.81;1.71549e-14;-3.66233e-06;-2.73211e-14;0;0;0;0;0;0;-1.58911e-12;2.43023e-13;-9.81;-5.02152;63.569;-1.43028e-06;
0.520059;0;0;-9.81;0;0;0;-1.93812e-12;-1.11146e-12;9.81;5.9369e-14;-3.66246e-06;9.75932e-15;0;0;0;0;0;0;1.93812e-12;1.11146e-12;-9.81;-5.02152;63.569;-1.48077e-06;
0.521031;0;0;-9.81;0;0;0;-1.30644e-12;-1.74023e-12;9.81;7.171e-14;-3.66302e-06;3.49694e-16;0;0;0;0;0;0;1.30644e-12;1.74023e-12;-9.81;-5.02152;63.569;-1.48071e-06;
0.522003;0;0;-9.81;0;0;0;9.35486e-13;1.59355e-12;9.81;-6.3456e-14;-3.66413e-06;-2.35499e-14;0;0;0;0;0;0;-9.35486e-13;-1.59355e-12;-9.81;-5.02152;63.569;-1.48092e-06;
0.52305;0;0;-9.81;0;0;0;1.90818e-12;-3.02885e-13;9.81;2.61672e-14;-3.66295e-06;-2.19481e-14;0;0;0;0;0;0;-1.90818e-12;3.02885e-13;-9.81;-5.02152;63.569;-1.5195e-06;
0.524022;0;0;-9.81;0;0;0;1.21401e-12;-1.45212e-12;9.81;6.04005e-14;-3.66293e-06;2.53357e-14;0;0;0;0;0;0;-1.21401e-12;1.45212e-12;-9.81;-5.02152;63.569;-1.51925e-06;
0.525069;0;0;-9.81;0;0;0;-9.33935e-13;1.39025e-12;9.81;-7.22003e-14;-3.66599e-06;-1.02562e-14;0;0;0;0;0;0;9.33935e-13;-1.39025e-12;-9.81;-5.02153;63.569;-1.59885e-06;
0.526042;0;0;-9.81;0;0;0;1.92092e-12;1.83608e-12;9.81;-6.7703e-14;-3.6625e-06;-3.97999e-14;0;0;0;0;0;0;-1.92092e-12;-1.83608e-12;-9.81;-5.02153;63.569;-1.56838e-06;
0.527013;0;0;-9.81;0;0;0;-4.36917e-13;5.7828e-13;9.81;2.71267e-16;-3.66465e-06;2.13256e-14;0;0;0;0;0;0;4.36917e-13;-5.7828e-13;-9.81;-5.02153;63.569;-1.59138e-06;
0.528061;0;0;-9.81;0;0;0;-2.2682e-11;2.53183e-11;9.81;-1.55708e-12;-3.664e-06;-1.3572e-13;0;0;0;0;0;0;2.2682e-11;-2.53183e-11;-9.81;-5.02153;63.569;-1.58114e-06;
0.529033;0;0;-9.81;0;0;0;-7.24107e-13;2.96608e-13;9.81;-2.22114e-14;-3.66356e-06;-1.13352e-14;0;0;0;0;0;0;7.24107e-13;-2.96608e-13;-9.81;-5.02153;63.569;-1.64997e-06;
0.530005;0;0;-9.81;0;0;0;-6.34375e-14;-2.29087e-12;9.81;1.23092e-13;-3.66119e-06;-4.31282e-15;0;0;0;0;0;0;6.34375e-14;2.29087e-12;-9.81;-5.02153;63.569;-1.67097e-06;
0.531052;0;0;-9.81;0;0;0;9.08715e-14;1.02368e-13;9.81;-3.00749e-14;-3.66647e-06;-2.24996e-14;0;0;0;0;0;0;-9.08715e-14;-1.02368e-13;-9.81;-5.02153;63.569;-1.63468e-06;
0.532023;0;0;-9.81;0;0;0;-1.61697e-12;6.97179e-14;9.81;-2.64387e-14;-3.63578e-06;-1.39527e-14;0;0;0;0;0;0;1.61697e-12;-6.97179e-14;-9.81;-5.02153;63.569;-1.62146e-06;
0.533054;0;0;-9.81;0;0;0;-4.11475e-11;4.65873e-10;9.81;-2.61787e-11;-3.59548e-06;-4.85127e-12;0;0;0;0;0;0;4.11475e-11;-4.65873e-10;-9.81;-5.02153;63.569;-1.75035e-06;
0.53401;0;0;-9.81;0;0;0;4.87611e-14;2.83473e-12;9.81;-1.125e-13;-3.59903e-06;-2.04333e-14;0;0;0;0;0;0;-4.87611e-14;-2.83473e-12;-9.81;-5.02153;63.569;-1.95252e-06;
0.535035;0;0;-9.81;0;0;0;-3.409e-12;-1.16773e-12;9.81;5.79474e-14;-3.5931e-06;4.98293e-14;0;0;0;0;0;0;3.409e-12;1.16773e-12;-9.81;-5.02154;63.569;-2.32196e-06;
0.53607;0;0;-9.81;0;0;0;-2.39355e-11;-5.18997e-10;9.81;3.11784e-11;-3.65308e-06;6.74168e-12;0;0;0;0;0;0;2.39355e-11;5.18997e-10;-9.81;-5.02154;63.569;-2.42748e-06;
0.537042;0;0;-9.81;0;0;0;-6.59744e-11;8.64682e-11;9.81;-4.97857e-12;-3.661e-06;-3.75862e-12;0;0;0;0;0;0;6.59744e-11;-8.64682e-11;-9.81;-5.02154;63.569;-2.51306e-06;
0.538014;0;0;-9.81;0;0;0;-9.8088e-13;-7.49225e-13;9.81;5.95867e-14;-3.66472e-06;2.61264e-15;0;0;0;0;0;0;9.8088e-13;7.49225e-13;-9.81;-5.02155;63.569;-2.72467e-06;
0.539061;0;0;-9.81;0;0;0;-1.14213e-12;2.14688e-13;9.81;-1.63871e-14;-3.65839e-06;8.55801e-15;0;0;0;0;0;0;1.14213e-12;-2.14688e-13;-9.81;-5.02155;63.569;-2.96636e-06;
