nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
18429;0.500009;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002957;-0.000895;0.097362;6.479400;0.511875;0.042958;0.069069;0.069852;-0.000531
18466;0.501005;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004992;-0.000001;0.099873;6.479395;0.511875;0.043058;0.000071;0.000080;-0.000000
18503;0.502004;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004988;-0.000002;0.099869;6.479390;0.511875;0.043158;0.000152;0.000225;0.000003
18540;0.503007;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004116;-0.000389;0.099073;6.479386;0.511874;0.043258;0.021825;0.047022;0.001079
18577;0.504010;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002718;-0.001032;0.096996;6.479382;0.511874;0.043356;0.057442;0.118413;0.002951
18614;0.505013;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001157;-0.001673;0.094871;6.479380;0.511872;0.043452;0.091884;0.198083;0.004235
18651;0.506016;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000530;-0.002974;0.090559;6.479380;0.511870;0.043546;0.163845;0.229764;0.005156
18688;0.507018;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000366;-0.004455;0.085676;6.479380;0.511866;0.043634;0.245176;0.262771;0.010100
18725;0.508021;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.001570;-0.005747;0.079821;6.479380;0.511861;0.043717;0.306164;0.311186;0.011590
18762;0.509024;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.002721;-0.006716;0.073586;6.479383;0.511855;0.043794;0.361129;0.366092;0.012546
18799;0.510027;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003245;-0.008591;0.067581;6.479386;0.511847;0.043865;0.453464;0.394765;0.010672
18835;0.511002;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003796;-0.010338;0.061848;6.479389;0.511838;0.043928;0.543860;0.427889;0.009380
18872;0.512005;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004145;-0.011941;0.055430;6.479393;0.511827;0.043986;0.630289;0.450198;0.008647
18909;0.513007;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004415;-0.013718;0.049172;6.479397;0.511814;0.044039;0.725039;0.467509;0.008048
18946;0.514010;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004708;-0.014728;0.041058;6.479402;0.511800;0.044084;0.769904;0.479434;0.006573
18983;0.515013;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004939;-0.015659;0.032821;6.479407;0.511784;0.044121;0.813199;0.492063;0.006031
19020;0.516015;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004987;-0.015740;0.023130;6.479412;0.511768;0.044149;0.816695;0.496798;0.006560
19057;0.517014;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.005955;-0.016877;0.015680;6.479417;0.511752;0.044168;0.875000;0.570275;0.007717
19094;0.518011;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.007004;-0.017928;0.008254;6.479424;0.511735;0.044180;0.934166;0.642491;0.006042
19131;0.519013;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008065;-0.018972;0.000776;6.479431;0.511716;0.044184;0.993665;0.714860;0.004088
19168;0.520016;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.008789;-0.019692;-0.007444;6.479440;0.511697;0.044181;1.036663;0.762936;0.001998
19205;0.521019;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.009299;-0.020240;-0.016100;6.479449;0.511677;0.044169;1.068921;0.800734;0.001455
19242;0.522022;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.010223;-0.021191;-0.023843;6.479459;0.511656;0.044149;1.126152;0.871031;0.000490
19279;0.523024;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.010702;-0.021670;-0.032600;6.479469;0.511634;0.044121;1.155566;0.906953;-0.000167
19316;0.524026;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.011500;-0.022505;-0.040610;6.479480;0.511612;0.044084;1.210513;0.966745;-0.002386
19352;0.525002;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.012327;-0.023391;-0.048269;6.479492;0.511590;0.044040;1.268112;1.029710;-0.004275
19389;0.526004;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013169;-0.024302;-0.056147;6.479505;0.511566;0.043988;1.327084;1.094283;-0.006009
19426;0.527007;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013509;-0.024671;-0.065192;6.479518;0.511541;0.043927;1.350955;1.120415;-0.006527
19463;0.528010;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013509;-0.024671;-0.075029;6.479532;0.511517;0.043857;1.350966;1.120401;-0.006269
19500;0.529012;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.013509;-0.024671;-0.084865;6.479545;0.511492;0.043777;1.350978;1.120387;-0.006010
19537;0.530015;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.007618;0.005320;0.043973;6.479548;0.511470;0.043713;-0.110605;0.712744;0.066059
19574;0.531018;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.007618;0.005320;0.034138;6.479555;0.511475;0.043752;-0.110637;0.712739;0.066046
19611;0.532020;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.004639;0.002696;0.030911;6.479561;0.511478;0.043787;-0.117480;0.306207;-0.011410
19648;0.533023;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003807;0.002692;0.022170;6.479565;0.511481;0.043814;-0.115963;0.242307;-0.011591
19685;0.534025;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.002469;0.002686;0.014097;6.479568;0.511484;0.043832;-0.113523;0.139529;-0.011840
19721;0.535001;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.001099;0.002680;0.006333;6.479570;0.511486;0.043841;-0.111032;0.034296;-0.012100
19758;0.536003;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000152;0.002675;-0.002254;6.479571;0.511489;0.043843;-0.109318;-0.038370;-0.012289
19795;0.537005;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000824;0.002670;-0.010803;6.479570;0.511492;0.043836;-0.107554;-0.113299;-0.012483
19832;0.538008;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001848;0.002665;-0.019288;6.479569;0.511494;0.043821;-0.105706;-0.191971;-0.012689
19869;0.539010;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.003016;0.002658;-0.027585;6.479567;0.511497;0.043798;-0.103605;-0.281663;-0.012934
19906;0.540012;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.005383;0.002527;-0.034296;6.479563;0.511500;0.043766;-0.093245;-0.448006;-0.012976
19943;0.541013;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.006352;0.002429;-0.042832;6.479557;0.511502;0.043727;-0.087145;-0.511305;-0.013063
19980;0.542015;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.008063;0.002261;-0.050400;6.479550;0.511504;0.043680;-0.076323;-0.623113;-0.013034
20017;0.543018;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.004117;0.011518;-0.016412;6.479545;0.511513;0.043656;-0.632699;-0.267080;-0.031279
20054;0.544021;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.003431;-0.003343;0.017783;6.479542;0.511522;0.043647;0.216508;0.237944;0.003958
20091;0.545021;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.002026;-0.003481;0.009898;6.479545;0.511519;0.043660;0.225763;0.141990;0.003966
20128;0.546023;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000837;-0.003596;0.001768;6.479546;0.511515;0.043666;0.233960;0.057005;0.003947
20165;0.547026;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000756;-0.003748;-0.005807;6.479546;0.511511;0.043664;0.244855;-0.055705;0.003981
20201;0.548001;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000311;-0.000873;0.001089;6.479546;0.511510;0.043664;0.048015;0.023002;0.002401
20238;0.549003;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000139;0.000605;0.000114;6.479546;0.511509;0.043664;-0.032980;-0.007690;-0.001700
20275;0.550006;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000675;0.001866;-0.001989;6.479546;0.511511;0.043663;-0.102609;-0.037460;-0.005130
20312;0.551009;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000993;0.003407;-0.003173;6.479545;0.511513;0.043659;-0.183846;-0.059230;-0.007792
20349;0.552011;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.001821;0.004399;-0.005650;6.479544;0.511517;0.043654;-0.240878;-0.120698;-0.012184
20386;0.553014;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.002035;0.005700;-0.008047;6.479542;0.511522;0.043647;-0.313417;-0.131547;-0.015732
20423;0.554017;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000245;0.000648;0.000868;6.479541;0.511526;0.043644;-0.019337;0.007548;-0.003287
20460;0.555019;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000044;-0.000596;0.000373;6.479540;0.511525;0.043643;0.032786;0.003460;0.001639
20497;0.556022;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000239;0.000234;-0.001020;6.479540;0.511525;0.043643;-0.013162;-0.010367;-0.000504
20534;0.557024;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000068;-0.000036;0.000091;6.479540;0.511525;0.043643;0.001961;0.004005;0.000098
20571;0.558026;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000013;0.000033;-0.000189;6.479540;0.511525;0.043643;-0.001603;-0.001146;-0.000128
20607;0.559001;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000110;-0.000005;-0.000131;6.479540;0.511525;0.043643;0.000335;-0.006628;-0.000007
20644;0.560004;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000037;0.000003;-0.000250;6.479540;0.511525;0.043643;-0.000166;0.002107;-0.000008
20681;0.561007;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000086;-0.000072;-0.000055;6.479540;0.511525;0.043643;0.003980;-0.004138;0.000198
20718;0.562010;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000085;0.000031;0.000020;6.479540;0.511525;0.043643;-0.001781;0.004974;-0.000071
20755;0.563012;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000098;0.000026;0.000028;6.479540;0.511525;0.043643;-0.001443;-0.005333;-0.000072
20792;0.564014;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000044;-0.000079;0.000072;6.479540;0.511525;0.043643;0.004362;-0.002232;0.000218
20829;0.565017;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000000;0.000030;0.000224;6.479540;0.511525;0.043643;-0.001669;0.000609;-0.000083
20866;0.566019;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000127;0.000053;0.000461;6.479540;0.511525;0.043643;-0.002918;-0.005710;-0.000147
20903;0.567022;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000023;-0.000023;-0.000155;6.479540;0.511525;0.043643;0.001685;0.002943;-0.000145
20940;0.568024;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000007;-0.000015;-0.000225;6.479540;0.511525;0.043643;0.001150;0.001185;-0.000089
20977;0.569027;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.000007;0.000053;0.000068;6.479540;0.511525;0.043643;-0.002915;-0.000179;-0.000143
21013;0.570002;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000059;-0.000029;0.000034;6.479540;0.511525;0.043643;0.002169;0.004938;-0.000061
21050;0.571005;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000006;0.000011;-0.000114;6.479540;0.511525;0.043643;-0.000593;0.000043;-0.000030
21087;0.572008;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000048;-0.000002;0.000145;6.479540;0.511525;0.043643;0.000406;0.003916;-0.000068
21124;0.573010;0.000027;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;0.000022;0.000069;-0.000013;6.479540;0.511525;0.043643;-0.003578;0.002174;-0.000284
