nstep;time [s];dt [s];predictor;face.x [m/s^2];face.y [m/s^2];face.z [m/s^2];fomegaace.x [rad/s^2];fomegaace.y [rad/s^2];fomegaace.z [rad/s^2];fvel.x [m/s];fvel.y [m/s];fvel.z [m/s];fcenter.x [m];fcenter.y [m];fcenter.z [m];fomega.x [rad/s];fomega.y [rad/s];fomega.z [rad/s]
13570;0.500036;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.012732;-0.009605;0.084056;6.480300;0.511875;0.043459;0.575016;-0.440436;0.028294
13597;0.501027;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.013849;-0.011046;0.086886;6.480286;0.511864;0.043546;0.615131;-0.529552;0.031013
13624;0.502017;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.014551;-0.011924;0.085832;6.480272;0.511853;0.043632;0.664488;-0.572043;0.033502
13651;0.503008;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.015252;-0.012801;0.084775;6.480257;0.511840;0.043716;0.713893;-0.614571;0.035993
13679;0.504035;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.015978;-0.013708;0.083675;6.480241;0.511827;0.043803;0.765163;-0.658718;0.038578
13706;0.505025;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.016677;-0.014582;0.082610;6.480225;0.511813;0.043885;0.814652;-0.701316;0.041073
13733;0.506015;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.017240;-0.015078;0.076373;6.480209;0.511798;0.043964;0.829319;-0.731205;0.036978
13760;0.507004;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.018889;-0.014560;0.070168;6.480191;0.511783;0.044036;0.802110;-0.838346;0.035702
13788;0.508031;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.020425;-0.014755;0.065135;6.480171;0.511768;0.044105;0.808370;-0.934939;0.038008
13815;0.509021;0.000037;False;0.000000;0.000000;-9.810000;0.000000;0.000000;0.000000;-0.021593;-0.015876;0.062396;6.480150;0.511753;0.044168;0.871481;-1.007919;0.040975
