Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500036;0;0;-9.81;0;0;0;-351.291;-262.166;2333.87;32.761;-17.9588;2.77287;0;0;0;0;0;0;351.291;262.166;-2333.87;-1238.92;15157.5;1516.32;
0.501027;0;0;-9.81;0;0;0;-0.709276;-0.887298;8.74708;0.103098;-0.0639233;0.00874082;0;0;0;0;0;0;0.709276;0.887298;-8.74708;-4.61943;56.7785;5.37813;
0.502017;0;0;-9.81;0;0;0;-0.709265;-0.885253;8.74095;0.103038;-0.064081;0.00880778;0;0;0;0;0;0;0.709265;0.885253;-8.74095;-4.61603;56.7388;5.36482;
0.503008;0;0;-9.81;0;0;0;-0.70877;-0.884207;8.74789;0.103254;-0.0642348;0.00888142;0;0;0;0;0;0;0.70877;0.884207;-8.74789;-4.61964;56.7839;5.35822;
0.504035;0;0;-9.81;0;0;0;-0.705601;-0.883961;8.7429;0.103474;-0.0641467;0.00893048;0;0;0;0;0;0;0.705601;0.883961;-8.7429;-4.61716;56.7512;5.3582;
0.505025;0;0;-9.81;0;0;0;-0.705095;-0.882598;8.7466;0.103645;-0.0643045;0.00899776;0;0;0;0;0;0;0.705095;0.882598;-8.7466;-4.61903;56.7752;5.34956;
0.506015;0;0;-9.81;0;0;0;-1.67497;0.524859;3.5501;-0.0571548;-0.161848;-0.00303805;0;0;0;0;0;0;1.67497;-0.524859;-3.5501;-1.73643;23.2417;-4.25539;
0.507004;0;0;-9.81;0;0;0;-1.66385;0.525792;3.54348;-0.0569858;-0.161759;-0.00275545;0;0;0;0;0;0;1.66385;-0.525792;-3.54348;-1.73314;23.1981;-4.256;
0.508031;0;0;-9.81;0;0;0;-1.18825;-1.13252;7.04779;0.131344;-0.110382;0.0110469;0;0;0;0;0;0;1.18825;1.13252;-7.04779;-3.78837;45.8338;6.71977;
0.509021;0;0;-9.81;0;0;0;-1.17901;-1.13355;7.05813;0.132361;-0.110276;0.0111426;0;0;0;0;0;0;1.17901;1.13355;-7.05813;-3.79458;45.9002;6.73105;
0.510011;0;0;-9.81;0;0;0;-1.25177;-1.11847;6.74188;0.130402;-0.118168;0.0117128;0;0;0;0;0;0;1.25177;1.11847;-6.74188;-3.63006;43.8619;6.59553;
0.511001;0;0;-9.81;0;0;0;-1.62168;0.532961;3.52801;-0.0564736;-0.162056;-0.00147753;0;0;0;0;0;0;1.62168;-0.532961;-3.52801;-1.72527;23.0958;-4.28202;
0.512027;0;0;-9.81;0;0;0;-1.51937;0.528008;2.98344;-0.0554643;-0.154927;-0.000827366;0;0;0;0;0;0;1.51937;-0.528008;-2.98344;-1.44769;19.5554;-4.19817;
0.513017;0;0;-9.81;0;0;0;-1.50157;0.527864;2.97777;-0.0553289;-0.155;-0.00042342;0;0;0;0;0;0;1.50157;-0.527864;-2.97777;-1.44491;19.5178;-4.1885;
0.514008;0;0;-9.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0;-0;0;0;0;
0.515035;0;0;-9.81;0;0;0;-1.65536;0.176193;3.49482;-0.0123797;-0.168103;0.00261116;0;0;0;0;0;0;1.65536;-0.176193;-3.49482;-1.76792;22.8881;-1.99131;
