Time;Body_BLIR_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;Body_beach_fx;fy;fz;mx;my;mz;cfx;cfy;cfz;cmx;cmy;cmz;
0.500036;0;0;-9.81;0;0;0;-137.866;-0.000202436;2767.14;2.09429e-05;4.89272e-07;-1.68885e-05;0;0;0;0;0;0;137.866;0.000202436;-2767.14;-1416.44;17935.3;-70.5698;
0.501027;0;0;-9.81;0;0;0;1.1325e-07;6.07993e-08;9.81;4.23747e-09;-1.79221e-06;-3.18261e-09;0;0;0;0;0;0;-1.1325e-07;-6.07993e-08;-9.81;-5.02157;63.5625;-4.0542e-06;
0.502017;0;0;-9.81;0;0;0;2.78963e-08;-2.96126e-08;9.81;3.25487e-09;-1.79711e-06;2.14749e-10;0;0;0;0;0;0;-2.78963e-08;2.96126e-08;-9.81;-5.02156;63.5624;-3.34252e-06;
0.503008;0;0;-9.81;0;0;0;1.4528e-06;5.23791e-06;9.81;-2.52984e-07;-2.10903e-06;-1.34073e-07;0;0;0;0;0;0;-1.4528e-06;-5.23791e-06;-9.81;-5.02155;63.5624;-3.59685e-05;
0.504035;0;0;-9.81;0;0;0;6.43842e-08;-1.80608e-08;9.81;-1.78327e-09;-1.79561e-06;-2.78586e-09;0;0;0;0;0;0;-6.43842e-08;1.80608e-08;-9.81;-5.02155;63.5624;-2.47077e-06;
0.505025;0;0;-9.81;0;0;0;7.80815e-06;-4.28915e-06;9.80999;8.11427e-07;-1.72142e-06;-1.73728e-09;0;0;0;0;0;0;-7.80815e-06;4.28915e-06;-9.80999;-5.02153;63.5623;2.96445e-05;
0.506015;0;0;-9.81;0;0;0;7.88564e-05;-7.07406e-05;9.80989;8.79183e-06;1.71396e-06;2.08597e-07;0;0;0;0;0;0;-7.88564e-05;7.07406e-05;-9.80989;-5.02148;63.5617;0.000497061;
0.507004;0;0;-9.81;0;0;0;4.09676e-06;4.87557e-07;9.81;2.40622e-07;-1.86897e-06;-6.80883e-08;0;0;0;0;0;0;-4.09676e-06;-4.87557e-07;-9.81;-5.02152;63.5623;-2.2313e-06;
0.508031;0;0;-9.81;0;0;0;-5.9537e-06;2.06006e-06;9.81001;-3.21771e-07;-1.86697e-06;7.49492e-08;0;0;0;0;0;0;5.9537e-06;-2.06006e-06;-9.81001;-5.02152;63.5624;-1.74253e-05;
0.509021;0;0;-9.81;0;0;0;-0.00213296;0.000548249;9.81107;-0.000106756;9.75431e-07;2.42808e-05;0;0;0;0;0;0;0.00213296;-0.000548249;-9.81107;-5.02192;63.5693;-0.00466899;
0.510011;0;0;-9.81;0;0;0;0.0022585;-0.000861653;9.80711;0.000152486;0.000108772;-9.82916e-06;0;0;0;0;0;0;-0.0022585;0.000861653;-9.80711;-5.02021;63.5434;0.00674841;
